dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
metallic/artificial,0.13156307064191008,0.24631705458038566,0.31581516786674724,0.3756226638269674,0.3989109973964783,0.4187776942675685,0.4439207994227513,0.5242881360024312,0.6366448045020137,0.7454502673040382,0.8032352817500504,0.8465869527445344
food-related,0.16100037912637988,0.2891813911820412,0.3259742701672682,0.4136334734664455,0.46156420715890356,0.5007484275378777,0.5522229080835392,0.5666403708530642,0.6921496423901792,0.7759187845201428,0.8331264219963223,0.8730205219997789
animal-related,0.07970999910505461,0.2120705039698194,0.2810518135778307,0.3407409495804411,0.3938817893231781,0.3892406145739896,0.46543671635499706,0.5620816445890795,0.6981840583470528,0.8559472909224766,0.8840719779049955,0.8993406364273144
textile,0.025089145157855652,0.09623640669046696,0.13069551676169266,0.1594658753748498,0.18935444654703792,0.1860823067684625,0.2445111288843126,0.33197757860309896,0.43680156216659627,0.6134994127688902,0.6909031920515571,0.7614492732664733
plant-related,0.25195223406704503,0.3371953753246504,0.36635058517699515,0.4090579858485077,0.4207458585182635,0.45499305902540566,0.45915999235896165,0.47896564137761233,0.5298235591026701,0.6081524972531706,0.7489994663066142,0.776746753732116
house-related/furnishing-related,0.09169938602613004,0.2154466135650408,0.2892787280914835,0.4054267329539104,0.4050491726911948,0.4263737807015685,0.4283105779787094,0.4583642969260936,0.5738832611388841,0.6732649857277961,0.6737503753436109,0.7338629597118198
valuable/precious,0.027747946338994134,0.10787265837148963,0.16081918807583184,0.17864366308808977,0.18194831506804232,0.20077835659786758,0.21702183469247238,0.23163999744744246,0.38881382468990544,0.5375544924661002,0.6259599081181226,0.6749068878344827
transportation-/movement-related,0.0895202323849753,0.16725330787666626,0.27179144880162553,0.30553592672534013,0.3363755249127428,0.34997391744984796,0.3961337776825553,0.4324016678211099,0.5904168602813177,0.7157669308785908,0.7644759345801262,0.7505239601281597
body-/people-related,0.018339170206496336,0.12860169505521835,0.21931093385885225,0.30308624676551055,0.3833869262978702,0.35491630427328813,0.5060819835665293,0.5981913149492852,0.7519927261047276,0.8226870996703348,0.8146875551738766,0.7816164534652768
wood-related/brown,0.05234946449939626,0.14957796024385572,0.1868341503295613,0.25124515432995087,0.25659229292571395,0.26746124687614703,0.25144656654365427,0.26769232708895363,0.2916167807099097,0.3280596042597347,0.40338820535249487,0.5827670574577816
electronics/technology,0.03241705783326032,0.12046071148122517,0.18739454300198166,0.2515134677931449,0.2858023945934255,0.3180876057239438,0.29736881354092415,0.3303766483535372,0.4274751898167083,0.53814100213269,0.7018950366384112,0.7423469931724898
colorful/playful,0.3237283132817701,0.3790019009951281,0.4110599087482687,0.4062927477545468,0.4195687615064698,0.4300467336368953,0.40965924071487747,0.44552713142013844,0.523003949269494,0.61167240069096,0.6078762947372224,0.640817132136209
outdoors,0.22418326521733112,0.2784884921834171,0.33900060526390685,0.41232045671070505,0.4405713023114025,0.4792857481903441,0.5117938621523035,0.5439471575713553,0.5991824526238769,0.6798015672507112,0.6922854411022132,0.6890112586524886
circular/round,-0.026900663093330834,0.004077400739249115,0.049006406920573675,0.08161938237301858,0.09864302640287981,0.15571225980191106,0.17087335449864072,0.2011225801951999,0.18819773329009248,0.24924939941731217,0.3026597072089079,0.4161645893005357
paper-related/flat,0.026053717281873,0.08819893075899354,0.14625387164459747,0.24035624274968825,0.25694075445653974,0.2794831029224826,0.2759302754916968,0.3494136351528355,0.4821726583889172,0.5498369980060187,0.5453511601007357,0.6162620537519012
sports-/playing-related,-0.0024359642281881477,0.033049551552311596,0.061669079769019364,0.09080046643343109,0.10401318940729487,0.10815393040534171,0.11988893243058318,0.1264774821981982,0.17607748087687425,0.3194049829961493,0.5649572154190856,0.6061492648855878
tools/handheld/elongated,0.042110353037042025,0.08453350333167808,0.14363846231739363,0.2097468449335147,0.23895097773682705,0.2309034253475465,0.2427480738690121,0.25943744153437087,0.33115878792524467,0.4349175910812819,0.6206572042834262,0.6721454372576258
fluid-related/drink-related,0.009376350466962169,0.028339195259144412,0.06739250595918389,0.09761635208933206,0.10325757221978471,0.10234660311651256,0.11757876190871441,0.180598278301763,0.28845762814041753,0.4016981349926467,0.539151567357729,0.6478534693224725
water-related,0.06436016330590855,0.08466710650374176,0.0996547971060111,0.12438714061710554,0.12930798673662303,0.143461931618735,0.14782559085553404,0.13715155714846372,0.23121116762114668,0.4230193743345534,0.5850310486918582,0.666786190502879
oriented/many things,0.06532264929374254,0.11727465015924055,0.19145656259918375,0.23005327597346237,0.2453143551287107,0.2619114937862004,0.23885773232038165,0.2943599538778989,0.3949210801925279,0.4873073171714142,0.46681255169528524,0.5606731174030539
powdery/earth-related,0.07218231958968657,0.15820888886384,0.23086200816268898,0.2440556692478142,0.2530719136803333,0.26015198832533826,0.27048703653651507,0.2946624945200207,0.35536424135870937,0.4286862394829929,0.4726330463932804,0.530498698113663
white,0.11807023891242008,0.16643124957098376,0.2169966811828138,0.26656559236729793,0.25453439813406176,0.25703710422282366,0.2319584563422794,0.2768031567046998,0.26070835260944003,0.25085900818593687,0.23514135310433826,0.38101953249449494
coarse pattern/many things,0.10024875264292055,0.17367886306468694,0.24279881291947503,0.3066832832987425,0.3708461234431709,0.3953000451524774,0.37051614438662217,0.40805332353276236,0.4475048450939286,0.5238036512617611,0.5438805451423336,0.6125412611758247
red,0.3130544015052109,0.4330369121854293,0.45365412596812105,0.4574104533581408,0.43537927773302665,0.42714621233358796,0.34767954409062696,0.28304742926205584,0.306211803268553,0.2453492776884837,0.13401318482360636,0.4052923417401014
long/thin,0.03233386381702841,0.09301767891261947,0.14205230555921278,0.2028926519237524,0.2066547154957774,0.20343251831405984,0.1998585570521325,0.24064756687038746,0.2629260416234306,0.3721798488192529,0.3832174365546266,0.5064517824640636
weapon-/danger-related,-0.0006406775187095537,0.021193208858842016,0.04540524704479887,0.08426961887999906,0.09111829364207757,0.09148003728560294,0.09108295178595938,0.10806846017054916,0.14002625126394175,0.1981727749645863,0.38396457405390827,0.46690056886572784
black,0.09312801086982991,0.21829857743717096,0.2595093201053452,0.23501219675423024,0.2292492666690935,0.21634265074058856,0.23956147367250635,0.2195751156881961,0.20650864847325046,0.24711495755690482,0.22785843631868796,0.34806014923777207
household,0.01284212241936733,0.04380115017278219,0.08678595988596671,0.10244891390701949,0.11166588118810794,0.12122502734015461,0.1285318714381236,0.16526126728300738,0.19245506200903562,0.2666615594371663,0.39176095302389746,0.47141149370852564
feminine (stereotypical),0.05929878011160916,0.10311053787396096,0.11031647728799188,0.13089395606942567,0.12117243317281623,0.13318185045385078,0.13439422864448414,0.12858264358373328,0.18103078465524725,0.27770079710625184,0.41793193309304166,0.4486179465274771
body part-related,0.10616223749585285,0.16261933845556065,0.2159208079773446,0.2574825314180652,0.2802545409349002,0.24792020301838225,0.3074046024287239,0.3150156725471219,0.38451833295454485,0.4938765885702151,0.5094503769647944,0.5762229474690631
tubular,-0.012492460187966126,-0.0009369783200974258,0.041735078891882105,0.10089579057584785,0.12520217288640711,0.10052157184133126,0.08670673730270351,0.11029247827502153,0.15405969323841218,0.18565261860483684,0.273956175502736,0.4355970842903433
music-/hearing-/hobby-related/loud,0.00047027908297658794,0.021080429264079714,0.04325204253390991,0.04366130033860549,0.05255994731872593,0.06390018052638924,0.05068719291918433,0.08262036163361963,0.09723938200324278,0.14847686371772273,0.4154818808750229,0.5266017196278502
grid-/grating-related,0.09052561061374464,0.14341255434706757,0.25815868987626545,0.3140836291497474,0.2814098569988699,0.28588997719597686,0.20898234337241473,0.18668084852389422,0.19119101413134587,0.21447066472289456,0.21071763649738473,0.3161670069569841
repetitive/spiky,0.04915497565704918,0.13230340922502626,0.20365293276979235,0.21931221631090703,0.23842914997535658,0.24846664479692548,0.2527377449898891,0.2546454623608704,0.25001133475208914,0.2895480298941502,0.31979092080786586,0.38665491337284796
construction-/craftsmanship-related,0.009067074291569388,0.02759065721655407,0.06081003441684618,0.09483924907172281,0.09664021181932825,0.11356225978314582,0.0879421837869806,0.1239523451364073,0.1756824405449524,0.248069173200534,0.3906042509419999,0.4533844570140796
spherical/voluminous,0.0028011673755589106,0.03378676839763062,0.052863208418293284,0.07130734850937459,0.08810343935940712,0.06646018072398419,0.07371633667583333,0.07343583331756698,0.10902721788868508,0.20361330777393727,0.29803579723845086,0.44718704876702364
string-related/curved,-0.022349277970357795,-0.006154250972704389,0.011876793133199337,0.06758970971248623,0.048253446987255866,0.047986630514167405,0.07045508330131633,0.06513368146899023,0.08020389715414011,0.1593537247200788,0.31506707594075767,0.38622349064110506
seating-/standing-/lying-related,-0.01865177641368221,0.008206133954280825,0.059109930510948705,0.09196418423279684,0.1024319304178618,0.1032247910127414,0.11209239040101959,0.1333946983394767,0.17179172815110966,0.2621424245204542,0.4033884159831157,0.44979181557790116
flying-/sky-related,0.17532811508408885,0.20242724398537904,0.23297146216798748,0.23608363691814194,0.26901688858185346,0.26760154355617716,0.29711626616032427,0.32837996126538205,0.37020485632392097,0.45577023228839086,0.5419729189004397,0.4625906146848181
bug-related/non-mammalian/disgusting,0.0002834650847775011,0.016391640730057944,0.0508602508085777,0.10193532339809785,0.11104795527943978,0.12187832378492369,0.13481583018332688,0.16378632312861452,0.2414367186031664,0.4638831806120096,0.639585949530489,0.6625699923701711
transparent/shiny/crystalline,-0.00041334636278200776,0.004517898463868186,0.06394820562500558,0.09115833041864485,0.08878586116893317,0.09131733570226375,0.10052034913160546,0.12889853670549412,0.16291289123479635,0.23868138657874716,0.2677300298216104,0.37480971202846425
