dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
metallic/artificial,0.1405727540947611,0.24812095741191287,0.31747698777015687,0.37760816840603095,0.39932565007040643,0.42057980336183454,0.4449030151026473,0.5242703633359904,0.6372840385266259,0.7460266680681251,0.8036600942411763,0.8467872028298385
food-related,0.16748785443636582,0.29254362975940396,0.3294962466589336,0.41517314555086005,0.4630165036889402,0.5006640471638348,0.5527624941383137,0.5670685081321674,0.6923864978373566,0.7763748296133657,0.8338613644086785,0.8732033238752521
animal-related,0.08620813173196695,0.21524024079736626,0.28438815987938926,0.34061212149093045,0.3950275053199147,0.39079600407727,0.466542337347414,0.5629152845851184,0.698620657029728,0.8558408891501315,0.8842036453992886,0.8994416248902724
textile,0.04414782620453106,0.10718936135936952,0.13843233768472074,0.1672241043540763,0.19303923630378828,0.18926479498011095,0.24618832520527023,0.33291930184093066,0.4377839883506127,0.6133195810871308,0.6912186807812892,0.7615725171954545
plant-related,0.25465075615651567,0.3411274794512398,0.3686858217160688,0.4102231726927782,0.42217793525752967,0.45627460194802816,0.4597165710071408,0.479928297298444,0.5306718721405748,0.6081134798009714,0.74930052826149,0.7768480401255797
house-related/furnishing-related,0.10445901622890175,0.2223650604838595,0.2920189823470657,0.4070087780373888,0.40658817574695705,0.42796749423781855,0.4293443027203735,0.45927258743086563,0.574271057308561,0.67356608721575,0.6745715200599631,0.7341255156042803
valuable/precious,0.039241336141018435,0.1155216672782764,0.16562614708014667,0.18440885430843723,0.18572734762511411,0.20426261816641622,0.21741519091120465,0.23431655695737863,0.3898700599593561,0.5383260711615676,0.6266652494809672,0.6752428027989263
transportation-/movement-related,0.10721268171975706,0.17628150077003968,0.2758374274314117,0.30932407575600085,0.33921520015634243,0.3522921140327737,0.39744003192028976,0.4334434318282966,0.591080749776856,0.7159726454214119,0.7647382682977071,0.7506326754464299
body-/people-related,0.03202222785086495,0.13638845679221867,0.22349877948503627,0.3050870009623887,0.3841116060349753,0.35384881565033754,0.5065018243771864,0.5984504062714557,0.7522698090891031,0.822882179801313,0.8148661729843878,0.7817132846266817
wood-related/brown,0.0759384559870605,0.16017442286965966,0.19679680070598404,0.25338674080586343,0.2592283753043513,0.27039685005594505,0.2502206313608304,0.2680449829984163,0.2917669796533615,0.32979749220150345,0.40502246835339384,0.5832542584070404
electronics/technology,0.04403729277343349,0.12886534946407657,0.19033915504572374,0.25535946410989663,0.2894038711226268,0.31979658453428794,0.29912204220862837,0.3296968769053342,0.42756676535342675,0.539335649148875,0.702283610161583,0.7426186644190542
colorful/playful,0.32896679616544733,0.3822117586526793,0.4131302970972873,0.40840072533443084,0.42071595291126307,0.4309394555246512,0.41086364554536403,0.4468625396007643,0.523489934148739,0.6124082096533412,0.6085036841059468,0.641143054732954
outdoors,0.23372448671934554,0.2828303768227979,0.34352562638951734,0.41257952101299744,0.44291583434919957,0.4804480480364848,0.5129919212561549,0.5454754963784783,0.5998300268823401,0.6804045361895116,0.6924476536122113,0.689395877716252
circular/round,-9.247497795428217e-05,0.021208924277847707,0.055096222569505526,0.08636917405674405,0.10275580015412067,0.15749834750545866,0.17261823447275237,0.202572603043214,0.19135880443032482,0.25131140097851,0.3051736580694807,0.41689271297230823
paper-related/flat,0.03964952551960221,0.09632987837660756,0.14766808541116905,0.2428752413971106,0.2588638289276558,0.2795200336715288,0.27830695663129523,0.3504981720964201,0.4825935436266303,0.5479534983615045,0.5465840807118849,0.6167444650385459
sports-/playing-related,0.019330982018661902,0.05098984504215531,0.07822330494281426,0.10028877782708678,0.11171091222654139,0.11446722789851893,0.12465245657566348,0.13165170777927715,0.17943203774644234,0.3208122816949083,0.5655775665538232,0.6061401887241118
tools/handheld/elongated,0.05627661642265913,0.09194439470212712,0.1472159275277708,0.21195817881406054,0.23966163770093607,0.23308832075165342,0.2445811720479617,0.261500475756682,0.3314470621991171,0.4360168821540473,0.6203957932218971,0.6727170197332855
fluid-related/drink-related,0.028519855426139218,0.0402347630578237,0.07770699557019423,0.09964391151258756,0.10751490109073392,0.10506154922549982,0.12185999356112476,0.18085042770699533,0.2897329698478307,0.40198154264051245,0.5397472585065445,0.6480895455869122
water-related,0.08205399002683278,0.10153365137583137,0.11304207956579337,0.12753287419887116,0.13462669858812149,0.14678346563986167,0.15000902330207988,0.14127698120779264,0.23280617969101258,0.4234031643540128,0.5851575943973351,0.6669834534228227
oriented/many things,0.08587455881001804,0.12938064331827537,0.1968950072802207,0.23359713307852714,0.24391057346310707,0.2640639271178705,0.24115132577992826,0.2957911452539773,0.3957719572147228,0.4880965729812592,0.4679154526393202,0.561245714858052
powdery/earth-related,0.08178658345734513,0.16809775908711,0.23526334258796033,0.2475781566799674,0.2569042446374854,0.2649395685525936,0.274317742538834,0.2979957110000946,0.3578723985127148,0.43029136691512615,0.4738216166582585,0.5312185204248063
white,0.1299947402192988,0.17305766904263464,0.21877270015072192,0.2685913328871037,0.2567536394384242,0.26006990389232254,0.23561132420313213,0.27829356032370856,0.26262488515380167,0.24895584321030173,0.23629525903831927,0.38193116633740765
coarse pattern/many things,0.10988248094756603,0.18014125544369308,0.24541379608407665,0.3087708757843257,0.37280420317005203,0.3960818879501654,0.37162332605940473,0.4089969387961524,0.4484562068070258,0.5244726150726486,0.5449862195945677,0.6128792300420369
red,0.3190121571014083,0.4354490395392896,0.45645337571329925,0.4583539451670958,0.43583657535946474,0.4279886338302128,0.3483308383243332,0.28394910822900843,0.3067981810770921,0.24687708576076062,0.1378098694538461,0.4057044279447757
long/thin,0.05557564988288699,0.11085061060140022,0.15310361333329026,0.20940260957370826,0.21177426460560012,0.2073227029403203,0.20451793213558733,0.242947704684644,0.26486348103507906,0.3733795642361287,0.3852645278243859,0.5071535837166267
weapon-/danger-related,0.023441460120561586,0.03623375469948176,0.05903917467637121,0.08751049061561145,0.09533040057439035,0.0988330536116726,0.09901461346135676,0.10821994765097454,0.14533845585769467,0.20259679339172,0.38494563960224437,0.4676705465927965
black,0.10794610781299308,0.22078345888491524,0.2609871531331741,0.23841470727023806,0.2333872934723219,0.22102997903416466,0.2414370714233629,0.22184953234530835,0.20910575715105306,0.24944502125355472,0.22994434226967098,0.34782096047463207
household,0.029301539341612837,0.0513189607926785,0.09162981693898431,0.10930719040679171,0.11521233719322854,0.12402964875779077,0.13294119760590817,0.16757466383922615,0.19459493558763064,0.2670540095067452,0.3930684671757384,0.47218172879369413
feminine (stereotypical),0.07691485127011588,0.11106543067658081,0.12222383977780105,0.13830668214075137,0.12514782279342063,0.13743209523013888,0.1381330030429857,0.12995618269609444,0.1842969164066216,0.2783966185758069,0.4193710833467764,0.44689540543206363
body part-related,0.11520407153531065,0.1705333673126157,0.2198223533532112,0.25862292214623717,0.2818135101633973,0.24822714460202766,0.30904717053904085,0.3166193912902653,0.386535265428821,0.494432903561007,0.510332731959952,0.5766069706619803
tubular,0.013639098110652004,0.02663607929086509,0.05247241791257162,0.10724512705150202,0.12813422155972087,0.1047758028884953,0.09233556211486704,0.11439243199094751,0.1576275988570629,0.1890102782843296,0.27615233229280045,0.4361367684240116
music-/hearing-/hobby-related/loud,0.01914881698290616,0.03979118101748669,0.049743291323442684,0.05698720791689105,0.0634720474766961,0.06871805744979087,0.061805875905274754,0.09053109639135837,0.104370262757571,0.15227933068665955,0.41467795984096867,0.5267227919471507
grid-/grating-related,0.10365246003444728,0.15027933688126172,0.2628896672870773,0.31874100398024874,0.2813376227927633,0.28334825793581253,0.20812733363082414,0.18928282984959144,0.19440154989309144,0.2161079846650874,0.21288197457859692,0.3174854088352099
repetitive/spiky,0.06427538886862127,0.1460544834415789,0.2091857543890251,0.22531271530511676,0.24213496962853143,0.24875761468031665,0.25494165994317197,0.25765504541742845,0.25289817901833456,0.2918141150388238,0.32189141309526415,0.3866709960425422
construction-/craftsmanship-related,0.02303654227049312,0.04033178957482464,0.07185065968710691,0.10007334943109059,0.10099359517816986,0.11791820774766593,0.09542285673390427,0.12756368449124733,0.17885155540684727,0.2511978002896863,0.39207531562586706,0.4546301778323819
spherical/voluminous,0.02251861034488989,0.04978142476817227,0.060048154611648585,0.07984564684135809,0.09358264700763075,0.0691696829578412,0.08026335632611914,0.08300898338097462,0.11553163245901632,0.20558153229311305,0.29951825187858816,0.4477315901271103
string-related/curved,-0.0073724509720924924,0.007060101767883742,0.027730910940612752,0.07176069226761317,0.051301783422948666,0.051644766074964155,0.06987127097046475,0.06945705808406355,0.08564588279381113,0.16290987046812133,0.31748514031564057,0.3870224476755154
seating-/standing-/lying-related,0.006636210382171881,0.025850410898519027,0.07070976998877965,0.09369749975186148,0.10749551446508943,0.1098977966642497,0.11782561349985665,0.1356589980788484,0.17417262133521194,0.26578582404378037,0.40457058684599834,0.45061531664498755
flying-/sky-related,0.17982091481527684,0.20406099943259615,0.23918838314688773,0.24068362755213546,0.27326791403002015,0.26954708166676056,0.2986142813510383,0.3297454963815081,0.3718057500562527,0.4568778024306588,0.5426403613921553,0.46330128919842295
bug-related/non-mammalian/disgusting,0.01979155174370295,0.03022958807509446,0.06060596381050798,0.10664248985576674,0.11701577133793595,0.12747486336552283,0.13693131224819755,0.16685204477749394,0.24312089858078767,0.4649250064152891,0.6392024940419314,0.6626058503924045
transparent/shiny/crystalline,0.0197906675089371,0.020000563346669997,0.07362596171196734,0.09317137054116476,0.09590351614384318,0.09704826234192565,0.10580196668710451,0.1338031677363305,0.1665165596518634,0.24053701590171384,0.2697062799592512,0.3744405451810764
sand-colored,0.1204152042221257,0.20217873162412714,0.21730033277849303,0.2266165709499307,0.22764673975814054,0.22703268612880034,0.20481523324528006,0.21591483006567636,0.18170702592404508,0.18184183837717172,0.18617641682391406,0.24390556601139235
green,0.266892186967141,0.345653130939343,0.3686250944129069,0.34753633969154163,0.3333797891784458,0.3424227159662482,0.3023774160117034,0.28283584937451745,0.24536480874603706,0.22014223798955113,0.19630480270812978,0.359516576316505
bathroom-/wetness-related,0.028555944745737416,0.035392690563198714,0.046584336759390776,0.04624025943977994,0.06828749494319797,0.05396088184973813,0.05976098051199319,0.052744215300801756,0.07982749772124831,0.14632749008413748,0.4029819743945975,0.4139051076447092
yellow,0.09006640979795855,0.21903393079298128,0.22101183794314705,0.22556559659356845,0.19513289217146979,0.21070682595107593,0.1598193878510712,0.15075374901187677,0.1154731316534251,0.1107138072726257,0.06557153387110581,0.19646303377912944
heat-/fire-/light-related,0.024590926764703203,0.021239494537645398,0.03117856325708801,0.03619070559753024,0.040927578216325755,0.041807175852337064,0.03946315040609505,0.05975755813195727,0.0740604257337133,0.11549481833410735,0.12426060666024008,0.33465375531273567
beams-/mesh-related,0.07130298030499882,0.13027631270568651,0.15638082647911944,0.17271268711281262,0.2123459304135623,0.2041910224553587,0.18317283383482064,0.20245709911186638,0.23259356176788926,0.2715998212219679,0.3180923518958133,0.3004561884740724
foot-/walking-related,-0.001494530766915858,0.012026856274234832,0.020153807726555728,0.030009922894951857,0.028191644441930674,0.03350459043926468,0.03063245679348181,0.04334101670850121,0.07893520695590839,0.16473471259539163,0.2643933278475541,0.4222005290072457
box-related/container,0.032775489187783835,0.061994176858318206,0.10024876284982376,0.12490741867966493,0.13682864417493923,0.12354587447706511,0.12242758611953408,0.11812297790242499,0.1494441738500022,0.19226784601033942,0.24103115102868555,0.3030620485750404
stick-shaped/container,0.051587534451429384,0.05439365857299139,0.058297059911299964,0.07301000730216145,0.07091564071547451,0.07330297882446268,0.06975085093226596,0.08802876768877688,0.12668150520009613,0.18721176993870248,0.3234261371626155,0.3306607985187119
head-related,0.026061821276820774,0.05508097878407647,0.07463043910909628,0.08434298353297653,0.10149954002490813,0.09589640719410908,0.09786489942465026,0.11179737243043186,0.18019974194380328,0.2347870174873301,0.2318782251108139,0.236920559533091
upright/elongated/volumous,0.004430274408722568,0.08746119636883487,0.1098248081634362,0.15036849033033428,0.147912093164427,0.1431179592506875,0.13576469653476186,0.16206971535103354,0.20017057374894331,0.28980727717489463,0.31752110516796617,0.31990511903733976
pointed/spiky,0.006666754737807534,0.012902403706562926,0.050744840382954015,0.06467656474789718,0.07579441798128272,0.07676455673472593,0.07778020396163521,0.08019706092696488,0.10429128179560943,0.16765872755401512,0.2307135751537447,0.2822203943856455
child-/toy-related/cute,0.00816502420595755,0.019037309421890414,0.03153139102429303,0.03509989251741086,0.03491365528189749,0.03410923789183584,0.05220006254074172,0.06538414728503439,0.10820241048912149,0.16799633329681918,0.2601868446447403,0.2609142637810974
farm-related/historical,0.01630587754341284,0.031134277948096534,0.05232937789490655,0.07191836711079991,0.0798566863918565,0.08077549131027273,0.0907176524185993,0.09393657793852872,0.122083386642721,0.1712103412126076,0.34247062725384103,0.3329642315021314
seeing-related,0.014002289694055814,0.021690901265938423,0.02411410094890243,0.03126259898336825,0.032511597361656874,0.03571923891343021,0.030999878474444076,0.031580786503597524,0.0512821580913434,0.07797642493173484,0.10887818148069517,0.18883040148984764
medicine-/health-related,0.029582714114859354,0.03888040819307703,0.03571949456804635,0.04779030522165684,0.04699598439132435,0.03779963351032556,0.03949603859707518,0.037361522793237234,0.05850242642366155,0.08109192606370197,0.16524651786018696,0.2640805536436802
sweet / dessert-related,0.022339909782585265,0.04624882051408763,0.05126669913751958,0.06337964972050747,0.054203925490483695,0.0573750551252864,0.06847025241702742,0.08236422814671795,0.1084739171727851,0.12962025036586733,0.3152794582782562,0.45166892281790205
orange,0.09844725319202863,0.13712142304320907,0.16424171819032363,0.17862298053582792,0.17400289239023092,0.14412165345010008,0.10003801366616139,0.10350263656693492,0.09344402661337736,0.07250406159853351,0.038136265035413563,0.09047296172248276
thin/flat/wrapping,0.014374178522171821,0.019770991068309596,0.02897513942780172,0.032622517768615356,0.03745392361164446,0.04090448841244043,0.048549455569447786,0.049594603362815515,0.06411230949136226,0.10535861076597652,0.17125441274758968,0.2214366807321595
cylindrical/conical/cushioning,0.03840695808883554,0.04977806433911636,0.05552293488846971,0.06615075471283494,0.06792205238013094,0.0596062545846463,0.06716445583669106,0.06595707723092947,0.09333641388204816,0.11725277218570584,0.1506784126611449,0.17911376872233176
coldness-related/winter-related,0.029288029507993585,0.03616763108583865,0.04552420710227523,0.04874333160891353,0.045986278121706525,0.04042853369962551,0.04472870865407175,0.033714536405353046,0.040108156871731526,0.09498647568167462,0.1404953075808758,0.2302335780452056
measurement-related/numbers-related,-0.0009015566577228462,0.003041486156075801,0.017788265151069904,0.07043986400548485,0.08531239905096644,0.06969732526884409,0.0510595988258038,0.07606225273401024,0.1161827402759873,0.26509785867631364,0.24432732268932755,0.2405444192617633
fluffy/soft,0.006306474964643427,0.023638628041284804,0.0477371043020427,0.06210671189648165,0.06602598617149935,0.06309202580092887,0.022212298176139456,0.022374148459845422,0.02768713311229054,0.059151122355704744,0.10415794697654146,0.20823549958341936
masculine (stereotypical),0.0056487965503311255,0.014476737875459667,0.014616654355207537,0.013534810766906769,0.011770169983502332,0.011283238699251186,0.011298205710848497,0.012620042279945287,0.032580926958902134,0.036651124429788906,0.09584277514925166,0.17564487065238787
fine-grained pattern,0.023745947172881032,0.03586742618823202,0.07254163068542474,0.10376814152574099,0.10476169386048917,0.11776672744104366,0.11855401967970036,0.11487618489503848,0.1359965216744896,0.14297816376801675,0.1303087914838913,0.15813293292190067
