dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.2837046884587131,0.39002795199902407,0.4681003229279167,0.5600085195516442,0.6672712132933147,0.7039698125814899,0.7195167170371526,0.763981994325765,0.8005155690345591,0.8655501177782476,0.8151751607291979,0.7931078848646316
wood,0.4111778082783747,0.5452794553888073,0.6321845244957895,0.6785540846839417,0.6651953081837623,0.7237647811733052,0.7291809409650868,0.7949792284786881,0.8264878950160796,0.8020664254336974,0.7872745575609682,0.7189217535911339
metallic,0.31699584579395357,0.5483819314154466,0.5299665685316342,0.5413202751253494,0.53012673291548,0.5427478676635609,0.5434157210692125,0.5781937583330601,0.6310516614140471,0.6738061148107977,0.6421436256253858,0.5989219848333938
fabric,0.033565203428968626,0.023867950927190185,0.13143773266162195,0.3136419346646775,0.3888145818080757,0.4523055736193662,0.5731376249306239,0.6779457374802413,0.7607053439311254,0.8162160409096886,0.7704313559497818,0.767396276330875
white colour,0.5754056036103644,0.612020951059761,0.5966931518083369,0.6771448301259282,0.6696045046686743,0.7190466761395984,0.7356324334917126,0.7029789765408353,0.6948712737292648,0.7105224608381752,0.6135495493625271,0.6554656579778424
grainy,0.23430593384254383,0.3942802896725963,0.43666090860752815,0.5625227573938261,0.6659507341336827,0.6764596581581104,0.6793527917383877,0.697289594660568,0.6947496196204542,0.7177261934683792,0.6323016695386188,0.5986218872095825
crystalline,0.007004024961538735,0.14494398701451794,0.24528869731885972,0.36187431245563884,0.38042893498819874,0.483680856563947,0.5046928657364078,0.5891332612007598,0.6268525925205015,0.6943029078802458,0.7426493861803287,0.6481044107979936
"straw, fibrous",0.1436235960380201,0.24056267271538967,0.2750713022799838,0.4064682874395964,0.5028881623519518,0.5839946078224357,0.6230727906046654,0.6534767388049854,0.6757138700924337,0.6610259179569016,0.6513812449350571,0.5915248767051364
cloudy,0.047860543611211614,0.10115749265493679,0.16693420023345595,0.32552946361209545,0.3981621042694753,0.42227376546361917,0.40927596230440944,0.5003766428598364,0.5373114651076623,0.5812932721521926,0.5480797595289579,0.5886054359008913
small,0.1547259644786072,0.311486198362116,0.31449060290563635,0.4889615651823961,0.5729667250624775,0.5708895673537591,0.6509331334465438,0.6419670790159735,0.6297977913388639,0.6832273409119589,0.6172623447379122,0.6028792757693322
"beige colour, tan colour",0.39097538253818453,0.542930963856106,0.5227307784385777,0.5373529556232335,0.5671589930605911,0.5373982898850144,0.47949684232809353,0.5304285225590479,0.5282702702248459,0.5365385796548945,0.34815051304131894,0.259787519477648
