dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,-1.3136361432576238,-1.2085302930201522,-1.1204950283100623,-1.1065122870122739,-1.1639652279781365,-1.4241359393499367,-1.5004059506861283,-1.2510332432987936,-1.39546205399262,-1.419018246584736,-2.2120207872167583,-2.9344086544017496
wood,-0.6748348861993247,-0.9159418326335609,-0.8889889742935528,-1.0863728701593662,-0.6944786163467145,-0.8763541834842863,-0.9712591440941782,-1.1695657334487106,-1.7710471312411982,-1.7055673812215795,-1.1686843824509574,-2.0694866533953564
metallic,-0.8961790996003498,-0.47641516455991084,-0.577573832223689,-0.5792750170033392,-0.7082149679660974,-1.1615703165686377,-1.0998692901479656,-0.9352011661832782,-1.1916002082644024,-1.3399832407145404,-1.1695561368839766,-1.5138873891284672
fabric,-0.6662626296571159,-0.7276425712574826,-0.6729221646400454,-0.7590186070227132,-0.854547787112848,-0.9069247114039716,-0.9588690427363853,-0.98297689116869,-1.144999367632963,-0.918693666724306,-0.867442839154011,-1.2285958902092866
white colour,-0.6609299589194533,-0.306135196701786,-0.3176991291060698,-0.3227605398188991,-0.543675116633856,-0.912802718146458,-0.9188604818932191,-1.1211290723035918,-1.04245693205602,-0.7973639400145909,-1.1667010693205127,-1.676974278095051
grainy,-0.7504642339144534,-0.6243974369344565,-0.4316534157639902,-0.428186966396223,-0.5549266759898148,-0.7838348800609869,-0.739976025409236,-0.6638620478844559,-0.6605202838182633,-1.0534842236978936,-1.3532675582044456,-1.4187415459447625
crystalline,-0.6813965121395429,-0.6898435021490339,-0.5794292733825066,-0.527872040544966,-0.6827072029912966,-0.7397174283819115,-0.8636815866701424,-0.5784596928158714,-0.5371094154129485,-0.5346398009489581,-1.1587076053169398,-1.4775771206987116
"straw, fibrous",-0.5436696646595183,-0.45520405733324165,-0.45370333738281143,-0.5329646783522415,-0.6223481932275292,-0.4606668461787533,-0.7233414853440405,-0.5123867239481583,-0.948595310560649,-0.5704732078237673,-1.1083560443516025,-1.0824072025597022
cloudy,-0.6028836809232847,-0.657272644192106,-0.6087289642231264,-0.4533697500492162,-0.7475329854672466,-0.7062187450770943,-0.8023608966454134,-0.7580328763125188,-1.1292641453819519,-0.5930600640220809,-0.9372938782824227,-1.2092696506115344
small,-0.5504962351462526,-0.37187102967626995,-0.3977478313217855,-0.2995001219862423,-0.44669464770307754,-0.45709720368440254,-0.5618587764805592,-0.3388184093276161,-0.43202948437262334,-0.5367533177908288,-1.0265085207147249,-0.744915059567389
"beige colour, tan colour",-0.42025351195648275,-0.3694087440747271,-0.5784233367347873,-0.6560770060201255,-0.7245651870668286,-0.46969789087850256,-0.9298321477815901,-0.6932370972546031,-0.7757764637670346,-0.7302540256360361,-1.0773654241443507,-1.417021951524271
viscous,-0.4348806174585915,-0.43196672219055743,-0.4693525815402846,-0.4580625367188156,-0.5117312465837709,-0.6028269050729038,-0.6568522029791226,-0.6103188311925032,-0.5343877313037728,-0.37026967921447906,-0.7608706748475138,-0.8592870176372598
black colour,-0.1801614859506271,-0.2793949526583972,-0.036607737445784716,-0.309831931414428,-0.29586794181498366,-0.6198120109890182,-0.362177098357785,-0.33822625745432755,-0.5306740772884515,-0.4584138212902009,-0.6319570696549073,-0.815497693586583
brick,-0.4598810001045648,-0.452889923125384,-0.4072442382818282,-0.461320881187,-0.45903969933004807,-0.5391038714953023,-0.5110646088782629,-0.5311862112022347,-0.4075262331657812,-0.412156855067382,-0.7479430854849982,-0.985292553985486
swirly,-0.5376751068926138,-0.5629540403529318,-0.5406140946654419,-0.49310379856522424,-0.6369016410059773,-0.6887855131531859,-0.6830698179286012,-0.818892819688275,-0.7797780331950706,-0.7757509487527827,-0.8451570924226812,-1.0810057195756881
maroon colour,-0.16778685064990118,-0.344347900013656,-0.3826097101741943,-0.42897925281246496,-0.4856144736577348,-0.3076850713449206,-0.432305505551142,-0.4081808381154133,-0.5983850115563556,-0.4884555029407289,-0.947953542118749,-0.9357511707399033
"lines, long, tubular, vertical",-0.40916762019443254,-0.21222895673527664,-0.4085097993093594,-0.4557226736921489,-0.3817821967460895,-0.37721568635177927,-0.5728498993566018,-0.4656498709902266,-0.5346753514327269,-0.5077330421650861,-0.7205717106840408,-0.9452813208900561
