dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.23141054261926297,0.35768905546726704,0.43052787730256287,0.5248472292107264,0.633694409313759,0.6750984269040794,0.6936415386393483,0.7417797003630524,0.7807393118098996,0.8522133477033507,0.7990076038146242,0.7730529227279336
wood,0.3222082522701009,0.45653083542572387,0.5715875687718972,0.609930517517508,0.6054889447525487,0.6643371361483654,0.667571449857488,0.7406588715283028,0.7712778166007255,0.7524608562130475,0.733811570594564,0.6330945101606662
metallic,0.2427968486254736,0.4779266186621145,0.4567522359503104,0.45066460005532905,0.44810781278215756,0.46143189524894934,0.452365503232909,0.5168905939582891,0.579862963640964,0.6356494444610494,0.5936119585537074,0.5327273502639458
fabric,-0.12256387178206558,-0.23815125094214845,-0.1020590799242485,0.12628745805009256,0.20395454795729034,0.31472614961776546,0.34498446653766657,0.5012611484778183,0.6716604065668899,0.740667221983984,0.6241371861658894,0.6991449463596039
white colour,0.5188905423013914,0.5674139169362413,0.549111655842434,0.6409731474056283,0.640638154369974,0.6950930207015794,0.7124618147300832,0.679350117366971,0.6725392246993103,0.6985708994112674,0.5901967370632413,0.6279149266158993
grainy,0.1534938377425142,0.2947541094556471,0.3477478602387494,0.48596694443884775,0.5952597356710954,0.606924432873747,0.6033617927898679,0.6352329611335805,0.6344201209587104,0.6676167068585938,0.561999112592231,0.4713158097188668
crystalline,-0.07721574416747437,0.06665075218876029,0.1775712148141113,0.30360237744253105,0.3091225527548993,0.4115469307141777,0.44994509854095766,0.5539514560107697,0.5595551414631019,0.6289018191950072,0.7015703438707899,0.6027776024788977
"straw, fibrous",-0.07588315043618277,0.029525050446809996,0.04054291663367152,0.0974222458648551,0.20151252591423777,0.28606639562296,0.36883339692778594,0.34487906197676904,0.4321222235937494,0.40380497085178835,0.4054267990717523,0.3136817709442607
cloudy,-0.0013095686249538717,0.034207191610401956,0.10430064248669475,0.24994376540362753,0.2997783684464138,0.3109537453573745,0.29487691129012694,0.39082966402945074,0.4434380340090348,0.5178536218605562,0.4610826712548349,0.5290436027074551
small,0.08545893736646294,0.2330789728269668,0.24579826859752307,0.4210540849444165,0.5149403521636777,0.510708035671122,0.5765581140661236,0.5843183329033451,0.5738795574079727,0.6282012184866643,0.5468130050527252,0.5374039278339163
"beige colour, tan colour",0.2917421811878378,0.4689747520570623,0.44225904328887217,0.4449697952205699,0.47453387497887595,0.43091730647452986,0.3329016721850315,0.3912541638869851,0.3864933794526001,0.4000169060548423,0.16636069803177805,-0.05458376467501926
viscous,-0.08222907479545345,-0.0725379270041881,-0.05857989582774403,0.02309766015336514,0.03901860593907726,0.003252413578120139,-0.12777207385134487,0.0022910646923944957,0.09483918700855756,0.2216545786299755,0.12382467464669174,0.4752690777308768
black colour,0.17217198587486582,0.3805302686932797,0.4173413408769548,0.40344734614212124,0.34423284888453853,0.3379948906639276,0.2970228263409737,0.36721220657495446,0.2604229518120264,0.38235289635549974,0.1982589758527415,-0.29012162731618607
brick,-0.10607586649993758,-0.13519841070586533,-0.13891301345801482,-0.08367259287797463,-0.1652238367089762,-0.1913023582638555,-0.15560795971238006,0.05317736529965429,0.09105402517098822,0.24516957156863625,0.08869414939718592,0.21729105821367933
