dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.2708679034818771,0.49870137057504155,0.5658208721944764,0.6925638313837693,0.7498653027037818,0.7405901207574154,0.7393775693449129,0.7539970659898831,0.8047279970807686,0.8378552193151245,0.8111789115046015,0.8473923786331282
wood,0.3635117020504613,0.4881719177575053,0.589539704486534,0.6341921801811952,0.6705360016010993,0.6919202518447589,0.7175265265742514,0.7436127779262581,0.7714981603409258,0.7515341842369332,0.7317080355705641,0.7768125914029261
metallic,0.40336551396169185,0.5344894421304612,0.540063406304262,0.5860617469256539,0.5563885198796564,0.557726951854646,0.5991986193886515,0.6493020021375931,0.6875289422047967,0.6586523316573631,0.6254793622831134,0.6628516307187294
fabric,-0.0979321924950757,0.0012761798724491903,0.0769061547666428,0.2630661226245798,0.34001254423637267,0.3850665570591013,0.527157769478204,0.5842082283305171,0.6945384913489389,0.7286426420263843,0.720731476030363,0.7483849636900741
white colour,0.6063703384193313,0.6912037807398724,0.6740592795739485,0.7523161242496924,0.7169293223596501,0.7173860531287884,0.6901486602033401,0.6640962980140953,0.6804106276998338,0.6365517539858383,0.5584815409578943,0.6791390950592996
grainy,0.19446526374833234,0.33485415614107605,0.42065211433903216,0.5891276178568677,0.6580251052711097,0.6442432564053615,0.6375930090986592,0.6407688254707669,0.6555357101154139,0.6088956686413337,0.6107128192807167,0.6973419782732568
crystalline,-0.08139539141340643,0.2200903737955397,0.3411641467917464,0.4606260743824667,0.4990728206252667,0.5379328661435718,0.6042181603376242,0.6097669263274509,0.670920162586053,0.6724241621809673,0.6837453760059092,0.7483541394009988
"straw, fibrous",0.07494013466547367,0.1866245073491378,0.10900001842855796,0.23386287416749352,0.44049091774000504,0.4930910758343927,0.4810438662143571,0.4967724154169299,0.5411935183337915,0.5030371308666008,0.5282210606741454,0.5108429964969641
cloudy,0.009584119474618635,0.1287159399288259,0.17607120064000817,0.31125812679474263,0.41786104989579054,0.42491742768901064,0.40840269944131213,0.4659732797292393,0.5003492892833877,0.5067648171050568,0.5569659615636231,0.6292006971276922
small,0.1944945982507465,0.2650590134201988,0.2999785629055035,0.48161760786746727,0.5291872884628414,0.5608495095911349,0.5814345479018865,0.5802340530205324,0.6144782392870034,0.6001034045499012,0.6101025292988844,0.6387713102327
"beige colour, tan colour",0.4741410487738956,0.5621657677719752,0.5737017019755452,0.5638211935937011,0.5190669922406106,0.525246383988046,0.4723822321868155,0.48871836610392083,0.46450323790392944,0.4089418314084156,0.36166035537159136,0.3686940447046657
viscous,-0.06668291522018865,-0.0779894757991823,-0.07293172608264029,0.003894569507475043,0.1210733637943859,0.12547952215490837,0.1303924591583701,0.19758556665410695,0.2934137092117496,0.32806471344714766,0.4083986587605836,0.5528083448391036
black colour,0.34933128671770775,0.4771211850499643,0.4835796109365109,0.5008371650113658,0.50606720116048,0.48641378291702597,0.43477146908393627,0.4175234511269471,0.4086584593816511,0.33891449598953455,0.33265104185892386,0.40369908224798257
brick,-0.09559143005976085,-0.1119694982098518,-0.07322459427638925,0.02089451495589375,0.08333485473193482,0.03890100378668093,0.15342203534902638,0.2281896679106608,0.3257771087276751,0.3441893555430341,0.34673733828099484,0.5231841767598897
swirly,-0.15889708751305257,-0.08298769395409203,-0.034521454886458844,0.1696452161356217,0.3063853807710647,0.3084372834718101,0.35739468905848754,0.3645207826843045,0.4625206499910182,0.46564287368773105,0.4351249761324857,0.5594558008047648
maroon colour,0.3976318335740098,0.4928540312684957,0.4753890621692628,0.44888742091941775,0.36173406188906504,0.3232195236712521,0.1569875944201298,0.09414660848129312,0.05299285712423006,-0.08358717261830324,-0.20034594717636098,-0.2149006566238322
"lines, long, tubular, vertical",-0.12315092002769527,0.11581582047049292,0.14253204899588107,0.1777504270441065,0.2599702359297375,0.23382372643790852,0.19874512258758864,0.23090650606309787,0.3063246305570458,0.21827729661279877,0.2526507218689133,0.3546322697533056
mesh,0.1543433946528842,0.1824790492853508,0.19997297797306307,0.32703389238963243,0.3673605590701549,0.40078852622237404,0.40742930203665856,0.4100220555802941,0.44260873553105273,0.4293739162101119,0.4634035964355646,0.5228441444079182
