dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.17080737921640515,0.3581777854532029,0.42225375481568816,0.5398551144064092,0.6219139219392862,0.6859012533570409,0.696070532644868,0.7442088288908182,0.7780309154429124,0.8517574400872867,0.807330932003455,0.8613214954044924
wood,0.19428429114830878,0.4843617253356328,0.5681580355668671,0.6046545580438292,0.5737638263395194,0.6687018273191206,0.6923335196937205,0.7215383817398969,0.782495166387301,0.7553775810482795,0.7562378447967751,0.7984238252333973
metallic,0.26714206877839175,0.4377685812950161,0.4194907649253886,0.4155963810524942,0.4387549371560042,0.44883092626124743,0.49547397350832184,0.5121632886237093,0.5844749931637491,0.6453247073522365,0.6347012055001934,0.7097296993385207
fabric,-0.39349505788842065,-0.25915034546969745,-0.17350199611786843,0.032632240472037576,0.20963626113593073,0.31606180077022517,0.37580216691494855,0.5528091774148293,0.6632591781916829,0.7298122139071652,0.6701007152693685,0.7762708444438221
white colour,0.49972812195072985,0.6420655307292809,0.635913385346778,0.6973054879265839,0.657763735354908,0.6949820594073339,0.6791710745919448,0.684494276515905,0.660875636391402,0.6708171675737284,0.5958495810021851,0.7444937831142833
grainy,-0.012045888790337588,0.2734134648294413,0.3653372583898392,0.47448255049571736,0.5907097868040341,0.6154008073730269,0.6246962360154767,0.6228218680841896,0.6399072957540445,0.6315306842899794,0.589348280421499,0.7129055815006641
crystalline,-0.3397719826774931,-0.02655438215727496,0.15282251540500888,0.2842152733290923,0.2863479203628758,0.4108093850749751,0.47788448011258433,0.5333154896272518,0.5581195179051598,0.604549186718369,0.6554755716944618,0.7729952884343069
"straw, fibrous",-0.4487927983861327,-0.1828450564389071,-0.09130189923880648,0.0153966145754999,0.19808717438803597,0.3002752455023174,0.4344966842715626,0.4223340419747691,0.4441902107060082,0.38406197271449444,0.38373766497652223,0.5050087076132301
cloudy,-0.10927650969597372,-0.006543510536773533,0.02588012931231869,0.18215972186891652,0.2672428742701176,0.32290844076414543,0.33131350296911,0.41768350530190357,0.4858714484449086,0.55462857816178,0.5224197549821928,0.6287880301235818
small,0.01032323844871852,0.17427599862183088,0.19448872253685015,0.36691560908680626,0.52295491937223,0.5331637444693793,0.5803179301499044,0.5610977427132566,0.5990111092507029,0.5963118549092329,0.5630283801627178,0.698292798420912
"beige colour, tan colour",0.35060089011421824,0.4514335552077834,0.4069039052505496,0.47304480334420856,0.4600185441447996,0.4387236809478458,0.4022202071106024,0.4085040478910903,0.4031259114912512,0.40055018398738973,0.2786650775768341,0.4101986860067751
viscous,-0.41546407613491115,-0.28753520885169903,-0.3004978000239687,-0.14970526399952894,-0.015124855935122505,0.02350732646321031,0.02431790373724695,0.03713211522881325,0.09123141567950636,0.19577589791396263,0.1874248909237702,0.5000315521215472
