dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.29488812699274336,0.5255559503746202,0.5786974898727888,0.7046634024997896,0.7521625172586328,0.7417441029913212,0.7398166649036092,0.7556405127747345,0.8057934904077207,0.839175678941624,0.8109179404206893,0.8582001125512975
wood,0.37007490125430265,0.5035097918505423,0.5982834230812187,0.6504834564224237,0.6699001710877648,0.6925585432676311,0.7211336910563704,0.7451761411937279,0.7722402262949191,0.7479404914484801,0.733015199743962,0.798520116650803
metallic,0.4078438731209344,0.5597957422852438,0.5669715421667243,0.5822019313758995,0.5556608949366676,0.5551881440974875,0.6029620728938856,0.6492913019435909,0.6844955067090306,0.6594811839629159,0.6302307608125315,0.7000356085385961
fabric,-0.08858916267232192,0.024917459377433237,0.074405261211054,0.2618228966115908,0.34296730733375574,0.38247874536780424,0.5258286810906303,0.5859252097941677,0.6943530145641738,0.731847894388636,0.7222755589924332,0.7749782838108551
white colour,0.5997457636629784,0.7024272964148377,0.6993864769358389,0.7578171006426877,0.7163848906944548,0.7171391115490027,0.6928129380851173,0.6671367453918348,0.6814313387083901,0.6343930420298074,0.5548611072852705,0.7062868753187497
grainy,0.20513379199754186,0.3728769850028807,0.43792247206186685,0.5983078512614994,0.6556379532076919,0.6450761320409397,0.6448269658337558,0.6442439919802455,0.6593816400482955,0.610271983162954,0.6180666262655236,0.7255198906967545
crystalline,-0.061405378581779246,0.2516932129386725,0.3722131459035593,0.4803159856288793,0.5006880015693814,0.5406713761940627,0.6045548830469711,0.6063785745793568,0.6707493426643188,0.672624851355664,0.681890783502336,0.7754269845147498
"straw, fibrous",0.0930081527380471,0.18182805493909027,0.13159704179471934,0.2465411349879755,0.4407259101541606,0.49114976727724474,0.4849267717756288,0.49576769175948937,0.539736126849708,0.5068035624536249,0.5307723162593188,0.5271994975850246
cloudy,0.015587958174589134,0.1801628880097006,0.18561321052810978,0.3241020998899712,0.41676866644599003,0.42554944303121955,0.4093622387223402,0.4697222322476783,0.5048455809693094,0.5098170986235833,0.5620513449989871,0.6613097844053069
small,0.2249612531225166,0.2859332721694948,0.3093908576447279,0.4887138371155368,0.5356057702025835,0.5629988988047683,0.573610577857621,0.5748857125370088,0.6124707591711526,0.5960923125209827,0.5984238646381438,0.6785076195526798
"beige colour, tan colour",0.46374826440788597,0.547102480451496,0.5677903171474389,0.5681527239377567,0.5144185119699857,0.5245015455967181,0.4787710204809107,0.49122259729963635,0.45831789445284815,0.40501927092456674,0.3769585816041977,0.4336769118478106
viscous,-0.08002441274377516,-0.06834344396104541,-0.067219236325494,0.01908548109273407,0.1254786216271065,0.11997670872161606,0.12885745761167958,0.19320629174832052,0.2903842446144166,0.3195419059364285,0.40690109633736754,0.6125689503817803
black colour,0.3980912847505541,0.5084517853134303,0.5275447782015095,0.5373288902023394,0.5149634057467585,0.4903551960916528,0.43437882892216056,0.4063045412050398,0.4120785432513978,0.3244038880785335,0.3234675817380947,0.41915861128176246
brick,-0.09746026459487325,-0.0945171120374496,-0.06963752617257253,0.024139071061032726,0.08642831731583496,0.039127220663045935,0.15919353823528481,0.22939417772310683,0.331476184124534,0.33849414310084186,0.316283534809649,0.5568265877152185
swirly,-0.11931490438743061,-0.05040229805219694,-0.015412811646669366,0.17898147410798054,0.3060905512649825,0.3151081532438304,0.35754044077795943,0.361872787856949,0.45989911512097786,0.4732187079762819,0.43189567936584317,0.5927879318711108
maroon colour,0.4362234894401982,0.47482102265633797,0.4738344163829149,0.44718030330130737,0.3622275317583935,0.32396269614985373,0.15850162404289764,0.08622890460070938,0.05258034629300621,-0.09290825865477062,-0.19591384017780686,-0.27411588617036003
"lines, long, tubular, vertical",-0.12239954171888008,0.12510933616732492,0.12180449751449048,0.18062647380805683,0.26425018535421174,0.23438484648353328,0.18677063236508024,0.2338020583456113,0.307389367519489,0.2183526043175271,0.26033385025507294,0.39036775472926294
mesh,0.1641315533466246,0.19563220887087743,0.22697361159080837,0.32837259248246214,0.36337939853984824,0.3962997216660734,0.42273186913804084,0.4089723786146949,0.43854649126802964,0.4259286193456656,0.4700429441336868,0.5692425848027636
yellow colour,0.49785790340565406,0.6248127263546113,0.5822508800735475,0.5233384325218061,0.3842619135154345,0.3925337572843559,0.3637038262620217,0.392419176271295,0.28148911048193187,0.21453721608018067,0.12114033529363952,0.19035794563563635
multi-coloured,0.298549457788833,0.45714551562695327,0.42539162945363174,0.40891851145286234,0.25578667075963074,0.23872383666516087,0.27272752280823104,0.3028368385017412,0.29804768054928726,0.43671257951229014,0.39051974155988967,0.3099673370267103
thin,-0.12287566786006718,-0.12351765090748348,-0.2266993161519931,-0.16245750373105963,-0.029962871690847482,-0.11163037706087837,-0.026299551429461443,0.0032325568832003325,-0.001483267002607458,0.05129457623756591,0.030524195677364797,0.27475245235883483
bulbous,-0.19269347740602377,-0.15601884760769308,-0.2727799732136672,0.038840110604942656,0.1646387601510159,0.11945538762225807,0.10989455007045582,0.17197336042592956,0.1894139098815413,0.19514394054425685,0.07929519283400294,0.3000668371724855
green colour,0.4493512002013665,0.33051413797159945,0.3220106226713109,0.3418894512648293,0.24891334442160878,0.3166601289596751,0.20904523886388188,0.15170216779094486,0.11036304920169959,0.11466396748722041,-0.2666509201422177,-0.11007875410137924
blue colour,0.45512677618479563,0.5136215097355201,0.5376470373290998,0.4899897518096793,0.392569718761064,0.37612578971164584,0.2915757598846289,0.3447785908259782,0.31046018873185294,0.25583726301266213,0.10724432445726513,0.07651724910302372
shell,-0.07948491296340111,-0.2265417921528739,-0.14771457743047667,-0.19009824552150598,-0.20947233585607722,-0.09994686808688147,-0.11710334854206679,-0.09105797722310562,-0.05653528506519641,-0.01233960863839173,0.05872607739165607,0.149952809838448
"gemstone, smooth",-0.22638089466150796,-0.40794290135509054,-0.46799007164513534,-0.4182634381907248,-0.49366195160406756,-0.40457000425995526,-0.38810801740565254,-0.33037480073895525,-0.13993444735097876,-0.20158653446590202,-0.07492869115885792,0.19085466308426308
sheet,-0.22162333020312436,-0.33533737304811956,-0.38058647334188045,-0.3547100962936621,-0.353215990581287,-0.3524625088424431,-0.29629487096887397,-0.12566862356977188,-0.040518168930514534,-0.012512136936674977,0.008942602093936403,0.17730847600836958
hair,-0.12367014137690129,-0.14074285144721746,-0.1439902373796798,-0.12702051741660378,0.035953311282496035,0.01763332083458228,-0.11510360532402439,-0.05434201003781238,0.04208495988271995,-0.023586363674424227,-0.17054729399394422,-0.13815371693030234
spongy,-0.4119112511713226,-0.5559809975971367,-0.5083874693644712,-0.48178780146566924,-0.4731221694477907,-0.4428095737913814,-0.3401638831703519,-0.26897385264113366,-0.22524533588471202,-0.25981626643220224,-0.23411183926783968,-0.06100624694407669
golden,-0.044815715824942946,-0.047144480055603,0.013139413013549118,0.04355885182626331,-0.001405798194346919,0.01595863900751676,0.06271624087670633,0.028914841589214903,0.023329819222241553,-0.029098638056639935,-0.11214139912353316,0.04437305659260192
red colour,0.15012850976580489,0.26132989690331154,0.28147093868026196,0.19114285385395885,0.0820674018729322,-0.011827552594962676,-0.156868825461566,-0.15791649452243955,-0.17869982905961018,-0.3798037475533821,-0.4310310011614355,-0.40793570256859396
"round, smooth",-0.3631309898783304,-0.5775935491286829,-0.5823460440460978,-0.4871469747765843,-0.41985476327893156,-0.35876030628221056,-0.4117292906265787,-0.32049698367555146,-0.2575159750436396,-0.44467056227230223,-0.3177576911378435,-0.04360887268420727
cream colour,0.0010186526244234217,0.033925626496642255,-0.003242367300867932,-0.026698964934080416,-0.16157650531224896,-0.2958243920275804,-0.37788978857599637,-0.39817761915288086,-0.4253927026999301,-0.4500118415376956,-0.5729864436660446,-0.3435804955429536
bumpy,-0.2662173627859097,-0.3330902272263702,-0.293896930357334,-0.28547852321161493,-0.2764938230338873,-0.2924011103781484,-0.27404476825153584,-0.23423285292789275,-0.22967827879411393,-0.21836176341612798,-0.17461851730161432,0.05231801805277064
hot,-0.6896562981407479,-0.5814846088607688,-0.6572436311976908,-0.6357683675650204,-0.7675311384269865,-0.6049492172683475,-0.8777121243447551,-0.8716233837059484,-0.8471125438350213,-0.687057845885934,-0.6102988658020345,-0.8136110293651525
turquoise colour,-0.47162521332129625,-0.5346610350863759,-0.6329492469924519,-0.7768063366925884,-0.782703718944456,-0.7343335973418295,-0.832333664002868,-0.848892232020253,-0.8031780843272758,-0.7680164391311379,-1.1159293589832002,-1.1006430088608408
