dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,-2.071488638244284,-2.0496435869256846,-1.8835873464261335,-1.7471582205977825,-1.659465403678638,-1.8967139886178175,-1.7808771046152159,-1.6908679164981213,-1.8541969597622145,-1.795565084140665,-2.4201183836887803,-2.626270843372618
wood,-1.2800629252446512,-1.536003596825506,-1.629815053110394,-1.8679467616540122,-1.0560608903632924,-1.2737477607242402,-1.1892416572530267,-1.614012047465657,-2.290132391756017,-2.1002554125772184,-1.3152495044243793,-1.8610833555716435
metallic,-1.6234395004202429,-1.102914489951107,-1.2028896789680186,-1.1321882771035732,-1.0864101671125033,-1.5255827971277962,-1.343155433030415,-1.2597158445651,-1.5285300958367127,-1.7567485909931473,-1.311083253846597,-1.294304733829791
fabric,-1.2149110971649333,-1.2894381155366128,-1.1348223631218,-1.3359573374488884,-1.3477986014761445,-1.2428628856744108,-1.175011569589866,-1.2956732250352831,-1.4788460081794472,-1.3017494370137044,-1.0011007781475736,-1.1166057771984166
white colour,-1.3014019763021114,-0.7838635615280218,-0.7201578820442085,-0.7274379876074664,-0.9926514475479442,-1.2427426620169841,-1.1525896544023042,-1.5022305422350812,-1.3536528505433019,-1.0575622048419273,-1.290701720773125,-1.4488782755556668
grainy,-1.4944200214879588,-1.2297638603741037,-0.9570601348680394,-0.8887658625575685,-0.982269083498829,-1.1005380418996666,-0.8889326203627042,-0.9691856827450289,-0.898265402171964,-1.4803680738295069,-1.5110783032588526,-1.2661675664225167
crystalline,-1.088024486040927,-1.286871261159125,-1.072628461525074,-1.0387907579356774,-1.0113653252948698,-1.04524670860703,-1.0599898776255365,-0.8730211335397824,-0.7779099921785368,-0.7447387253401172,-1.2716954022517144,-1.2712694206653627
"straw, fibrous",-1.0105681749708544,-0.8534057623752433,-0.9012270615229998,-1.0411740737013857,-1.0462846317814152,-0.72314842147489,-0.9034627327441391,-0.7058322643238679,-1.2085701052032811,-0.8192832224212756,-1.2116371238470198,-0.9239689539200229
cloudy,-1.2274868612487215,-1.2517910727958657,-1.0822343089616422,-0.8294981021013395,-1.2071307365303157,-1.0095611975148437,-0.9560292994437458,-1.0404303736903495,-1.4747585465491064,-0.8932354281278296,-1.0416348797449153,-1.0442720493107367
small,-0.9234364143334135,-0.8227406823983199,-0.8111126440593905,-0.6397549417940329,-0.7576973183085463,-0.6978029379801531,-0.7240616150342798,-0.5511607060268209,-0.6791390500586558,-0.751698566901909,-1.1281204471157529,-0.6249723027756748
"beige colour, tan colour",-0.8027853798093909,-0.7707437771950101,-1.010637938395825,-1.198975035773075,-1.092460537413512,-0.6999586929068735,-1.1090682310650677,-0.964905788019198,-1.0514732935215556,-0.9951105993749816,-1.2140377289518112,-1.2536753933732063
viscous,-0.8437051240240114,-0.8846782577590433,-0.9367594171126148,-0.7849004204545966,-0.8630976435087669,-0.875302114914396,-0.7842022170413128,-0.806152117014272,-0.7280007615458659,-0.5379873333021532,-0.8800852181960273,-0.7207047008582286
black colour,-0.492640760275767,-0.8022035288585407,-0.41132498298860076,-0.7592679016639976,-0.5164891569073997,-0.8946729841376224,-0.4761158768412115,-0.5158341613758397,-0.7804397709689292,-0.6879000255250964,-0.7149266553389528,-0.6425004906853902
brick,-0.7569367893069932,-0.8040730985987419,-0.7423337895001878,-0.7391514005786364,-0.6657251467985348,-0.7742215776369437,-0.6358314210742826,-0.7562784765061166,-0.6035972299770436,-0.5552519997414129,-0.81041926635417,-0.8592197124180614
swirly,-0.9231213551984634,-0.9610854952720993,-1.0163619125868508,-0.9718038640851614,-1.069327692471472,-0.9492193163168654,-0.8547173122665757,-1.0638821316731342,-1.004573267410589,-1.0711305649384126,-0.8914616374469388,-0.9707415163029192
maroon colour,-0.48719005344965804,-0.8222651522233146,-0.8274712052475963,-0.8755666490027387,-0.763139523774661,-0.4697461150886535,-0.5622073921554409,-0.6161267138905624,-0.8245535820177385,-0.6669562617028459,-1.018651906486542,-0.8661529200775002
