dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
mineral,0.3166972649911005,0.3975781858523989,0.4764866575487098,0.5750976802687668,0.6589686775271344,0.6878666332199324,0.7054542474505099,0.7099583969476252,0.7822315242356408,0.8378910268901952,0.8187108235353814,0.8704211740807853
wood,0.48490651445408006,0.6165590856597483,0.6587437452197278,0.6892806300283891,0.6810339489253557,0.7146886902840587,0.7487926577979549,0.7740194700181933,0.8191777015089934,0.8079742161260507,0.7916921426945697,0.8120563770807194
metallic,0.40924647506835143,0.5649390797414522,0.5610124338513729,0.555877857931926,0.5441401925582519,0.5254902099038805,0.565296611017698,0.5959909420555964,0.6645240613101175,0.6778960931633942,0.6492387317775232,0.7362548284099963
fabric,0.054119075193551525,0.07393795624736577,0.17587569774244016,0.3243231705991556,0.40021580282924407,0.4521628453572455,0.6346575470745939,0.6807336897648278,0.7480451989690449,0.8162211837967959,0.7906896556586348,0.8351432292647256
white colour,0.599508641952648,0.6597523251211403,0.6376285302833934,0.6782966167270148,0.6599214598348624,0.704954726115179,0.6734196388719571,0.6872500129423555,0.6950194725869885,0.6168069878595297,0.576302124652158,0.7302662885800212
grainy,0.2702026930451563,0.4163056008699947,0.463183606071803,0.5777817284956455,0.6397222030374323,0.6491176710218116,0.6633013434836794,0.6652723460568166,0.6929250371044144,0.6962757986445949,0.6412442467646804,0.748211488189332
crystalline,0.030240054551784024,0.20080616189621925,0.28660777986086605,0.37536982020842535,0.4192032374438833,0.45451630485915384,0.5409665525750933,0.6123766036044633,0.6321689853387304,0.6242957815605048,0.7280986383506806,0.7948201081712065
"straw, fibrous",0.1589747802651298,0.29229212123442316,0.2958723405187753,0.41395843468748916,0.5329329851790545,0.5683356983018102,0.5937983149098689,0.6036619201854203,0.6324375721045412,0.5396264987066156,0.5726176581968826,0.6583015192846033
cloudy,0.08634094737401532,0.17371763351012803,0.1888291646070981,0.3378418856862798,0.41696177856687233,0.46365361260764937,0.48107554629405314,0.5356642172253289,0.5219131363724316,0.5408157778774084,0.5639405694987962,0.6176924867585423
small,0.26412012138386376,0.2991287009594671,0.32405720364311685,0.49929158302446464,0.5640207687287224,0.571845458596669,0.6527178758499066,0.6008553480387742,0.6269524303362763,0.6284944203284539,0.5973235245904029,0.7279989114816141
