dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.04197194046045494,0.20949368028551463,0.23466412713915097,0.33083760894396996,0.3852161604263349,0.4050417873525033,0.5370496579148394,0.6645947158430773,0.7168015607499483,0.7422631999616389,0.8021508998616013,0.7273350876973181
food-related / eating-related / kitchen-related,0.12486447848454041,0.26810839132284936,0.28050082245293484,0.3405188218948363,0.4239043881165775,0.4613527850416409,0.5874349169770119,0.6516851439350957,0.7055509349208446,0.7828209808349811,0.8308169979650314,0.7282072964750569
animal-related / organic,0.034521308292308706,0.13688097482165595,0.2026648829508163,0.33037061864874373,0.4381283630795212,0.48947004291599394,0.6169200338753933,0.7174907765419383,0.7902221365936635,0.8176785338622021,0.8649039493477855,0.6505195285799817
clothing-related / fabric / covering,0.017837717417561905,0.07393527181135329,0.09725679455897485,0.1434649095080026,0.21026393448341907,0.2184545586346779,0.3732607882705816,0.44043377663629835,0.5286097022380059,0.596358759677126,0.699011308837056,0.6618579596379255
furniture-related / household-related / artifact,0.02598699947314076,0.13010425029079742,0.19173611874230767,0.2852320004640938,0.3466854704379789,0.38480785792411454,0.4465580622119436,0.5309547238148277,0.606137132816869,0.603091257498332,0.6789953032694271,0.5884961954815818
plant-related / green,0.046776100494882455,0.24076508808538388,0.37847085699229965,0.4209539704953139,0.42888474086478345,0.4627855666885945,0.5337821745466298,0.5569953252328397,0.5910150697583696,0.6398340097386809,0.6957643688101154,0.5003480879464974
outdoors-related,0.11407483324600709,0.17879745777707223,0.20299796930743896,0.2610618899080571,0.37338890775774203,0.38693877562597756,0.4884022106137983,0.5099566899580001,0.5722339859763872,0.5616202252476536,0.6163604601200883,0.5480207838488661
transportation / motorized / dynamic,0.09627707655549211,0.16470250787209495,0.18528444088253004,0.2731570942986885,0.3324956420636648,0.335055794053722,0.4158998544481941,0.5300850398397094,0.5805713121986524,0.6367861706954423,0.677934697035552,0.4775863678211052
wood-related / brownish,0.06030374801231497,0.1108846616139727,0.12097411941182157,0.17710100700692455,0.19803543962535441,0.22810916838738016,0.29739032684090105,0.3044168989162026,0.35936787389760827,0.35200949263089243,0.40487603435724595,0.5623822977802919
body part-related,0.036058768927733964,0.08319834703037432,0.09497697435173236,0.14984083804882442,0.27456669239506903,0.29119820789393447,0.5179105170103862,0.6003053680393027,0.6936087456196957,0.7171550251907262,0.7568778023043203,0.6235495359161779
colorful,0.11135114495239473,0.27043805231752993,0.2754030878544613,0.3306012827130427,0.31311770563304875,0.3014870954039003,0.3518132724423969,0.4172848751785394,0.4202995887387141,0.5675561485139113,0.5752117936574466,0.584816759168566
valuable / special occasion-related,0.017983984427569766,0.06771146486812585,0.09466370005729863,0.11743501868000972,0.1647739612134137,0.17667620129127448,0.2534654274084682,0.31694408519583106,0.37257723700489986,0.44958641887339135,0.5625958754151004,0.5268788085233684
electronic / technology,0.023970901193925198,0.14618499656399708,0.15360323853913294,0.20416945412110543,0.24196411261728035,0.25093165324877764,0.28273184645582683,0.32955962914229553,0.3925395034672612,0.4756640360773543,0.5467443016616624,0.5317647919050921
sport-related / recreational activity-related,0.011723242724864469,0.04532219088307976,0.04674209698884424,0.07064602522400965,0.0829386565426874,0.11316861131477429,0.13225572858367807,0.14350367281662857,0.19002826149285745,0.25964394373460975,0.40947719449127606,0.44747494709426716
disc-shaped / round,-0.0010100066003251307,0.0015950184695879832,0.011190872777752103,0.04769416029184437,0.0651433564154078,0.0743196565548696,0.0996217978882048,0.15570048623571153,0.18021385239408572,0.17944672590164268,0.43908253530328867,0.5440876371438426
tool-related,0.005968946247940865,0.03694044134206376,0.07418785506325987,0.09333831956324856,0.11157718774560355,0.11710022846774515,0.1618736395008853,0.22192843419178465,0.26758893649506366,0.3190802641638162,0.44741842583984603,0.6546036367156929
many small things / course pattern,0.08888318855065824,0.1043848751221137,0.11154730407763336,0.15480040354323876,0.2665780411922215,0.2566300298969837,0.2976024303058883,0.3871084779652977,0.5033913018644398,0.5091268368564338,0.5451941915032076,0.5719791613162384
paper-related / thin / flat / text-related,-0.007020722430773008,0.0628871250989268,0.06636264661602043,0.12918669554817752,0.19087472082449053,0.1939988229138313,0.2749171769422145,0.30084789507344933,0.3687336791615087,0.36226361585824884,0.4891212894871847,0.5075753700051617
fluid-related / drink-related,0.011567016854860612,0.01941791441680918,0.04276645684224434,0.058645610235109724,0.09944910029297516,0.1015996217057279,0.1959932540816609,0.26896755715824394,0.31473722642472,0.38045659032895296,0.4719261061422929,0.6076395559631718
long / thin,0.012835467642028031,0.03347487867167509,0.0673252470979584,0.09416225108627474,0.1556744162098166,0.170548640539661,0.18662574777690488,0.22472841879730876,0.23550530982746865,0.25224142680603734,0.3681305681916266,0.568410231514165
water-related / blue,0.050851923131499555,0.0887961204092772,0.07556110922464798,0.0959767634886105,0.1159246698056301,0.12622948899916508,0.16353617677191512,0.19560320464427206,0.25707063605034186,0.33489856650505556,0.4680678107458748,0.373017013633397
powdery / fine-scale pattern,0.033979044406230785,0.10358358279286106,0.12019045050944532,0.18397386889401257,0.195015801524287,0.21017605373295467,0.272999689601539,0.3016195099115998,0.30165729764265026,0.3196695796826674,0.40095502255608906,0.43427518876352156
red,0.0910360772966482,0.2856220938448343,0.3021140591365401,0.30457733540541365,0.24790206698439288,0.24385506875063778,0.2444964974961824,0.20374154257826527,0.1661146103950667,0.14598841169013543,0.16587541965958807,0.3530353753975267
feminine (stereotypically) / decorative,0.005517672829504439,0.05889457738201831,0.05965701126223444,0.08860795730114324,0.093788730786588,0.09585018564570547,0.13019159717210682,0.18600568975104415,0.19868219762237915,0.24188729232222483,0.3436503546771075,0.3368734037459413
bathroom-related / sanitary,0.07400299072694283,0.09936435132945054,0.09328742241166721,0.10003856234641206,0.11346360917575249,0.12214315028166844,0.10877208544372852,0.13324184832542374,0.14696318549756426,0.16390508378702073,0.25554462306092895,0.3487622891063641
black / noble,0.05849412188713832,0.08974297601036574,0.09344832466008979,0.10532739042178096,0.101934846513827,0.09509971088781133,0.13342486413549803,0.13020619245250997,0.15062541149919773,0.14993679500955537,0.2314694672678096,0.327000925347548
weapon / danger-related / violence,0.0016554161644123377,0.020415955480488246,0.02546819546959489,0.03993826359178487,0.05850567014293895,0.06020322839910042,0.06346926060919578,0.09387436375934599,0.12335939416897423,0.15505714845755958,0.20656009618056148,0.3380917088815464
musical instrument-related / noise-related,0.0047489689095628895,0.030640829357996835,0.032354271191114226,0.03964872946867548,0.043450786855632084,0.04807960295887004,0.08391222858807523,0.07940829786337045,0.07955318140026202,0.09457240879422713,0.2337071201544081,0.38244456931066906
sky-related / flying-related / floating-related,0.0889516254278312,0.10419606493416966,0.11798111287928414,0.20960540012791085,0.25055171094109896,0.25811320931870685,0.33946739238647083,0.37247797054771936,0.40829589469533667,0.40966143496453233,0.48732959750110405,0.3444966548076266
spherical / ellipsoid / rounded / voluminous,0.015139473914672075,0.024349886777842333,0.030716183911219996,0.043593312048998856,0.06520280885720564,0.07250582670596128,0.07245342776270658,0.11003772880339946,0.14748366758910925,0.2014434146642866,0.35722055635025796,0.43958723325225213
repetitive,0.045953771943116895,0.05908868522533872,0.0622181662663267,0.12544391721588966,0.1503965416154206,0.1588270907584728,0.1927661175359937,0.168221648337057,0.20472734175934315,0.19884881449368086,0.26168055886552277,0.3073054098386143
flat / patterned,0.027671670350864708,0.04293204093745928,0.07318838976124553,0.1043293855764631,0.10610896046873075,0.11287119540159118,0.17900361602041737,0.21336454922761183,0.2252432585203531,0.20386276577522022,0.23316911792713646,0.28300147186350255
white,0.0676266863885071,0.07351915024981814,0.07298732867096935,0.0888374401679739,0.10884120290464172,0.11361995211726228,0.11859590848140589,0.11550696827545648,0.14396582595869922,0.1374114294121932,0.15593510162406743,0.28505394433465736
thin / flat,0.01981489102385292,0.03679535018268343,0.046435169870466586,0.056588170831399776,0.07453345148709767,0.07604990073680051,0.09677956302769586,0.09692938283656849,0.13555594771055746,0.14218910731481116,0.21474287046581564,0.3239955671971608
disgusting / bugs,0.0010259264152819858,0.006914644582470264,0.0192696247654901,0.05275976638270674,0.08438881400599563,0.09300567033455132,0.17893602483433657,0.24293610191049642,0.29972351960836674,0.3873383497939018,0.5285059462091842,0.30310462180082154
string-related,-0.0007514122622800379,0.00047393620223046273,0.012894768910064469,0.026207383701707276,0.03850816395388312,0.03735081839299459,0.06284061283214659,0.08963058663640033,0.10713692411621556,0.13221662779959775,0.2485465274531643,0.42471439887657836
arms/legs/skin-related,0.02043866235721148,0.043797294579299706,0.054639062714979536,0.06708449245058012,0.07167001388475369,0.08617709436110255,0.12023653542256141,0.12214389400617964,0.1709765480011487,0.17987845962461768,0.2342454777918529,0.4054455712346957
shiny / transparent,0.009053476571518448,0.020039805789305642,0.03433326592714747,0.046840114892572116,0.06378862430385479,0.0588095418583271,0.07751472289489036,0.10747207495715472,0.1269170783343304,0.147544254514268,0.22927251330451215,0.3141834404833722
construction-related / physical work-related,0.0005534202773289643,0.01102660366749919,0.01938636654625514,0.04538459812418294,0.05454770323863023,0.055215624242124894,0.07270722871700597,0.1096456444874725,0.12289672895843562,0.1434985446812782,0.22829424845036628,0.2975300356976913
fire-related / heat-related,0.002037233963422258,0.011196448600056974,0.013773579860194007,0.016014709992065557,0.014581991028679853,0.027602820050275256,0.03492630386660733,0.0280951565298172,0.046271459173476304,0.09594586586067555,0.13288458941839076,0.25759044721070734
head-related / face-related,0.02266635578569398,0.035003032979513904,0.04318859241272144,0.057297168962676004,0.06979256605417827,0.08334291505746594,0.11442136408766768,0.16073461921348875,0.19537753570634442,0.18237819504331132,0.29437125569514366,0.36445222597657345
beams-related,0.025897426014509173,0.03407860538080443,0.06880023690473547,0.09616127966921972,0.14746000137278792,0.14376466153489653,0.148609049536072,0.15927171097506143,0.16887428160723839,0.16739491154705077,0.22334056800688862,0.25259214430686594
seating-related / put things on top,0.0022038150846009907,0.015384148922386709,0.030926027291444336,0.05208093100884903,0.07417162182051129,0.07275158779822555,0.07365353564373933,0.10337525209488807,0.13335773343119206,0.13628091234089879,0.1861259099482695,0.3494285168880834
container-related / hollow,0.002598052900079084,0.009267692050790366,0.011678289018333343,0.03546499656603208,0.04314236779526104,0.04284597846478633,0.0476272394270596,0.0749172040444861,0.09347434425581924,0.1009648621737349,0.1408736978121098,0.2669871513700207
child-related / toy-related,-0.0022006720077523134,0.0007069728099123873,0.002466796235623181,0.00879291113323355,0.008275046539521047,0.005749900598279178,0.026005867452345677,0.045883244556391034,0.06065490930695694,0.08482082320746831,0.13656596132685028,0.20224892600242173
medicine-related,0.0036312803023060836,0.009493162064247884,0.007818524536564064,0.009532682517571112,0.00862652346986259,0.005778905224848696,0.0094667479875028,0.014240628013384327,0.015118688138242797,0.021075667983903035,0.07653773982023582,0.14806410920146473
has grating,0.02474084335311011,0.031076276427389082,0.036344483981873066,0.08353871760411113,0.0794970343727841,0.06984838607163957,0.0681151560968617,0.04129054344465877,0.052798491491850896,0.041185421606969475,0.08867882701278895,0.1529603498426999
