dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,-1.2834111506133712,-1.1887958863314108,-1.1862665587967212,-1.110973734693844,-1.0750671290357219,-1.1508497947246537,-1.148020522992541,-1.0015061144291524,-0.9469085771181962,-0.9308893996960164,-1.1026270260136117,-2.025673925732701
food-related / eating-related / kitchen-related,-0.3754603352829058,-0.2203727497877508,-0.21769135333840506,-0.1328376522685315,-0.06402851391758624,-0.04506857976993106,0.0027011777224598132,0.07973378685992583,0.09701100224161285,0.1542046074832637,0.09431793939883548,-0.24963811868975538
animal-related / organic,-0.2926480368147726,-0.20061443679514768,-0.15575548156903452,-0.030641279346532713,0.07189256411472955,0.11593184550532354,0.1974490054730892,0.3252154944895075,0.377442988263729,0.40069292739652307,0.3365178977999155,-0.05218164803603331
clothing-related / fabric / covering,-0.38643459031012695,-0.3177819694153472,-0.3096504931473021,-0.26776184502075373,-0.19861675417870628,-0.16525645775079378,-0.11343405665859652,0.023059918868788443,0.09112624425561466,0.14973061155361067,0.14573295816704168,-0.1336671356440391
furniture-related / household-related / artifact,-0.48111024461969176,-0.3720839019555118,-0.3434624736379659,-0.24690049541052317,-0.22136545184123824,-0.2264886821479335,-0.18198478837826415,-0.10503243869268575,-0.037986476449382245,-0.0035620526354549487,-0.0642500726749573,-0.49678345565815873
plant-related / green,-0.1210814080751419,0.003707340295780792,0.009996624452835667,0.05806938354657032,0.0895002988327056,0.09180487058443199,0.09948990686019321,0.17070167019931504,0.21441365319205186,0.2657371504385846,0.2275293234103537,-0.22029995574073968
outdoors-related,-0.37892211209398297,-0.307485373246563,-0.3249528823048444,-0.23669732699406532,-0.1768624293284371,-0.18251640763175603,-0.1529746863446122,-0.09043834561987674,-0.026582448604380415,-0.01493914047987599,-0.08322318568603304,-0.4978838749453516
transportation / motorized / dynamic,-0.20231531928221225,-0.12034335950134278,-0.10762210870903455,-0.005481904368576096,0.037378274419403335,0.023326018703932805,0.09314461522012563,0.22032664681501668,0.30449683290441254,0.33551541509852156,0.29469121384153896,-0.12675700240970844
wood-related / brownish,-0.39954524086508103,-0.30744784951337323,-0.30595662518940236,-0.2675720812160818,-0.26549083556366493,-0.28005346653490015,-0.23547413618778856,-0.17853597228795137,-0.15038956891798172,-0.11533908369860568,-0.18988821284347646,-0.39133832602692076
body part-related,-0.26822642391477336,-0.20021735519872386,-0.1987781152268906,-0.13309020680412087,0.017532079317288063,0.05574176894984206,0.21766748039988215,0.3075159244931771,0.3634234927640192,0.38876271224589587,0.33447448185991235,0.013541848919315203
colorful,-0.28024533729195933,-0.13064700229839143,-0.14890058198029843,-0.09585041876067191,-0.10533248946828455,-0.15290667336325647,-0.13271773886194072,-0.08066433454482902,-0.04540788140024987,0.06659198632552288,-0.04254926142662718,-0.33781699678010346
valuable / special occasion-related,-0.4332509005404024,-0.347515766781767,-0.3562300937650569,-0.3374553941246241,-0.3391095613944002,-0.35942141420899776,-0.32389011853597127,-0.18582473895534024,-0.12840554507339674,-0.0678015795314375,-0.08453497818671107,-0.43040014939243765
electronic / technology,-0.2811486964566543,-0.20432719255333698,-0.20235077197488938,-0.14658866790311653,-0.1123505544922474,-0.10063503069255209,-0.10951613659449522,-0.017385210878920532,0.054721614454955714,0.14518379329018993,0.1090772139711278,-0.17976995122304107
sport-related / recreational activity-related,-0.38741927307043955,-0.352234691075372,-0.359011800909218,-0.340836606982867,-0.3517679992266849,-0.3887085169031763,-0.3959563172334877,-0.321626097308499,-0.2893199586016528,-0.22253890337650417,-0.1669625014171483,-0.36997097401057255
disc-shaped / round,-0.38692746698128233,-0.3762472986806018,-0.3644903936479942,-0.33881037322723606,-0.3139704018337057,-0.286495730904728,-0.23801747496505565,-0.09219924623805476,-0.06632075985084374,-0.02776435776785835,-0.044323265211502205,-0.27870147758638386
tool-related,-0.3261779477955631,-0.29771882933163885,-0.2742662331345709,-0.22926727884581344,-0.24539253639765923,-0.24641047421772266,-0.22343822762643994,-0.1327542058256692,-0.08606110459736249,0.008907106827942601,0.02617693507495411,-0.04418306682652662
many small things / course pattern,-0.2996872754584816,-0.2684519309190385,-0.26150339156068325,-0.1935866779477302,-0.16491590801899547,-0.17258731383227555,-0.074433745583526,0.06894482102452004,0.08794042764551735,0.08309678547695853,0.014771112026010225,-0.29695133706231114
paper-related / thin / flat / text-related,-0.3383366235447618,-0.29927861130329103,-0.27124222463488157,-0.1886491054975854,-0.16658294056903045,-0.17963898051149685,-0.1335402392631353,-0.047784020045742004,0.005013156470094815,0.019662731914521725,0.010966057797737405,-0.21848869704334417
fluid-related / drink-related,-0.29850664426003126,-0.27759161814079314,-0.28435913254865186,-0.2478925185538623,-0.21096123538891787,-0.17639356311450105,-0.09633615421533048,0.02554912182350011,0.08176555521543094,0.09027591906932808,0.08427381242992005,-0.03179690879909414
long / thin,-0.33409431587516636,-0.3224281904605084,-0.2756611936907756,-0.22902876888444057,-0.20750773586456606,-0.22903382524092297,-0.1876035352286245,-0.1457829837115503,-0.07809426729068325,-0.04212534700819659,-0.10017283761226525,-0.19217779425076764
water-related / blue,-0.2167520603839419,-0.17884990487168406,-0.1875746485081471,-0.18076634113129186,-0.17449345316928588,-0.19272305819661328,-0.12863816834682917,-0.05570201940286901,-0.0030887829406536227,0.13686516124065884,0.11783408867828393,-0.10697637016931627
powdery / fine-scale pattern,-0.24302594631465535,-0.1814337264151209,-0.18156758646206028,-0.1329178299948941,-0.10769633486805508,-0.1103609124504994,-0.12031922110622628,-0.05859374055970301,-0.04893383517945327,-0.012789874102710819,-0.05057970056941463,-0.269543572519257
red,-0.05957777939144848,0.02420740269647481,0.020656007753161676,0.059256312790421206,0.04391911479422017,0.015318787286014324,0.007279221092739707,-0.021470666271492078,-0.031268282182534524,0.004594037285495456,-0.1603789251450578,-0.2927754810511154
feminine (stereotypically) / decorative,-0.29605877974551276,-0.24322316624564078,-0.2561837819456845,-0.24768150582781834,-0.24237358251255103,-0.2936992167630399,-0.23982874704676194,-0.1857198719460078,-0.15677583081619928,-0.10310510401805772,-0.10657173534099096,-0.3725566105939362
bathroom-related / sanitary,-0.23483530639429495,-0.2004264168385974,-0.2193285328136565,-0.21909097144620393,-0.23458307610732732,-0.2778308695067735,-0.32253663461236415,-0.2753211695724438,-0.24385575812813332,-0.2139255987198494,-0.17573253950211387,-0.3111278267087527
black / noble,-0.26393724793625073,-0.23913475017569708,-0.24288556284517582,-0.22003410543471746,-0.2291204269298679,-0.2756814495255844,-0.2691221848476557,-0.23315322112757575,-0.2319017351906385,-0.2126802359251947,-0.2987582902139183,-0.4639854168329778
weapon / danger-related / violence,-0.2430241527489283,-0.21655540864347755,-0.23479836863875803,-0.2034323468003969,-0.2044249635398656,-0.2425536432894091,-0.26989096580843674,-0.2462516235557619,-0.2157516818777423,-0.18952307445471894,-0.17349340599233343,-0.25798860564116954
musical instrument-related / noise-related,-0.20948862264302748,-0.17894752201861763,-0.20494619365283695,-0.1990358485069259,-0.19355901044399482,-0.23146216191794378,-0.23255520058663848,-0.19790404418391172,-0.2005524489825219,-0.13090990608911968,-0.05530992394863632,-0.09320598893708798
