dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,-1.321538961250337,-1.2821180826105096,-1.2094510834650265,-1.176004292692732,-1.1785511254970458,-1.2600529670514669,-1.234155800611322,-1.2093808467086622,-1.1437675941461594,-1.058333875087535,-1.0371113941357928,-1.7596775594360339
food-related / eating-related / kitchen-related,-0.43393837999272367,-0.3129185692937717,-0.44852079210403595,-0.3620266035354618,-0.49892699934128526,-0.480835437106371,-0.4673706707939258,-0.2880511472898337,-0.2032360687978605,-0.13028621202719348,-0.33237742190776376,-0.3470881813896931
animal-related / organic,-0.3384404309849254,-0.31511462856977324,-0.2416873416459866,-0.1983646224284379,-0.08375006362582749,-0.013223359928497214,-0.0269140708997333,0.027812678698191595,-0.12527990335544925,-0.16372780972319378,-0.5061196838594804,-0.4056587465678436
clothing-related / fabric / covering,-0.38940744230995117,-0.37574759868072616,-0.36151517687238455,-0.41618349080870387,-0.2818036207559145,-0.3292019474019785,-0.2623282048052207,-0.31398161527317425,-0.12941054137413577,-0.2314053386049557,-0.2893814967039221,-0.36219868313808457
furniture-related / household-related / artifact,-0.5176005808524056,-0.44275569472725085,-0.38330222707372497,-0.357525179700948,-0.32886231620281037,-0.43732214225363886,-0.36607470607541726,-0.3126386414945068,-0.2614617137549262,-0.25316891264258046,-0.21620617450268975,-0.5281055188421795
plant-related / green,-0.2884349564364441,-0.27143644163945124,-0.22924558667966655,-0.15051120452907596,-0.09237297765658115,-0.04305757159663792,-0.28298891796747583,-0.23362424731603393,-0.13138772477060834,-0.30134519505323665,-0.2526106292841612,-0.3525600809131586
outdoors-related,-0.5131490342803395,-0.5083443809216797,-0.37089447670265074,-0.31278930511719993,-0.21103488980378438,-0.2023844459077242,-0.1921148872435272,-0.1687317121627656,-0.42455820266051436,-0.4093431090941446,-0.1897733323089834,-0.6601006014091382
transportation / motorized / dynamic,-0.29166125588438185,-0.2551092121459959,-0.17691278761478868,-0.054435490937095876,-0.04120991754026182,-0.07528654758693643,-0.004320552162329738,0.04572194119387252,0.022472303901464374,0.09714017123818919,0.057178550493382496,-0.19614033665114095
wood-related / brownish,-0.43402147255485213,-0.34630625568830076,-0.4167725407286731,-0.4219356894680082,-0.4179308019881809,-0.3697175289061305,-0.300661897348077,-0.3043552233866902,-0.34270786035152057,-0.36654089161824,-0.21777183377925402,-0.48106027236925564
body part-related,-0.27721801891496956,-0.27344683373525625,-0.25999960015490764,-0.3024775404959883,-0.08535792322878222,-0.23461603153966326,-0.1229730926933097,-0.15791255841571328,-0.21237893002487485,-0.16292047379484242,-0.09922343881775242,-0.25626007680944807
colorful,-0.3898722326955866,-0.20028282623710392,-0.21350244164229149,-0.255321574864096,-0.28298273254718165,-0.27840176550489715,-0.2620919307024048,-0.2750950665426406,-0.17907314208137737,-0.12182234025924066,-0.36405971508104273,-0.30590843055493266
valuable / special occasion-related,-0.4525502321196202,-0.4038612719584549,-0.38671704622062353,-0.4243393286936332,-0.4570244518555002,-0.4242498637493297,-0.3979477100541604,-0.29887423883918385,-0.30133778708050074,-0.28580240522566647,-0.2597227304399492,-0.4652421557969584
electronic / technology,-0.30375354999945925,-0.27176927792506755,-0.24288805304542138,-0.19431969807038296,-0.2267826287352681,-0.2717347544838682,-0.22424235068392973,-0.16722225978947836,-0.13629009817094717,-0.023922632038771763,-0.11188814458921947,-0.2703621604462709
sport-related / recreational activity-related,-0.4044127106342934,-0.37045751257494586,-0.3732415844315333,-0.3741136567042693,-0.3600472524779419,-0.37841038864165544,-0.39530764864112133,-0.34981864083448566,-0.3685340915446502,-0.2770737097629272,-0.3455267451862194,-0.4408357490658872
disc-shaped / round,-0.38574099184056876,-0.37170242512837093,-0.3818287576346231,-0.37350679340133985,-0.37193012210328424,-0.3345229718662919,-0.3627828984677284,-0.314743639864542,-0.22260917677334513,-0.20714676250426312,-0.22431733366346163,-0.10747351624343238
tool-related,-0.33768253140767635,-0.30802110052040943,-0.3381544525151332,-0.30884324149164155,-0.3051035776255553,-0.288325916279641,-0.2701813660529324,-0.27548582183220516,-0.2170321211441899,-0.09705926977711887,-0.19594334825296178,-0.3988634391275192
many small things / course pattern,-0.37522908730771265,-0.3253363124813897,-0.33605308883622076,-0.22511991500579898,-0.3189041356322255,-0.3532471879638239,-0.22189184568811893,-0.15245013926775552,-0.13066898969854357,-0.22492715330686264,-0.19024125705587713,-0.43054835254409096
