dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.05831181885520555,0.21053292516900107,0.24974930984064542,0.392470646234221,0.4907496634603465,0.4963564969147079,0.5861500190210908,0.6808861135569325,0.7416796534198797,0.7719222570007006,0.8156805036027878,0.7551224082617523
food-related / eating-related / kitchen-related,0.08567819731928225,0.35492193549165096,0.3674469640947133,0.5003943058371043,0.5608831179717411,0.5913375440700666,0.6684369969621409,0.7122416976265289,0.7511916363062382,0.8051807501209385,0.8410794293389678,0.7781694254746279
animal-related / organic,0.05669302093050142,0.1936319047643223,0.2712265645210369,0.48277223686051735,0.5891503388495514,0.6055691538804286,0.721260371500162,0.8048838185357106,0.8452138543435114,0.8691029248165574,0.8734872955226237,0.7163106097655321
clothing-related / fabric / covering,-0.04022654676954882,0.08179436014701279,0.09065755077618473,0.20836878707567594,0.29878705074388345,0.32297322519166943,0.43804217158854675,0.5365569931380965,0.6240404785620404,0.6882011689193008,0.7392760136760006,0.6645296531259016
furniture-related / household-related / artifact,0.05459102243407134,0.19620795411348152,0.2508082056216299,0.37878291040750295,0.40831127627949454,0.43063422111037386,0.5012951093256974,0.5723782200228704,0.6470059804165412,0.654409583150002,0.7181475571350834,0.6330038985779513
plant-related / green,0.2854464159900825,0.3954479383425122,0.41906420644595166,0.5022503823764481,0.539178492488691,0.5461211336716334,0.6048477877584465,0.6340636980479875,0.6910926013513696,0.7288938403784417,0.7317665385449231,0.5725506095756319
outdoors-related,0.10490670894227094,0.22793338509477018,0.2320816620441902,0.31316137654124443,0.3915643095043057,0.4143920063947009,0.5138481362778916,0.5574388420040425,0.5967492015470072,0.636613084835026,0.6431214103880599,0.5899783991379244
transportation / motorized / dynamic,0.06878931352087943,0.24357139231781472,0.26637519314342173,0.46191566558332553,0.508982516102223,0.5096143331874934,0.6159692897117639,0.678023409298955,0.735663938393801,0.7821872344588676,0.7707856707448438,0.5267843303676202
wood-related / brownish,0.027811579035052603,0.14311655979129073,0.13730655482086618,0.2236126964898557,0.2548521382013691,0.2684424620982459,0.3346535287996901,0.3644528840157492,0.44281354128796135,0.4879227444831832,0.4863720051477444,0.5893004668317186
body part-related,0.024548156103695106,0.14224769772582593,0.1305648630648618,0.28235402478609317,0.4157361980491948,0.4362279897078597,0.5886682097242089,0.6475251671365138,0.7189048017729267,0.7354277600833039,0.7515635519394679,0.656565104782221
colorful,0.17581879176693666,0.36086701392361836,0.37715400839943997,0.42551760200441435,0.38975447486530307,0.38583649556160565,0.4330754265883453,0.482538537223304,0.5246076125079026,0.6109177935067086,0.6224500171976213,0.5719498687503051
valuable / special occasion-related,0.019776989890578876,0.10046575720028698,0.11368580368845715,0.1593293390388913,0.16815211123505197,0.19902360087286178,0.27674829600732753,0.4005758029529439,0.45323668597655364,0.5218083519614634,0.56540876560107,0.5255088614574316
electronic / technology,0.0053117669758921075,0.14629431119223538,0.1392925807466296,0.24952318235530457,0.28732913357997897,0.2970536693951275,0.35836770138117585,0.41689807636166576,0.48244514820091416,0.5804682839730918,0.6359851594982626,0.5528743548810858
sport-related / recreational activity-related,-0.04886936032523568,-0.014864287398521091,0.012440993269486856,0.014077340133401894,0.02357401860305842,0.039693507966381034,0.10140816192258098,0.15362821620701056,0.2049186234137763,0.2631190285920399,0.3978342347707275,0.44395202701524006
disc-shaped / round,-0.048524118554494435,-0.00821713792661719,-0.039545220051953225,0.05825727649982476,0.08226308480454395,0.1406115621871475,0.22129645438311424,0.3295269059494381,0.3835525703086494,0.4152841177755856,0.486482087652338,0.5242089763515099
tool-related,-0.026991266861149943,0.011384282834511438,0.035327411917845344,0.11043322075100818,0.13226925161199013,0.15510737141000996,0.19765884385732296,0.30203440639913726,0.35923691111827594,0.4532993010217935,0.5473703666290618,0.6727146187384722
many small things / course pattern,0.07427007327378768,0.13637662050432883,0.13535679241466397,0.24856404250553363,0.29952729249449983,0.3181946239468005,0.42387951698752924,0.5250994803458463,0.5495174585843707,0.5540835094302565,0.5812964986541862,0.5506184455728056
paper-related / thin / flat / text-related,-0.0014369340028955735,0.043920349195576226,0.05296401361762848,0.1697991624691108,0.20856729186569029,0.22314785838242032,0.310531218782908,0.3575756658343778,0.42280661156939275,0.460308148599914,0.5276035677760771,0.5285143493185867
fluid-related / drink-related,-0.023743538569689547,0.0019542659377867143,-0.00016755458273947087,0.08976685225453361,0.12321923483744701,0.15922088582370336,0.31592252287323175,0.4388349075892135,0.5221870861663558,0.5419477715323592,0.5948031025965255,0.596975140210761
long / thin,0.024994710063515668,0.04291985929738333,0.050697446323305397,0.11983481890842858,0.16506080779517082,0.18820469703128082,0.22475746637304725,0.2882847798278792,0.3457965476554006,0.34363665798675014,0.3960002157037187,0.5565990228639259
water-related / blue,-0.008188600459187378,0.0624021557906156,0.041428664892706815,0.11819484770899233,0.1461100571317834,0.13461194942130952,0.2157647142942845,0.27910204649332887,0.36482183385688766,0.48449024699696697,0.5013190905770626,0.39266445119802007
powdery / fine-scale pattern,0.039933451493247306,0.09705316136675943,0.1015589202995633,0.16992507956360967,0.19854695604998757,0.19826609760458752,0.2254811907462356,0.2753158887713149,0.3144461578062685,0.3323441924675433,0.3832705706228533,0.3951612039891947
red,0.2870272996222255,0.29893863402196075,0.32633457009106026,0.38449000304628883,0.3360329879537074,0.32565747724811683,0.3075299008692086,0.2820134450302747,0.2667412365300423,0.2894543249027831,0.22735257762702923,0.32816536312128364
feminine (stereotypically) / decorative,0.01535279138682527,0.01888074614854527,-0.0005331518520031886,0.036483702524451586,0.05220327667045057,0.043453635923727175,0.12521311321382317,0.17522840076990193,0.2064650668019691,0.2765577649387555,0.37133634923690917,0.3273211142013396
bathroom-related / sanitary,0.028280481251302003,0.01849756781948163,0.0005341438738361903,0.023175604609239,0.04922437743972112,0.04868541022268295,0.06656271213139672,0.10637729396470767,0.13940759744486905,0.18686691155078333,0.2693404450593677,0.3098519396156985
black / noble,0.03264669706167318,0.04163820270275346,0.04019512202222444,0.09289888237648171,0.07840694019014113,0.07652080072957487,0.11781128343897737,0.12704371326282052,0.15983640481084876,0.17755753590243778,0.20295341157091856,0.3013215690153744
weapon / danger-related / violence,-0.029792845525864586,-0.03780524918290941,-0.04750107726822946,-0.00995575590168669,-0.005140168183036841,0.012929958883357096,0.012104997255527406,0.06544123911811718,0.09522904436265447,0.13765736894947023,0.21800718986815917,0.28692925651553025
musical instrument-related / noise-related,-0.02173279991595899,-0.0364456244205978,-0.04436097278541109,-0.023956902716751705,-0.0034004172243416674,0.003890576824876668,0.032947080369766735,0.03538264549535626,0.06416349355151116,0.11597129284608827,0.2989002114234759,0.3621441666639192
sky-related / flying-related / floating-related,0.08969957124517297,0.11293524265190635,0.15257099822853198,0.20861290248888126,0.2445263448771738,0.25326333615842195,0.34550436935628304,0.38402580667925656,0.43236314073230553,0.4761623634705302,0.5065086251864976,0.3098612808769391
spherical / ellipsoid / rounded / voluminous,-0.013988080164601513,-0.00218724648194355,-0.016945926933765988,0.044948579544565784,0.07474583362021651,0.08322945535529658,0.11670684889184094,0.20303482465167236,0.2610213927230428,0.2704716686607556,0.33754602935105477,0.43525180976694744
repetitive,0.03953735887270242,0.047654902111955076,0.02836704028692788,0.07471772624331394,0.12907495487129964,0.11384002522056451,0.11969260273117141,0.150128488129319,0.20795077184030353,0.2232396431696862,0.2314888943656145,0.28247918526080196
