dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.13784927306035333,0.25801193981818843,0.2928066622111899,0.4062780987491008,0.46782836919157633,0.47221731918270543,0.5623596604345533,0.6707291558520468,0.7220598117786825,0.7628745073772545,0.7958206590531219,0.6299422733261102
food-related / eating-related / kitchen-related,0.18512089658033934,0.30913764476599437,0.3317532697853094,0.43048273961679734,0.5019862747589119,0.5436601860807964,0.6282866327697751,0.6850179450920095,0.718684075126925,0.7852845068501194,0.824307613751657,0.6211224010378092
animal-related / organic,0.11737036274100274,0.23739400179996237,0.26482348057920513,0.37783746197483487,0.4827200411025941,0.5295610632821831,0.632994506495727,0.7699624304100408,0.8236907173506316,0.8484131380294985,0.8635489516393218,0.48166794150696174
clothing-related / fabric / covering,0.03488630428798779,0.0807828041214104,0.08981354324020499,0.15118041290383416,0.23715482572531688,0.2696643630711867,0.3666397177101127,0.50243612561287,0.5639163311131766,0.6166135002296372,0.6793522611065734,0.45917669793142285
furniture-related / household-related / artifact,0.11442234848697357,0.22740326733293004,0.2501760326697736,0.3360191948278196,0.37143221607764876,0.40022449668676197,0.47677922922743904,0.5442194323081732,0.6290930979280291,0.6422863225643597,0.6679412353413821,0.4418777819388847
plant-related / green,0.30593727446911473,0.43034430412594105,0.41094101399512456,0.4731426546903702,0.5055426483262975,0.5225975690791069,0.5407673157944928,0.6105124933759181,0.6557864087531259,0.6969805085288656,0.6815399152497622,0.36162598237013655
outdoors-related,0.13924118479528996,0.22982379356038168,0.2206477935726286,0.30218062918372207,0.38872744106213386,0.40731071048308687,0.4730816119211266,0.5297130207742343,0.5910103738598309,0.6087379247346367,0.6031015278301813,0.4872125874544194
transportation / motorized / dynamic,0.10891666920633192,0.20382999955844222,0.21739553883146678,0.3228348046864546,0.3673575967269626,0.3535010373109321,0.44585000634116917,0.5566870639045342,0.6401403335886016,0.6660709664098442,0.6567366886638653,0.22500846734919064
wood-related / brownish,0.07613986505564982,0.15576383839881092,0.15404164568429893,0.20336614149214322,0.21888539379156904,0.23922114360324978,0.3135543970124675,0.30975585838907527,0.374120582996408,0.415908467965796,0.376249386159929,0.5078365337757279
body part-related,0.0688716736346916,0.120493065714499,0.11292545212396721,0.20434019686039678,0.33441790099580937,0.3576840169443674,0.5430914635168363,0.6348053202553394,0.706509227002947,0.7305524517996848,0.7286538088097354,0.4556837450788128
colorful,0.21241733875632188,0.3598031805417957,0.35705739779883044,0.41101505178151215,0.39820869141908555,0.37186790527251257,0.40204366238952743,0.47524943651852886,0.47624687946106503,0.600544366738271,0.5672644365530319,0.5108173893511645
valuable / special occasion-related,0.0393169049567198,0.10472651788193166,0.11817560670600442,0.1374925087152999,0.1592585226736172,0.17720638675433253,0.2348058544140333,0.34493073036087535,0.3951867769378483,0.4672869047191449,0.5479654360311693,0.4489546908969258
electronic / technology,0.07952689755620358,0.15309614522142428,0.14851092603324456,0.19754932199734626,0.2787360199027334,0.29001820795922806,0.31398432707529844,0.3771174468047857,0.4301516947649587,0.528593572554034,0.5267602279650805,0.36595144943277835
sport-related / recreational activity-related,-0.009420417502053169,0.008254489789028086,0.0029111769299828283,0.03414891950364098,0.03820939154480414,0.04141668619928662,0.0689728016182872,0.12867793385026344,0.1601534318282488,0.21306380622621363,0.35030805765270934,0.32540170524022455
disc-shaped / round,-0.00925369547391588,0.003210667076279106,-0.00834131273279073,0.04367655720637709,0.09621641816196384,0.1559761593120829,0.19808839678655366,0.3393135613403918,0.3737636934523464,0.4123397505029215,0.43085765219295524,0.494442993841416
