dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.08393054554137998,0.2360116080033583,0.279215854576445,0.40653118714260666,0.49326879752452346,0.4897935864328204,0.5792948041929908,0.6811035451735813,0.7392383182686637,0.7676429282301044,0.8086263783682707,0.770214152905646
food-related / eating-related / kitchen-related,0.13540843541501899,0.371631929468829,0.3877197273086801,0.5119938998219236,0.5623959348563906,0.5820872293521658,0.6594295395995979,0.7076576755610797,0.7494495836445273,0.8042636360220206,0.8382446993202454,0.7817456162306309
animal-related / organic,0.06749900937744584,0.23863438870777998,0.298329477055972,0.48530036865156595,0.5907720879616991,0.6010746261064315,0.7171861329224306,0.8042035954340603,0.8450232330953295,0.8671653264159003,0.8727994541434929,0.7602952509567242
clothing-related / fabric / covering,-0.01441796056952228,0.09174164412126407,0.09777244252888354,0.22309905403028427,0.3082633641787484,0.3177252754406078,0.42802349337891077,0.535194515715218,0.6231612685718491,0.6871226093120175,0.7349752022889551,0.6501087770403594
furniture-related / household-related / artifact,0.07946486251812133,0.21847542493920652,0.2650627024556568,0.38531883916404885,0.41047461806477675,0.4293301828581332,0.49794471290016773,0.5674836531774458,0.6452383520917198,0.6468623313346142,0.7097228281565995,0.64154540572787
plant-related / green,0.2960273159595844,0.4058729064562548,0.42743770768617184,0.5022949380365906,0.5400458970490384,0.5460863711981027,0.5984496301965246,0.6309741231154529,0.6840677683081723,0.7191978975945011,0.7126735569560742,0.5617794573839177
outdoors-related,0.12226275163485716,0.2301321337826626,0.24713551336086562,0.31500135830262943,0.39232922158183364,0.4139822713693202,0.504820951768312,0.5543845240250604,0.5919437379175401,0.6361987242286554,0.6374143461894037,0.612965734164781
transportation / motorized / dynamic,0.09082199729592655,0.25288062714036486,0.2802126925193148,0.4653045646184436,0.5080546337722299,0.5062197344543717,0.6123405399374574,0.6737203514688799,0.7359634169363792,0.7821281644028433,0.7723688396949824,0.5094791565926606
wood-related / brownish,0.054382129122067156,0.15792642647962757,0.15798578610542618,0.24161349965362966,0.25395379255884154,0.2581169850012448,0.32500942809617445,0.3478362045813668,0.4347979821186915,0.469517020968504,0.4613055175314666,0.5727533809033798
body part-related,0.04335014179561353,0.15415109726684628,0.14970424958786882,0.29768606432192163,0.4178659499427601,0.4294515763754984,0.5807358564709528,0.643875985736253,0.7192083046632565,0.7292017202841162,0.7439328403556639,0.666584776102147
colorful,0.19602109399385131,0.3850232191941235,0.3918872977873419,0.4401040417085092,0.3962520424972729,0.38124387808637145,0.40852906499965397,0.4818966078471668,0.51396442456515,0.6074243309898583,0.6153509995608422,0.5289283650029847
valuable / special occasion-related,0.044527360016199766,0.11088326631814391,0.1271681526202879,0.16621311611175354,0.17152349694750196,0.19523543404474183,0.26335349230702476,0.38462295576767486,0.4365686310105463,0.5128205513244801,0.5591094187323231,0.5260000768686373
electronic / technology,0.030987972183997202,0.1602209019932287,0.15791068738325498,0.2536250786361313,0.2912131569867199,0.2879017955900956,0.35128512776383813,0.4065345018081309,0.47227187602265736,0.572491833152008,0.6214044467192286,0.5345285970595298
sport-related / recreational activity-related,-0.026964169911245662,-0.005317646982019075,0.021422030935726578,0.01825305174199371,0.02551233973476482,0.03566122436453768,0.09763979549726745,0.15103769574241668,0.20142865972886562,0.24837249023041513,0.39086931099923994,0.43309725741529403
disc-shaped / round,-0.03224486337140031,-0.00037187604109683025,-0.03522168358538393,0.05963656831561785,0.08444684936355845,0.13305225275139954,0.19389774590106607,0.3224590276210639,0.3724583092871348,0.406937188272666,0.44249558032133374,0.5441679590556281
tool-related,-0.019694322345569726,0.02277757308601368,0.042842509483250045,0.11889704980679494,0.13829774766393255,0.14794383639037956,0.18312172625527245,0.29665208264247933,0.35171242154602067,0.442181329777129,0.5161245257760998,0.6821212787855655
many small things / course pattern,0.08683828022660986,0.15101142766018788,0.14255743901577653,0.25343816289067,0.3005991921576651,0.3143039901674623,0.41259309590312776,0.5036139277494867,0.5366858132237332,0.5420916572457444,0.560903335037883,0.5495632347858407
paper-related / thin / flat / text-related,0.017182671241373924,0.0593614681575256,0.05733063406307173,0.18193397062641833,0.20665964486109306,0.21793064494547573,0.29108423492785895,0.3486815468748862,0.4199552499042845,0.4555267982727023,0.529105402735735,0.5482371471904096
fluid-related / drink-related,-0.024100366394584505,0.01808847635643738,0.014465108564962626,0.09975442215387913,0.12998177821675508,0.15713918600791849,0.30342324659661446,0.42884379699224573,0.513316043463073,0.5395912103397845,0.5860882560621172,0.6057497231871171
long / thin,0.016875135789284866,0.055450097908372374,0.058030068989186154,0.12942840418119747,0.16642249429307862,0.18215314120232118,0.2055370920483824,0.27757075285121313,0.34547122074652625,0.3245730175434933,0.3649733417904198,0.5761364422336174
water-related / blue,-0.010000215567378457,0.062327332783295865,0.04916287844477727,0.12228521462494424,0.14742003155681008,0.13086552708038163,0.2101143585427155,0.2663745894358206,0.3662054021888133,0.48389522621066383,0.5031137865554169,0.24942320681519745
powdery / fine-scale pattern,0.0444606600946308,0.09629039279241866,0.1007145353393007,0.18084596399688482,0.1991539220163118,0.1948616330900098,0.22543385862402116,0.2756841937220201,0.3119037284635975,0.32965312145962095,0.37754983923085633,0.3917930387840253
