dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,-1.5419578132273113,-1.4261403849497314,-1.3596316292428106,-1.3068044764576863,-1.3029507404174505,-1.3254751964806375,-1.2553969578537347,-1.262256669834764,-1.1972487888028014,-1.1075141649982996,-0.9896555604801061,-1.4161218383871552
food-related / eating-related / kitchen-related,-0.49796137423190223,-0.39268029047298425,-0.5223214925150448,-0.39646099034980153,-0.5566714754115936,-0.5119131913929043,-0.4808189692889844,-0.31159226871142565,-0.2337119890434094,-0.15731680619788624,-0.2935956345713735,-0.21530778090583214
animal-related / organic,-0.38857889894894737,-0.34715085853524874,-0.28528982662070823,-0.24089711201851816,-0.117114922833917,-0.029043601333882618,-0.03998187577441237,0.004201282019916208,-0.15530999892323205,-0.1919284659532694,-0.4653924329753496,-0.24284876026161362
clothing-related / fabric / covering,-0.44592913968784575,-0.44927603217726153,-0.44170590561363876,-0.46775033787435283,-0.3229395325313036,-0.3591826790050052,-0.2760785339326819,-0.3285061750537217,-0.14551220036285617,-0.2527925883598834,-0.2548637312257358,-0.23413228447130408
furniture-related / household-related / artifact,-0.6248712128835894,-0.5235806464458457,-0.4505685981954324,-0.4249782030012783,-0.36681526475938697,-0.4740931199980827,-0.3756589079768453,-0.335129789822761,-0.28974212532115007,-0.27899560322993255,-0.18513679325362897,-0.35479877153227823
plant-related / green,-0.3315582266219854,-0.3432199041903674,-0.3121891897060629,-0.19409227277485397,-0.13026009172416209,-0.07407178485862165,-0.2874978546253608,-0.2723398861208781,-0.16763636646566038,-0.33114297376377033,-0.21938014765268998,-0.23068476680477557
outdoors-related,-0.6364352565107814,-0.6003072520362875,-0.44641269211219936,-0.39046493745415445,-0.2648184495836601,-0.2332257382188525,-0.20651482244816322,-0.18773637828855416,-0.46552934135048774,-0.4280843425530574,-0.16143358955501963,-0.4443996819195586
transportation / motorized / dynamic,-0.3698067534619611,-0.31442509443450817,-0.21571386077965338,-0.08450489287653928,-0.07249907106556286,-0.08828924685927264,-0.018238820065128447,0.03251208230700864,-0.002202949401939991,0.07959798379190475,0.07259601300283858,-0.15983409484520528
wood-related / brownish,-0.525423557516024,-0.4148892245183493,-0.4950905188705943,-0.491419689971601,-0.47443006873596527,-0.40241304987092685,-0.31398987020156466,-0.32091563960584657,-0.3577652584529809,-0.38044699598530696,-0.19313155414508731,-0.334785566272211
body part-related,-0.33454654203508016,-0.3155887078928752,-0.3064619558294708,-0.318408511734279,-0.10812308539574089,-0.2557276413257714,-0.1404064447672404,-0.1915513361253276,-0.24309565902840546,-0.18386293453896618,-0.06830751234966881,-0.11129859760281513
