dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
made of metal / artificial / hard,0.14448182053190728,0.2444702106391491,0.2873963987371555,0.37887064316067987,0.4588147519187241,0.4674050879191878,0.5357860175454943,0.6706939284593088,0.7227269710547093,0.7583372197397562,0.7925558956165362,0.5466287387948017
food-related / eating-related / kitchen-related,0.19740772648015859,0.31718582668484296,0.32914589405857997,0.4222429297741197,0.46213824678055315,0.5285419405693366,0.5882864202030477,0.6652879726339889,0.7153882618499547,0.7877627177348114,0.8274459114144798,0.5706334028200064
animal-related / organic,0.1290906799590349,0.22952918847040027,0.258087936443819,0.372835252606877,0.46315776747035065,0.5173893309903539,0.6226988974994903,0.7412724678088174,0.814629775132025,0.8276695985203679,0.8476394016919729,0.3869175835371885
clothing-related / fabric / covering,0.04901374407957304,0.10352739715333159,0.12136895204876008,0.1709596450080465,0.25639015345688543,0.28039071605758037,0.3760647329988859,0.4790800559899876,0.5604278503170597,0.6080770945133747,0.6422568395484003,0.3413607701228889
furniture-related / household-related / artifact,0.13505159712963477,0.22666476663290902,0.2580373548354701,0.3432709221212854,0.38143034617577154,0.39720529691816486,0.45019878180642914,0.5430531269280955,0.620131301683579,0.6174872395848664,0.651060549853088,0.3934226591790736
plant-related / green,0.333651085745328,0.4283907601979201,0.4242324615811761,0.46351212578982626,0.4777872368657935,0.4881828556064821,0.5328400945871904,0.5735908651578216,0.6217609444663368,0.6664688137914043,0.6321908647380798,0.21905774573573678
outdoors-related,0.14582954482165222,0.2309783910109071,0.2239701340231126,0.2981752462517404,0.38353820145953144,0.41568674133089645,0.4862671344506644,0.5230410125888658,0.5880032143444893,0.5866412098275067,0.5962091912016261,0.46119134557831953
transportation / motorized / dynamic,0.13531636164994554,0.22501603538485337,0.22668914909372762,0.323317976542953,0.3856525384740004,0.36869110946905514,0.4191381792754346,0.5413119913434222,0.618746732152389,0.6552391723790442,0.6006084678919621,0.20079148993003315
wood-related / brownish,0.10092965909179918,0.1708862273348576,0.17293647359935072,0.2176434820969132,0.23422508690748312,0.26276693489320524,0.29352790820302044,0.3082410464284411,0.36645442736968903,0.3749824831168006,0.33160144887203724,0.4805798488251113
body part-related,0.07588769646531768,0.1265190544180137,0.1395814427888855,0.19846678231281167,0.34052081616320606,0.3280545255024504,0.5217073134366494,0.6405148457739136,0.7145634897788179,0.7314219233356433,0.7106879979030906,0.3581975483812485
