dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.04928323312229488,0.21782011626647568,0.24293182153480652,0.3354024070236853,0.38765528882608047,0.40411813869359625,0.5286834748808296,0.6579812800752239,0.7125566062930523,0.7407894725794193,0.802454228388493,0.7346757659153865
food-related,0.1277971283674032,0.2662552090363499,0.2795611026151632,0.33788527866889806,0.4214460168869112,0.4585227360870975,0.5835738688007284,0.6515729253179732,0.7050264116836282,0.7854817924552213,0.8324378390444883,0.7278334978747749
animal-related,0.036610063021085715,0.13612162316794119,0.2037609853346638,0.33160342439517565,0.4370202524781224,0.48703376008110844,0.6175446158124334,0.7164142299518991,0.791130684849547,0.8195030833514144,0.8694301288141599,0.6483304658805185
textile,0.019707139923150208,0.07108741944950647,0.09348126970101656,0.14063222473984938,0.2005171871147685,0.20939655773486365,0.3701525121295437,0.4331494480231891,0.5298102609749676,0.5984220058849441,0.6930544805200409,0.6706932157189828
plant-related,0.04510290396579342,0.22253290801658754,0.3285632999938062,0.3818236343464686,0.40113600806152827,0.4338794875043832,0.5259193307737777,0.5656362090427834,0.6032289470339779,0.6512465578541191,0.71733705383937,0.48313974849206653
house-related/furnishing-related,0.022799302447139014,0.14216573173635338,0.1953741399400455,0.29588175538221684,0.35727039056226917,0.3993701878624726,0.46032936852083206,0.5513575196249143,0.6258845640067605,0.6209284372687343,0.6889727175617341,0.6015792920222613
valuable/precious,0.019022494289775094,0.06775362885714842,0.10076818857769665,0.12260970254810888,0.18090675086450314,0.18807248615004124,0.2739615293263278,0.3390434590634227,0.4058844631996611,0.49362702743205233,0.6104498664560128,0.5811358182943163
transportation-/movement-related,0.10450805369419192,0.17703439249457165,0.20054968463873168,0.29252895531556444,0.3528956063411176,0.3522222164327137,0.4460855020527401,0.5594484939802976,0.6155228852019387,0.6712305522064462,0.7090003344508176,0.4819263008607966
body-/people-related,0.0351128094298746,0.0839693678875224,0.09873914924500371,0.16263727621938606,0.30388977624531155,0.31821517930359855,0.5414581787705275,0.6134749820551952,0.686177942666164,0.7255526312598025,0.7624175702862429,0.6158645414775741
wood-related/brown,0.05635038935988945,0.11117910162772704,0.11668170177831372,0.17583919515864121,0.1940673262254522,0.22251103002943506,0.29477883740467603,0.3119550241264367,0.3590914446268151,0.35727281748734707,0.40638328098785814,0.574561113275221
electronics/technology,0.028495355915380105,0.15898554909953333,0.17350716485451434,0.23522033787616348,0.274232048774675,0.28709137577241095,0.3202018921250356,0.37290753597141213,0.4386469969749113,0.5200662474712094,0.5902089777825099,0.5755838358554005
colorful/playful,0.12175513151343897,0.30236505188408047,0.31216969483139756,0.3703460522227173,0.3517441661752515,0.3379061330604858,0.3883870391482739,0.46328778282767713,0.46500252938941555,0.6009547677155282,0.5973114642455473,0.594011489131351
outdoors,0.11084161645638535,0.22758112711677747,0.2872412303676142,0.3663845714876429,0.4748091840648493,0.49086136619227894,0.555442973849605,0.5695929836049596,0.6285913416888571,0.6077636160755342,0.6758981272979059,0.5378203172338056
circular/round,-0.0012262525656419054,-0.002598291753668436,0.00951008122199326,0.04719079123279368,0.07481564430293164,0.08511349257842993,0.11596988653783602,0.17365076281106395,0.20114742957753085,0.20145170515833888,0.4740314567242708,0.5633975294045493
paper-related/flat,-0.002429441027315349,0.07414499094693427,0.08566906509389949,0.15681098511501668,0.22212403039474038,0.23606047011222886,0.32862752171057985,0.354801918775672,0.43151468176012864,0.4242787133867336,0.5521451665525245,0.5678329789570866
sports-/playing-related,0.019300817876876986,0.060543746118332575,0.06116214558844868,0.09071809165937439,0.09420995285104516,0.12011298571346152,0.13395616209348393,0.1458993227357871,0.18304631442802077,0.2518474989377618,0.4073057593626229,0.4288653922236956
tools/handheld/elongated,0.01667521421985385,0.04950543123732121,0.09605808513521441,0.1189317249142563,0.13483888704767344,0.14544889936090977,0.19025442891285682,0.2569641041451519,0.31208228514490954,0.3624545498875492,0.5005310016517207,0.6964225959076784
