dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.04938039461713151,0.21759140052199333,0.24287878139569907,0.3358250630341393,0.3882008741453289,0.4051646443952144,0.5297747593781417,0.6581541637710009,0.7128078314317219,0.7410746869600124,0.8037977002937654,0.7405455814779003
food-related,0.12781735881532896,0.26626886245950654,0.2797583722910485,0.33687571952176343,0.4219793181403204,0.459133049075069,0.58461392838078,0.6516413441599498,0.705306697709681,0.7856162199898273,0.8321119210805192,0.7324351355227321
animal-related,0.03691644385372306,0.13637395710174915,0.20370727615524964,0.33206854318910817,0.4373191637659771,0.4872578443962111,0.6174848382944806,0.7166724811958923,0.7913312660527145,0.8195439675868126,0.8698998010427066,0.6566992976038222
textile,0.020200676133067974,0.07133338774930176,0.0938905215075263,0.1417218124051064,0.20122811452993383,0.21066958752188059,0.3713218981998254,0.4333465147048706,0.5301785105115571,0.5987339580608058,0.6933022007750704,0.6751421532431913
plant-related,0.045170565559247255,0.22263735489354142,0.3287150527767696,0.38234897984642513,0.40171438591478703,0.43444621046523024,0.5267469735895944,0.5660545285848336,0.6036247472637501,0.6514523142139665,0.7182034998053137,0.4978466662657348
house-related/furnishing-related,0.02210052490181036,0.14143414495771467,0.19472061589938916,0.2950029249288646,0.3579493519566468,0.4002632161391474,0.46158180855997943,0.5517112645584704,0.6261425408575794,0.6212419558982565,0.6902522865715336,0.6119736807687601
valuable/precious,0.019198049491612856,0.06806168172940752,0.10152686524761123,0.12425143334715583,0.18123028260707497,0.18982807651090117,0.27597762495226796,0.33926864695913816,0.4065867671076415,0.4940782930830433,0.6133420427653319,0.5949527943303907
transportation-/movement-related,0.10455112547830414,0.17714029323720648,0.20092548815883016,0.29309703002606147,0.3541051368509164,0.35394568325022924,0.44751360542606,0.5598305179728726,0.6157502953662879,0.6716128676505996,0.7103224000405011,0.49402827979582054
body-/people-related,0.03520614026716451,0.08360215279829897,0.09911074995599767,0.16339022644406265,0.3043361362732655,0.31877886773472164,0.5419696443921799,0.6136745254717144,0.6862995784209178,0.7255525226929048,0.7629736874758324,0.6258339287293013
wood-related/brown,0.056405636107430546,0.1114737998954457,0.11728329317664554,0.17624227467089815,0.19371485573110836,0.22358316951589363,0.29675053470511825,0.31270807965653336,0.3600282750598658,0.3582965473425378,0.41068162396921737,0.5901397482712869
electronics/technology,0.028601317233741708,0.1590024370982771,0.1738010745612284,0.23631710843909803,0.2755218381858541,0.28832157636574085,0.321847622151915,0.3736049297982258,0.43909936779483383,0.5203694119626286,0.5950174546887146,0.5869800660630633
colorful/playful,0.12178539331568794,0.30242460478585986,0.3117855918224861,0.37059876735988395,0.35212868757692095,0.3389272256870315,0.38933084008800656,0.4636002127970521,0.46530890331257246,0.6012513486640604,0.5998290810894752,0.6047519691813582
outdoors,0.11095491502774679,0.22724856520258174,0.28744091182872866,0.36694202700799206,0.475410735428754,0.4920991774440019,0.5566945896064359,0.5704147280880973,0.6289353837469515,0.6081929824488783,0.677516941864823,0.5543990692604588
circular/round,-0.0018631854508235346,0.0004668827817969623,0.010776676743031066,0.048454613381309075,0.0753191411098656,0.08849300474032384,0.11881987475652978,0.17474032121843175,0.20242511474023472,0.2024045799876294,0.4756749362235686,0.5787160081346532
paper-related/flat,-0.0020411912637559038,0.0747153894496384,0.08640134595268978,0.15791765431327198,0.22336394108130642,0.23778724746713464,0.3306687331813435,0.3555740656880776,0.4318846711559987,0.42468259254913143,0.5547632365212397,0.5808548696224516
sports-/playing-related,0.019231200758238365,0.05967303420578085,0.06221957194432992,0.09102877769006368,0.09413395929834656,0.12234995573900731,0.13849374187268704,0.14957894244038394,0.18271843354230277,0.25332587760930725,0.4111454170307016,0.4478989713463546
tools/handheld/elongated,0.016856003917246065,0.04970240024301642,0.09641121082159987,0.12021348466705273,0.13593827846696005,0.14795835986671135,0.19374076216787728,0.2581664881111465,0.3121746457689507,0.36310229199688915,0.5043715340357425,0.70608428672658
fluid-related/drink-related,0.018900695014335778,0.028329280322910266,0.05011455017401667,0.06734597824883093,0.10826830836832457,0.10848037801856669,0.21336641222912878,0.27975562102423757,0.32563575810002576,0.39422223824880986,0.48755274011231453,0.6140204391783083
water-related,0.0626893905797743,0.09579851626806746,0.08488434448976545,0.10622756523740018,0.12708901879857537,0.14146942544634977,0.1831057104669943,0.22008149091298068,0.2886208426644581,0.3738263137946938,0.5084824391820645,0.4080781331870882
oriented/many things,0.07462781979072519,0.08145968511863921,0.07719530576749856,0.12806611312483596,0.20688619682907083,0.20937211256805488,0.21817824461662982,0.2940464281742182,0.40412024899378973,0.3965671467367001,0.44304368220472523,0.6154360643525079
