dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,-1.3638244015229297,-1.328733507713824,-1.2475798533236304,-1.2116297026932572,-1.2162346000640394,-1.2934569460367347,-1.2823585100200958,-1.2587733910157315,-1.203501357651266,-1.1113233471935429,-1.0921272420084627,-1.823928681827434
food-related,-0.4593560287191154,-0.3364928701488008,-0.47740744535016955,-0.39254971069348477,-0.5290357823782104,-0.5087479087463642,-0.4936930798125001,-0.3183509056244762,-0.23016446509129063,-0.15358144839983945,-0.35870242669037045,-0.38172269571078066
animal-related,-0.36277418743391476,-0.3396296640100409,-0.26191485694299255,-0.22167952628074916,-0.10844991533460413,-0.03782470504158364,-0.04946332632912154,0.004026144325012582,-0.14445359529050572,-0.1819019012801817,-0.5344385047671112,-0.4387397947712457
textile,-0.4863485000942529,-0.4746636382457974,-0.4575318043435097,-0.5168740840512243,-0.3963851077862932,-0.44224777994694553,-0.3761469796196717,-0.4234354978758368,-0.2312019768793745,-0.3204398976719769,-0.40459991335884626,-0.4945928842534071
plant-related,-0.35605012157085536,-0.34719557828865044,-0.3198524335735142,-0.2369888782104128,-0.19553862522984877,-0.14398339264987126,-0.351066847158245,-0.29378601873925514,-0.19603760466080677,-0.3745219569421465,-0.3342098506358062,-0.4384379078773726
house-related/furnishing-related,-0.5746888168464928,-0.4909392826902641,-0.42706847104155843,-0.42136593466269945,-0.3421993620448438,-0.45986695009118406,-0.38902689883629193,-0.34526877973938963,-0.33519543391466855,-0.28586533137241776,-0.27845549970259187,-0.5845455425314874
valuable/precious,-0.6389507240268979,-0.5798594886227235,-0.5760817173280397,-0.6092282929879422,-0.660722285930625,-0.6242047037480689,-0.6030783036607226,-0.5010290036328846,-0.4889080320408057,-0.47822751490840676,-0.4950926214763036,-0.6849360504719357
transportation-/movement-related,-0.3598656232213795,-0.3216135268669451,-0.2336707558037543,-0.10831516654537832,-0.09565104351239251,-0.1346725522986565,-0.06220667297428717,-0.015411989722551755,-0.0389643292371773,0.03657891478704034,-0.012697170001133129,-0.27917398181870534
body-/people-related,-0.3521234759562113,-0.3358507234167223,-0.3138672715137074,-0.371837883049031,-0.13495475932747647,-0.30594590488638995,-0.20427450167274408,-0.20650207483102534,-0.25362485042523475,-0.2420416501596081,-0.19965079681335252,-0.3613108799902467
wood-related/brown,-0.5154006832815132,-0.43652520032639486,-0.5090391329705672,-0.5016919314126858,-0.5103556166958572,-0.4577118741407553,-0.3917346217850919,-0.37804743452955814,-0.4169046503139504,-0.442982209277905,-0.30599957721822957,-0.5852908433838353
electronics/technology,-0.3912597718421591,-0.36111370890278693,-0.3214706869147166,-0.264739752665607,-0.3069738078554296,-0.36556514839825205,-0.30326807497966457,-0.23300909681374926,-0.20793373244306235,-0.08820954108671963,-0.18477175363560128,-0.3461338696840981
colorful/playful,-0.45666979686871034,-0.2585794323381838,-0.27066101970630707,-0.3070973143167859,-0.34479208211832413,-0.3550991822958023,-0.3328607184292407,-0.3416872160753992,-0.219522060838653,-0.18765445975957507,-0.44535751552777314,-0.3869132097705388
outdoors,-0.5524921605711186,-0.5364101975087081,-0.38346177232733414,-0.33423087423529285,-0.16994490043117372,-0.14643348481109109,-0.20755688812883855,-0.23116516337544835,-0.5172315034446218,-0.5233098700453158,-0.37280767660007275,-0.6725264636288928
circular/round,-0.5020503703010681,-0.48600407631735454,-0.5012709609350696,-0.4958745931413644,-0.48420019135789283,-0.45459531018853716,-0.4788500167066174,-0.4232829249089698,-0.3155025642328839,-0.31963354195490545,-0.3534769254950636,-0.25176699995260754
paper-related/flat,-0.4946149041654746,-0.437649103904302,-0.4362964815396224,-0.40687046138220895,-0.39299691972952155,-0.41779360606658367,-0.3220145701468524,-0.33834970824789146,-0.3458699800707856,-0.26286510701008425,-0.3001970842695376,-0.3966277414419368
sports-/playing-related,-0.45912168203971837,-0.42305395169103854,-0.42835260394909236,-0.4170237210007621,-0.4246410364570956,-0.44876836875927273,-0.4453943337665931,-0.42412166963236353,-0.426949291919682,-0.33256214388895877,-0.4372976523027581,-0.5314624371525667
tools/handheld/elongated,-0.42705274652734637,-0.39701832958867134,-0.4202739662881514,-0.4030595653527411,-0.3815096777815108,-0.37143919550075033,-0.3584102189386944,-0.3670320994151719,-0.29865594573599674,-0.18282108767033556,-0.27524006442079485,-0.5357435175602476
fluid-related/drink-related,-0.3509525110429421,-0.3368775988973196,-0.3449857926440607,-0.3373229870244552,-0.34284524476961153,-0.3243588325761628,-0.3312984930129006,-0.25558244788032813,-0.2397780936549483,-0.21734173389878708,-0.16719576502011368,-0.2749195260038244
water-related,-0.2942636112739807,-0.2975170979773938,-0.27496451431134905,-0.2782416859745045,-0.29039277514819206,-0.23560185508479092,-0.21152939094013212,-0.18899559473856353,-0.23005612535320252,-0.1513198720277451,-0.22955192439563654,-0.21975528063252048
oriented/many things,-0.5001360506358572,-0.4322693974661733,-0.45306210710508776,-0.35886300316492914,-0.41372303038816116,-0.4729300110899173,-0.37550368681924007,-0.3831262956682153,-0.33782834498340786,-0.39516703730190983,-0.3093765554969157,-0.5798514091693994
