dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,-1.4477135129748642,-1.3714963286597825,-1.2788074669863256,-1.2441156878418056,-1.2229260199149152,-1.2638794345026265,-1.210233139129663,-1.184703143240887,-1.161128893097458,-1.051290500685023,-0.9353905476380633,-1.366909493898265
food-related,-0.462022487584997,-0.3613420683815729,-0.4951156469284492,-0.394236560958354,-0.5297528774401261,-0.4912874197737307,-0.4455670340584328,-0.30020365634315027,-0.2074083911817559,-0.1260248407871598,-0.25826556133647505,-0.1965728444176753
animal-related,-0.3627121492361569,-0.33705219959668176,-0.2640204952433691,-0.2320359619186254,-0.11033158398243859,-0.031997557707545976,-0.033513373873498065,0.029984516951025775,-0.1282153611057213,-0.15523782081043525,-0.3968125392484305,-0.21650038113459713
textile,-0.505193895360861,-0.5058766091256339,-0.4718209263434616,-0.5254345264442852,-0.3973135260282581,-0.43573358553752195,-0.33868914808272366,-0.3828573257526473,-0.21681751558963236,-0.3064478106947348,-0.290242485051754,-0.3043470027221147
plant-related,-0.35582576843398717,-0.36212821335620693,-0.3414439742680788,-0.25080912998777416,-0.20176310062811953,-0.13691926225505857,-0.305313446060953,-0.27435852764095814,-0.17256680645756806,-0.34774295171197434,-0.24029818175465922,-0.22784701214817238
house-related/furnishing-related,-0.6091100097123685,-0.511000126862571,-0.4542559678368647,-0.4400269581389049,-0.3393256120595862,-0.4436288053748667,-0.36045909658358255,-0.31712841488043364,-0.30539085304402347,-0.26121033102319635,-0.19182552232884587,-0.3974830065636592
valuable/precious,-0.6733981187604883,-0.6218546400139755,-0.596423470538129,-0.6331494414647407,-0.6606411434610528,-0.609552360959402,-0.5575088646729609,-0.4796452358471677,-0.4655744509636923,-0.4489345967849325,-0.3772730199265244,-0.4170683133309985
transportation-/movement-related,-0.3850902466598505,-0.33781480080518156,-0.23601246701277212,-0.11536693760149586,-0.10228336979259844,-0.12548041022926348,-0.04196065404296534,-0.0034654599250383278,-0.029055460882275064,0.04528552538495101,0.03411222085250232,-0.2500450516119057
body-/people-related,-0.3531755459506296,-0.3461768055113721,-0.3287621689158311,-0.3634369765658121,-0.13629939036928462,-0.311178848688878,-0.16984606116258516,-0.18392325114405828,-0.22716435841742966,-0.22189599157064333,-0.1223799005285442,-0.18598109024696763
wood-related/brown,-0.5294596193724319,-0.44559890791804,-0.5324572638054292,-0.5144783896506835,-0.5099135514467663,-0.4518337738664018,-0.35547138551058244,-0.38065560193779,-0.393496133098886,-0.4210422183593896,-0.2533996098124065,-0.39023654571524213
electronics/technology,-0.4245444857099303,-0.3845502566441734,-0.33751703094029595,-0.28391590180010406,-0.3122950149474151,-0.3470623671463453,-0.2833814677750788,-0.20983281303338042,-0.1916229918243384,-0.07088397063154295,-0.12107642516028472,-0.18873530757378587
colorful/playful,-0.494170543845883,-0.2904348921163691,-0.27763744962276204,-0.31312741703898794,-0.3492412332084365,-0.3385938248474649,-0.3159357649480776,-0.2905640786822532,-0.21740802417005822,-0.1646733456542515,-0.34725089885565774,-0.21805325354510052
outdoors,-0.6027392960616067,-0.5405879280316994,-0.4147545384831033,-0.3625248714512723,-0.17403623912981958,-0.12611117451156573,-0.16348959527449414,-0.19387082888930385,-0.4823829779566484,-0.492585145714437,-0.26201905914644064,-0.43580754275790223
circular/round,-0.5566926734242095,-0.5068061826670971,-0.541359197408072,-0.5241847842474523,-0.4879031796448421,-0.439296414824641,-0.4518546077711707,-0.40466056134063666,-0.311063610384519,-0.29324161042183716,-0.27807702982750016,-0.08773544416723
paper-related/flat,-0.5360447321634425,-0.4396239093911327,-0.44908470516460497,-0.42255568010496614,-0.39746704711596226,-0.3948485811785354,-0.2983628411343975,-0.32530764543932533,-0.3265995800088757,-0.24365801003252163,-0.25022507044065545,-0.22620076429612057
sports-/playing-related,-0.5004522888878566,-0.4684767253872548,-0.43908971087353454,-0.4361268611407607,-0.4300203580984301,-0.4296835448210561,-0.40406357865781883,-0.3985972354948504,-0.38914455931496694,-0.313440303354235,-0.34274810368959585,-0.34864465266240763
tools/handheld/elongated,-0.4774489988810393,-0.3858602359966534,-0.45290173255359556,-0.43168990220886183,-0.3731297791107364,-0.36092089302143826,-0.3279671025974604,-0.35233514694481394,-0.2732684388660651,-0.17419218370032308,-0.22598965342897848,-0.33140061222098827
fluid-related/drink-related,-0.37542614264172425,-0.36359106848103884,-0.36835115017021325,-0.335103519067641,-0.3479859711005784,-0.3162760789197756,-0.30331270869436766,-0.23052010869137485,-0.23859677736445173,-0.21232055131576222,-0.14233485584809635,-0.12028634910475144
water-related,-0.3272585055581787,-0.32775110034708743,-0.29976105065672476,-0.28592039111349377,-0.29393169661406726,-0.23899317291193545,-0.20172971500888148,-0.1683640433372009,-0.22058507481698952,-0.12459471612889361,-0.16732429156331308,-0.26834461789968533
oriented/many things,-0.5539929994140487,-0.45087540292402517,-0.45682253400601525,-0.3749533918157322,-0.4123141466401161,-0.445771942308715,-0.3452222883117433,-0.35882335206221283,-0.3297707892472477,-0.3904783825158198,-0.2613789043699961,-0.34837852189760943
powdery/earth-related,-0.48611804029207284,-0.49697394567440245,-0.41736995476738237,-0.39212492706721,-0.39241162983822253,-0.3064676096435546,-0.2985462901531213,-0.25401828559931805,-0.29122382207486264,-0.31845576194304837,-0.23875316762333743,-0.29975908044403554
white,-0.3991583663450564,-0.3474742190631597,-0.3268163117404459,-0.34896760482332656,-0.30227736545053263,-0.3484008273562116,-0.39204939231123626,-0.3973288804808386,-0.3901882707622424,-0.3781040224912404,-0.3947477665836985,-0.33040468349897956
coarse pattern/many things,-0.3954741542523972,-0.3485353866507106,-0.33871264906806475,-0.22240549806106702,-0.311212095878151,-0.313956634169531,-0.16976720751433017,-0.14884058879778128,-0.11564833259977392,-0.1798664001652297,-0.16054858297486696,-0.07024614122975392
red,-0.20095341334100514,-0.2369915985836908,-0.17449280515941012,-0.2354019466437438,-0.20386957521929028,-0.2790787963673249,-0.23747775033561025,-0.28290896322161085,-0.2489786867388466,-0.2234883228075244,-0.36020324054896924,-0.3304924624466292
long/thin,-0.4559062998269816,-0.3898708551800487,-0.3984808822255763,-0.3631281696907256,-0.2927166193197497,-0.2942850885550805,-0.2991336343128246,-0.31360611023248697,-0.27683556935856757,-0.23942901660304572,-0.23345293443199933,-0.3762770816655667
weapon-/danger-related,-0.4270340270837627,-0.4015134325943752,-0.3975084365481787,-0.4003480422880412,-0.3624775998155605,-0.3696502858071089,-0.3378478675511547,-0.30656849733037395,-0.3316257481029774,-0.3098659431465096,-0.2467652943488745,-0.3349709880174401
black,-0.3980293523809102,-0.3926630359442267,-0.36102975045451413,-0.3579708731394573,-0.3414134293338362,-0.4033455310638898,-0.33361107886190533,-0.34198530486656464,-0.33112754024959745,-0.29720765703174923,-0.3986854264824893,-0.3868547218612979
household,-0.5023404130464777,-0.4460669852853545,-0.4516790835109361,-0.4382474202287838,-0.4443136175059741,-0.4450182785733128,-0.4378714228968741,-0.42854797475094686,-0.36555197226567904,-0.3516872486467444,-0.2404573535758574,-0.30741539976137866
feminine (stereotypical),-0.3949221115187498,-0.3807094338060426,-0.3852367702856303,-0.42633059786579497,-0.3709586995485876,-0.40717261366107693,-0.4163128755934691,-0.3880511491330463,-0.36515408094509594,-0.3124510603455011,-0.37207383937872485,-0.29893084812262294
body part-related,-0.1752125261905617,-0.2527028541190244,-0.29818766831514765,-0.24419972077211405,-0.2059295821644891,-0.27739727267257486,-0.15562074227028777,-0.20248801309285835,-0.195709416715649,-0.12010511293388393,0.0127705723359407,-0.1290543228591321
tubular,-0.4204843721062703,-0.40461315942977105,-0.3923092216213655,-0.4078265359767905,-0.3722076656465647,-0.3530997449124811,-0.3318547805960048,-0.33034065967193227,-0.3118956903337564,-0.25785717648425033,-0.2683452407733897,-0.2721946085980058
music-/hearing-/hobby-related/loud,-0.30095171879457117,-0.3240550994089957,-0.3247242527905887,-0.30331019667680437,-0.2867340712950326,-0.3064151226557441,-0.25646416178673603,-0.26085105339268333,-0.26759445555305583,-0.23046610529091138,-0.1750335285234914,-0.21395503625573498
grid-/grating-related,-0.412212805270761,-0.37903752835081095,-0.22489630071279,-0.21698486643356052,-0.24696004033979357,-0.24004452243365715,-0.26520458864372043,-0.28985796125039,-0.27644056902341796,-0.2977830328975859,-0.23752985122874604,-0.22517684124612014
