dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,-1.3581435529266837,-1.2643431193330237,-1.2284638348730246,-1.1386300472677129,-1.0616162159279021,-1.058833910256881,-0.986647492224646,-0.850300112819377,-0.8062997931186537,-0.7775317518036737,-0.7343225050363782,-0.9616987221017905
food-related,-0.3794305142326193,-0.2630150220042764,-0.25020020205928595,-0.15417607361506458,-0.11995377729910217,-0.04982843732522868,0.0006508542133949469,0.08497826245667284,0.1302472562139284,0.20454094410621704,0.24549853482683615,-5.365344384999915e-05
animal-related,-0.29323694827659286,-0.1952298500584182,-0.16942148223274045,-0.05256508108136959,0.033092753971742606,0.08793779592652307,0.19512977928171438,0.312041630089929,0.38930003365059807,0.39780705452659104,0.41733689657241213,-0.03814595413667221
textile,-0.48504416066920686,-0.44818184479291867,-0.4243171639018213,-0.3805586219487225,-0.2938696576973696,-0.2669411192708697,-0.17762636222098505,-0.07441278736501311,0.0114135545482974,0.0582222087721046,0.08322298041251408,-0.1657441729253637
plant-related,-0.1895056130124746,-0.09527340562950992,-0.0987824520653291,-0.05316733432978049,-0.015208402556632583,-0.01090946148464611,0.06066564854970391,0.10980119294722968,0.16617698221471322,0.20796862354628742,0.1971299009576707,-0.2375128496545551
house-related/furnishing-related,-0.5052873808530083,-0.403514265683355,-0.37470806204586316,-0.28021223142356266,-0.2401692352715088,-0.2269980969250247,-0.17868444230627256,-0.07654091773352478,-0.001485519850052075,-0.008450797933494902,0.012761790172475362,-0.24476219635024932
valuable/precious,-0.6403049405622552,-0.5468563499536443,-0.5508458943258587,-0.5279903666146102,-0.4981681348077325,-0.49963073895792376,-0.412271415939345,-0.3376967000052846,-0.2819218014585454,-0.19408950231644173,-0.12161308471661658,-0.22398236017154205
transportation-/movement-related,-0.25139259900856104,-0.1604775135122951,-0.15884629891622803,-0.06638587253565387,-0.005398103183128944,-0.028529149423099254,0.03220891675491666,0.16155695001608283,0.2403590821431134,0.27239885072933234,0.23484365963370368,-0.18912879332474786
body-/people-related,-0.3391763782405721,-0.2723755246026256,-0.2613366261086971,-0.1903677145332916,-0.0445260344175773,-0.05366828678396929,0.13379162230655306,0.2327578321213838,0.3065679776401431,0.32377878432285734,0.30417369852018816,-0.07298979474103029
wood-related/brown,-0.4648428247549017,-0.3921583518167069,-0.39715243217137686,-0.3493178630951266,-0.33117052260974256,-0.304731100732613,-0.27599204918930975,-0.26110239205339214,-0.2099501572175091,-0.199529346824171,-0.2380649256211158,-0.07723392714897548
electronics/technology,-0.36706185093732535,-0.2944582127916995,-0.28082368482030184,-0.2087678682871752,-0.1733530687064715,-0.15847256715473645,-0.13198410705376973,-0.05366350913427009,0.0011756934406033093,0.08945332289070407,0.1129484176290394,-0.1092935773253072
colorful/playful,-0.3345766528115641,-0.17106738503166086,-0.18967992482085005,-0.15055513594271863,-0.16946112919257028,-0.16443393667524075,-0.174009877416901,-0.10178574502937066,-0.08295386042694197,0.033650197523544034,-0.02124671413319046,-0.10049759246353585
outdoors,-0.4002139523638508,-0.2916338962697549,-0.29612758064092537,-0.19684042811659697,-0.12845580000365664,-0.1138186676681483,-0.06507944233410656,-0.021676274890344516,0.02759883028884358,0.005392000690994769,0.017854245923643708,-0.1939540058684024
circular/round,-0.5436811290725219,-0.5041518635959332,-0.5005974393955726,-0.4418117293058579,-0.4107393646992836,-0.3906888425283317,-0.40616348702087524,-0.2945922088296995,-0.25272427220680793,-0.26632967075017877,-0.1660047218478904,-0.05714239626277995
paper-related/flat,-0.46972743403959294,-0.39972725266971465,-0.36439704616497126,-0.2988534348697176,-0.2498758685917577,-0.2296319444724475,-0.18390181877221168,-0.14636451894323432,-0.09251673715210829,-0.06183011274642025,-0.008580447140468683,-0.08135673906072638
