dimension,vit_layer_0,vit_layer_1,vit_layer_2,vit_layer_3,vit_layer_4,vit_layer_5,vit_layer_6,vit_layer_7,vit_layer_8,vit_layer_9,vit_layer_10,vit_layer_11
metallic/artificial,0.1426667959603593,0.23865686545313544,0.28187627785618447,0.3767067578124328,0.4513972690030137,0.4554689088379754,0.5161199154522872,0.6588417987835655,0.7127988257327538,0.7500976964434761,0.7876743587557651,0.5659657084353542
food-related,0.18436007102618707,0.29916174401010975,0.31015416813025715,0.404771827659186,0.4443753119063727,0.5134827003560268,0.5707805765747049,0.6561736304178843,0.7060541629670467,0.7842259476327686,0.8226852500230409,0.5664412052936751
animal-related,0.11409045934712041,0.2170946943573769,0.242581503427459,0.35313883320213524,0.4383352926396441,0.4999179411136708,0.6026248680142121,0.7336797487114991,0.8126773457541839,0.8247299719940162,0.8432690688668318,0.3709412378809437
textile,0.04617798257803078,0.06936330905391795,0.09369023988130845,0.1388795271248301,0.22577282928454231,0.24957948886930562,0.3386099472116027,0.4449106973815603,0.5324934054123946,0.5831635853901077,0.6071641211874269,0.3608587184740985
plant-related,0.24055276160847905,0.35355324947922934,0.3479468379212561,0.394315172460323,0.429997244098146,0.43539414942729876,0.510682950512904,0.5632906758304784,0.6220207367345431,0.6670301789989919,0.6500748544768493,0.20895298540153914
house-related/furnishing-related,0.11173399434348937,0.21950929442377287,0.2460073080391938,0.33527805231470126,0.3664730838850291,0.3875535717821108,0.43740275549120006,0.5413380301393885,0.6187958993067701,0.617306877863691,0.6357107484931961,0.3798826428705203
valuable/precious,0.05189525892496054,0.13603614440554307,0.14013266737044996,0.164886471337018,0.19569280138851738,0.19222694622375547,0.2758230315805058,0.3515652082463882,0.41320334154498745,0.5113540553043556,0.5837243296890373,0.4686933779713446
transportation-/movement-related,0.11762786301080559,0.22485566064862575,0.22742804133829225,0.3138784898845405,0.38422892375857803,0.35511089408749014,0.4179545870305857,0.5448923427215491,0.6295995868647315,0.6642090299481243,0.6219685911215451,0.19540938451578166
body-/people-related,0.056530004848244095,0.10636970161160023,0.12069450834231192,0.18271877416363916,0.3276065543546932,0.30946173930507354,0.5047428222764678,0.6056999600202515,0.682470095944786,0.70686599190279,0.6880668319149756,0.30547082156223704
wood-related/brown,0.07955247181112747,0.15871065798811365,0.15558680037984335,0.20083939915513307,0.2066782379584607,0.23938375939229575,0.26954739458956,0.293809982273757,0.345514785987032,0.35946300929188,0.3141424467570864,0.4737023429633278
electronics/technology,0.0902461357252065,0.1608167394210537,0.17239341106353961,0.24352326323366133,0.2774435021633096,0.2862707644386958,0.31405707069439215,0.39393038420243504,0.4459698038069508,0.537696081244888,0.5504312782873486,0.33529704405825717
colorful/playful,0.2234518243904192,0.38612749286824655,0.37177386740913076,0.412229832512227,0.3910935254063177,0.39614319937968745,0.38508685853353863,0.46151055238123473,0.4774259725489157,0.5972719114357565,0.5421953289743371,0.4617040502214441
outdoors,0.19140837810758343,0.2934480119159158,0.289784874600212,0.39038982220890334,0.46043419997644996,0.478859153135301,0.5366515324584765,0.5773550212438348,0.6313280391887075,0.61158377812463,0.622933952990255,0.39932944972620094
circular/round,-0.011153640865194648,0.015351461680003908,0.019168911471990624,0.07662223359338309,0.11058904522947403,0.1270014396337941,0.11417562417937059,0.22692877898683833,0.27597602540788146,0.2600278035587754,0.365590822653488,0.46901788229959845
paper-related/flat,0.03694234850324568,0.09881732274993725,0.12561396825718843,0.20407724845138117,0.25112341424419937,0.2715818909697568,0.30779122526802016,0.3498464838569471,0.4108821487205498,0.44298314182375853,0.48535522469000325,0.40875355921112744
sports-/playing-related,0.006815140570108768,0.04021143864638632,0.0463881900181705,0.07911254462674178,0.08658760426990056,0.09319891680746059,0.08642492097688152,0.12887191276049176,0.17155821150278025,0.20108052995374245,0.3082387273173425,0.2671770419890577
tools/handheld/elongated,0.02841478391999075,0.08027353759510521,0.119134501374173,0.15968099362166016,0.1573806731384359,0.16777365937512764,0.1864999443862331,0.29491767345575426,0.32342071506905284,0.37470255049209605,0.42869066231025477,0.6461608394642953
fluid-related/drink-related,0.009471727749316695,0.03632489351215209,0.032199203740774854,0.07351058553880171,0.1074855108396013,0.1145186391510226,0.1840752413602361,0.2973731996441332,0.367514100398402,0.4103100654016167,0.3997183728992022,0.35707672118142053
water-related,0.052638367053814625,0.06818432956429521,0.06379209864754028,0.08093067244715288,0.10544554313314772,0.11431945862345254,0.1551056302615826,0.20510898732352323,0.2633297991625793,0.4025497029977112,0.3813092218683462,0.05717650199354041
oriented/many things,0.08960073435811841,0.11888742018482604,0.10972031772086921,0.16833116164937967,0.2162574524478562,0.20687516511844578,0.19693646531510706,0.31651080451149144,0.4253271419639719,0.42348195468401395,0.3411147950052122,0.5098737161881963
powdery/earth-related,0.10769886480565175,0.18919968781832078,0.18656506796260813,0.22637420537109637,0.25603475912286755,0.28148209655903694,0.3001264205903493,0.34427576154176237,0.3899474943141925,0.408614479991176,0.37700413432556,0.37787054400152137
white,0.14686043787831204,0.20061178378914124,0.19394359298800132,0.26139562415057443,0.25820367184949883,0.3157826170953502,0.25342183277455355,0.25688339927361215,0.2999174696891373,0.26303015028966165,0.16998016597909432,0.35823164552658743
coarse pattern/many things,0.10727322815718839,0.15685165825560238,0.1694066620497013,0.2733787143414651,0.3447775306525068,0.3378238096396588,0.3408855954103858,0.4454964689368718,0.5137871426000784,0.5272848106787625,0.495582427146109,0.5558317317420424
red,0.3877389703346664,0.4432225691914929,0.3965394557444063,0.41513694568461457,0.3586272886350871,0.3072322871070824,0.2655669392559771,0.25574384291590585,0.2191419854793421,0.2531544900163028,0.1405422131021239,0.24222593679525514
long/thin,0.06514154885040116,0.09411631293044095,0.13365527530432328,0.17291477437586572,0.19388858466972483,0.2100416124981272,0.20202607899805813,0.24179521321894765,0.2943159227886776,0.2761984922193238,0.3097285971347948,0.5283623883647658
weapon-/danger-related,-0.00983575434454782,0.007979712422703877,0.016266577280682447,0.05689470246469758,0.05513344887368007,0.06174520954544208,0.04043287301234596,0.0975469827993951,0.13554549438694857,0.15819887308808317,0.20298227796073132,0.14809575929335078
black,0.14185239571498348,0.25013560395751344,0.24169699039048403,0.2604744782965279,0.24150040749458598,0.22923203083697907,0.18948266933369914,0.23421345425955448,0.27368151579320255,0.23688943356894998,0.24106663783641652,0.2716827142213488
household,0.029083298331708408,0.05629705155651117,0.06030962920539804,0.09957258619819233,0.1293136752972551,0.13887735437961662,0.1394905990809113,0.20303806787640077,0.23699672447493647,0.2654430260071335,0.3197133226715791,0.26163093369306367
feminine (stereotypical),0.0707444085516589,0.10376279045608765,0.09166641595685346,0.10587825044170748,0.12100223517770962,0.11038954914218328,0.12896576728631198,0.1882079562237406,0.22114589497417153,0.2648439818949085,0.3395056619900158,0.2241871871884819
