dimension,V1,V2,V4,IT
mineral,0.24610579989656156,0.4559659244676011,0.6113938417914757,0.7384563243677842
wood,0.3129124604511,0.5272195828335244,0.6351956544311487,0.6748150396627002
metallic,0.36548899623814535,0.4837831935072546,0.5521273155198269,0.6223295781863056
fabric,0.05395110444695561,0.1730715247844815,0.3170358760110955,0.3850270940695636
white colour,0.5661302665958587,0.6269867097645827,0.7112898618333203,0.7390361538620775
grainy,0.2755559732674603,0.4132037750115136,0.6058358894476421,0.6621628292356347
crystalline,0.0031389330905569057,0.17081614423877545,0.38798068247774287,0.49128913567849597
"straw, fibrous",0.20580800084012352,0.3989079079761779,0.5082921309062803,0.5602152741110784
cloudy,0.0500554496414537,0.0977056556859861,0.2406520382893348,0.3819337328704656
small,0.2516492708556801,0.3790807018709479,0.5453360433902417,0.5870951184578932
"beige colour, tan colour",0.41902115813813967,0.6218873447004629,0.6711140582841741,0.6742696632270051
viscous,0.025953201448011387,0.09577246653178606,0.1381092325983716,0.15292710763313466
black colour,0.37095385330485653,0.49406253700335245,0.5956499911469016,0.4810818396338159
brick,-0.023998671437242658,0.0370426329393726,0.18533975786537094,0.2574983179076925
swirly,0.008732752079138262,0.09051714140082945,0.24799118136457654,0.2830066859138628
maroon colour,0.45426489720284413,0.6371611226476541,0.7040058547012855,0.6034875985769063
"lines, long, tubular, vertical",0.15026518364923402,0.3731666489622876,0.5315342395561817,0.6193499357049299
mesh,0.1415145930660201,0.20803323255104156,0.43325533063662613,0.46856694675310095
yellow colour,0.592902781165481,0.6641946843695983,0.6805430488424463,0.67616083806975
multi-coloured,0.31449036766920657,0.3835862521593141,0.45452946704133057,0.46868831738762884
thin,-0.018861835725170195,0.0019121407776234722,0.11312742538346943,0.16232681227012258
bulbous,-0.017982957470656036,0.04063286137992539,0.167540522284788,0.37868960675925256
green colour,0.5275120533723532,0.6569749717106574,0.6573400397260345,0.5888399892684023
blue colour,0.44035197542814486,0.5217976997869804,0.5546205012849496,0.44444778313129785
shell,0.05455518484831268,0.15786212678669986,0.20533423446150667,0.22764823184425276
"gemstone, smooth",0.05410038350235702,0.11562635968529789,0.22807373152919808,0.345977128936675
sheet,0.06704119357161331,0.13617487905737402,0.201178168383635,0.1997063719025124
hair,0.06153530937611351,0.0793594141479661,0.13988774568537088,0.20453017230036974
spongy,0.008007878760044385,0.009642412058879613,0.03551474232223717,0.059999019301473555
golden,0.10534934357987724,0.18846772287420588,0.2038339433585934,0.19873919913832871
red colour,0.48122228305775105,0.5417731379519526,0.5952038474076669,0.5720523588336218
"round, smooth",0.0011254583111796057,0.011388306977486828,0.03724895746360379,0.135522368831977
cream colour,0.10688838502865106,0.15832679757781032,0.18666415833387628,0.21831898368995895
bumpy,-0.004123648001175706,-0.013214532490582576,0.009387491737096076,0.05708963894899821
hot,0.06995116609095386,0.15258178145515233,0.21656508118180307,0.20576888259715198
turquoise colour,0.2416877918758078,0.18624281842891577,0.2518733783516989,0.15634250615265122
