dimension,V1,V2,V4,IT
mineral,-424.542200355663,-453.3588540333643,-407.4187696101181,-401.3063410620044
wood,-360.235500080327,-346.3366087449153,-339.73397459932875,-316.1636749905288
metallic,-288.2213056891454,-287.8575307812174,-297.58272970081833,-270.72004529284965
fabric,-254.38145280176076,-267.03822361418827,-251.75348655002082,-272.94654743876794
white colour,-262.84124542085226,-258.927688310886,-242.4678264261428,-256.299158424279
grainy,-305.38325083788015,-296.7453312774655,-245.0939584768906,-256.3050005437141
crystalline,-233.20092762409556,-239.13317609176423,-229.28786241393567,-221.14752545445958
"straw, fibrous",-190.05442637718335,-199.35548524026422,-198.1298484810351,-190.7042283184257
cloudy,-221.65727038962433,-262.3737995678366,-231.09072402628237,-218.12826163793392
small,-201.67037460175425,-208.41729022131886,-175.2815139987718,-163.56187588111973
"beige colour, tan colour",-200.18160678483582,-221.90559791648747,-210.09310110224888,-228.70511781875712
viscous,-164.5775053990075,-172.98671962082852,-167.05955147276626,-156.97962403468352
black colour,-155.00422844540964,-155.63688501594498,-132.07003910831256,-140.54302802515554
brick,-176.3560865124609,-148.14193624882765,-156.02868725008196,-133.0811195581754
swirly,-215.61175991201418,-240.89627660719506,-190.98118474229707,-221.69918173465342
maroon colour,-163.0793877929621,-150.9750732230121,-129.46992650021582,-146.2822744955889
"lines, long, tubular, vertical",-147.70042718420584,-151.79578028643192,-135.48923484136756,-140.19764516156062
mesh,-148.5005925990578,-164.1493203207571,-146.35862047420878,-165.19748784694139
yellow colour,-152.49424477967804,-145.29427628420854,-132.45462709072558,-139.51259547192726
multi-coloured,-119.35441203731658,-118.79249340516337,-105.20380028885779,-113.10159501682159
thin,-137.26177695417627,-137.65520575524425,-132.88840744147566,-133.5563394323697
bulbous,-171.62629331622364,-165.76840831459612,-142.18685091078572,-128.94505984687805
green colour,-87.5622197386885,-90.99994084312169,-72.22696606963275,-74.74798995366785
blue colour,-123.58804638186817,-123.16668991583984,-120.71090846080347,-120.38446977013282
shell,-100.26610239166463,-122.08538171523963,-108.38786850631739,-101.16763943558556
"gemstone, smooth",-144.0085769314371,-137.89794700291927,-131.44837594600338,-114.34338165219056
sheet,-170.40358673401775,-155.60995491477502,-151.77578874222036,-142.5779926597759
hair,-147.5600795441446,-210.0293759081682,-193.26351955854514,-172.917187765444
spongy,-154.24422805072325,-168.86928672962415,-158.7486750938176,-111.44169585642564
golden,-125.92034403704459,-119.69854228216587,-139.54472367668058,-132.36180471284862
red colour,-73.47153715555486,-82.50564644122632,-82.39734789157578,-81.77752675480956
"round, smooth",-121.69863629341492,-135.54773198554125,-159.23595852924672,-101.21802467217259
cream colour,-112.68565037569891,-154.98238743102272,-158.03981662147615,-113.8824505877538
bumpy,-183.09348238137554,-170.57965857175947,-120.51209877707643,-95.45179140552256
hot,-66.40871479137006,-60.430235661988114,-57.88736284658611,-59.23256353256791
turquoise colour,-85.09223458238837,-104.04587788438509,-101.18647462876706,-98.61395926693541
