dimension,V1,V2,V4,IT
mineral,-5.152796606303759,-5.808919721982167,-5.247689033687494,-4.681898825596318
wood,-2.3930384040603303,-3.255532222544282,-3.336791376100984,-3.3442358419869267
metallic,-3.90867408399998,-5.000302490793335,-4.353076180313459,-3.4772471214053224
fabric,-2.198012378593448,-2.9449317821607575,-2.5969661888081945,-2.7739437260127238
white colour,-2.299563699376758,-2.0997935487455517,-3.4980028106781607,-2.6918693851024007
grainy,-2.725332249939441,-2.595233578619381,-2.64839497132029,-2.3640930926202337
crystalline,-2.8913273761553424,-3.444713261225104,-3.7230306707523244,-3.2923624588826916
"straw, fibrous",-1.8710824458777742,-2.6799369464981004,-2.5803337273891485,-2.440065681989954
cloudy,-2.2237084789442947,-2.5210430327962046,-2.8675662541994154,-2.9655620812908725
small,-2.3662789246851808,-2.172787661790272,-2.6887731197774483,-1.8182082180449113
"beige colour, tan colour",-1.7345144529769687,-1.9419750456007057,-2.627885545075558,-3.534408527045067
viscous,-1.9540641537608665,-2.3200618127517854,-2.5232874027717807,-2.813300403601271
black colour,-1.7346695687030573,-2.2476340725065955,-2.5156262744808227,-2.2618934397785626
brick,-2.1087450085202626,-2.4302845479754667,-2.9707927012428135,-2.3372875160809543
swirly,-1.9224430018029017,-2.411788544869713,-2.4980251926300863,-2.544024077337119
maroon colour,-1.1949038297394559,-1.874718621392316,-1.724477757214793,-2.55770476347824
"lines, long, tubular, vertical",-2.239549572268502,-2.5299436310582064,-2.1195048488062183,-1.5861968207334982
mesh,-1.4357787821737804,-2.1675208320039356,-1.9210693374432513,-1.5182090478367631
yellow colour,-0.705034769571155,-1.139942833086343,-1.7889414439421123,-2.697147328307523
multi-coloured,-1.3307459028328061,-1.930814932831625,-2.720227507435236,-2.0283494927985695
thin,-1.9498795099970816,-1.996960833236316,-2.186314343314082,-2.134053959667112
bulbous,-2.2199652336355427,-2.0917957669995673,-2.42233041003596,-2.2328234916752296
green colour,-0.9968636902851753,-1.8410665104002208,-1.6021415409166453,-1.2952619806315564
blue colour,-1.6234895464192216,-2.1837076424908006,-2.362410238712881,-1.709521555031086
shell,-1.6657799585251198,-1.6197968984351903,-1.9383474952738085,-1.9355314924839662
"gemstone, smooth",-1.769320342230483,-1.8588063221216657,-2.000410674336246,-2.118886208966478
sheet,-0.8995170877207286,-1.3818107033387785,-1.385752752731916,-1.6741119313435053
hair,-1.0693909710634077,-1.12592773245296,-1.4582205095055354,-1.9293171172148806
spongy,-1.2810611931879934,-1.5806405286914424,-1.7830878602209785,-1.743658291554866
golden,-1.7869095093275167,-1.6215114982462842,-1.8476505825054397,-2.1492670406890526
red colour,-0.8466025537083353,-1.3657090690938625,-1.868664614722905,-1.7906018556962429
"round, smooth",-1.1236174403359818,-1.6315753247251616,-1.4723554332889983,-1.8206591791348306
cream colour,-0.9364934307173935,-1.2482818882030315,-1.7707889059448663,-1.673906158922624
bumpy,-1.0909097833099461,-1.5008469520449332,-1.9847572267595526,-1.7999598566691466
hot,-1.3858346618003798,-1.5087931954362737,-1.5063869227622768,-1.9122264319611952
turquoise colour,-1.1790371443435999,-1.6257688232796719,-1.5530868975632166,-1.14561998626739
