dimension,V1,V2,V4,IT
mineral,0.289006690557792,0.45794521515181863,0.5793046433230646,0.5995426296784753
wood,0.38897863083343587,0.5596855487313155,0.6497441066013763,0.6938578728911912
metallic,0.2767183992733222,0.35438549771189776,0.38211903139264425,0.4077423961550079
fabric,-0.13403650391462954,-0.027906662571203354,0.15230524987649868,0.2012349767623003
white colour,0.6503580203801805,0.6998264571558415,0.7245765526477107,0.6965824965039478
grainy,0.30559123266878085,0.49853278566940346,0.608577702925583,0.6413812321773869
crystalline,0.004260616950523011,0.13460248842142358,0.2999001300631526,0.34233348281383613
"straw, fibrous",0.06841718642974166,0.1337294920520075,0.1569128023762909,0.32814219366989167
cloudy,0.04064365656624994,0.1137867139491334,0.19974831773501026,0.2830875803734588
small,0.102503898616047,0.1953188449557434,0.3309845094644176,0.37204070200361367
"beige colour, tan colour",0.3997299771240823,0.4651910101028801,0.44157846311191895,0.43485665212086416
viscous,-0.0840645286827428,-0.012131116577595935,0.010039315010419925,0.030086340139594568
black colour,0.29610207612471195,0.39363025797882817,0.3819295147034637,0.301092049182568
brick,-0.15152511766982174,-0.10507327038288143,-0.05448252454522001,-0.0031652873658625236
swirly,-0.051858998011033774,0.08570350177720482,0.1639484297186775,0.20336848160659896
maroon colour,0.1547449884550593,0.19153866769763778,0.17405462180278602,0.15930479091147048
"lines, long, tubular, vertical",-0.07127990984949797,0.03446025959663577,0.16225369526639333,0.29483373617300057
mesh,-0.06690219694100652,0.049843860248142205,0.23121334348355238,0.3288349019052859
yellow colour,0.44417424714749,0.4548666896658472,0.3702101316003002,0.23198300497940583
multi-coloured,0.01360446605606246,-0.004127027954973062,0.025069519887162005,0.0709136691835979
thin,-0.20787554169909103,-0.19063601091395685,-0.165605553270411,-0.15435626175275569
bulbous,-0.27295729047547324,-0.20116497129076044,-0.05027257495183973,0.025218276139976924
green colour,0.2116798317161633,0.28983484686311195,0.22645363036949853,0.14997152404826303
blue colour,0.3514129833939044,0.3599823049644638,0.3188263500437058,0.16939012563152955
shell,-0.31014250394670506,-0.33124197159041674,-0.3962119932531654,-0.3486977975921689
"gemstone, smooth",-0.38085768498421035,-0.36546631388078304,-0.3472253906728079,-0.372887063049575
sheet,-0.323072242765982,-0.3841628137577316,-0.2566387825699355,-0.2750450026537252
hair,-0.2039100849457634,-0.10171283279937877,-0.08747374528242224,-0.15403834033162694
spongy,-0.6355998513397806,-0.7877866555929018,-0.770924012290662,-0.7069409139461963
golden,-0.13884768263236485,-0.03927306619222881,-0.04252700795231307,-0.1145651399678487
red colour,-0.1811241287642594,-0.11568168099001433,-0.24435163943862923,-0.24491753311305825
"round, smooth",-0.6230654854062239,-0.5733918268226523,-0.5431483787530498,-0.5286367963755019
cream colour,-0.311015481406011,-0.27340911875366736,-0.36813744092317524,-0.4227901360473797
bumpy,-0.3117928021605258,-0.35434304702335506,-0.393979959155743,-0.3639109584549998
hot,-0.9043959666716574,-1.0320441034894383,-0.9691254583076161,-0.9833334948325719
turquoise colour,-1.1976119937764922,-1.2669208866487445,-1.2601934826556367,-1.4300185264813794
