dimension,V1,V2,V4,IT
mineral,-0.6032928728960135,-0.06530763385654319,0.34810043661354395,0.6133031515839726
wood,-0.925835673727321,-0.039147893539972646,0.30747731433008846,0.5091483244795723
metallic,-0.7556931321126908,-0.17431036220343388,0.1315508476192869,0.34106168401960846
fabric,-2.039603268274888,-1.0709327752851163,-0.5201218184814571,-0.3834629904480199
white colour,0.19793830826890454,-0.09464278148290849,0.4337171757525288,0.6178107125966251
grainy,-1.3758742484812991,-0.7181182902258869,0.30659550490197907,0.44701805791577875
crystalline,-1.7084736012270625,-1.4353533276715749,-0.07885713879708048,0.3644483467575412
"straw, fibrous",-1.5432257829824771,-1.4423405753868501,-1.3306889425184814,0.007724157552467326
cloudy,-1.0835080436167417,-0.8035812840248177,-0.42034088136430564,0.24200984995120584
small,-0.7965142093835089,-0.6568319451615336,-0.0012923461202939523,0.45965793053186255
"beige colour, tan colour",-1.85667560976798,-0.7045486303538887,0.16056639570859732,0.4445615419137412
viscous,-2.6818193702649658,-1.8263905768563558,-0.7187192595693794,-0.6164311923466222
black colour,-0.7791358570639109,-0.5955299141947715,0.011887841104038021,0.0991876048369608
brick,-2.0750323380835782,-1.5508431713827324,-1.3709705897087396,-0.24112456180533828
swirly,-0.9722371703141569,-1.1014748296051435,-0.202832617580558,-0.13438995083480215
maroon colour,-3.4717292648271623,-1.4681677973617595,-0.45519859277074454,-0.17015366826633818
"lines, long, tubular, vertical",-1.5335769911229715,-0.8193123281838961,-0.008669046802395441,0.28755155032358026
mesh,-0.4498864702914777,-0.4009145384191163,-0.009254509133345934,0.18474736338376252
yellow colour,-0.27479104078225686,0.10204786583041399,0.14316110259720644,0.2224764523993643
multi-coloured,-1.2467827023698415,-0.6189431904416145,0.14746911921570627,0.11834229095577689
thin,-2.1857963410267516,-2.229060845373154,-0.7364588174576626,-0.5307325905057267
bulbous,-1.8977737243365316,-1.554679248319918,-1.0997877993290908,-0.35992812497579496
green colour,-0.43001479574821405,-0.8731189584143717,-0.016274706022021367,-0.509576140776073
blue colour,-0.3197891545312763,-0.17389602170388732,0.1452008803786739,0.14598332408654296
shell,-3.074890857721409,-1.7262012301569292,-1.577899215042594,-0.6376098955805354
"gemstone, smooth",-4.715404728991369,-2.7159422232362447,-1.5872087667654147,-0.43126775802135314
sheet,-1.0824969221423042,-1.2305877528695945,-1.056462793498626,-0.9099839273679237
hair,-1.746041085301656,-2.1995121794964883,-2.490206980757832,-0.7932431410568692
spongy,-4.746454799944074,-3.734263643710969,-2.8494696957594474,-2.108407402963964
golden,-2.968925161283485,-2.0262607887702453,-0.6751733908276213,-0.40945530650389966
red colour,-0.8357166878491041,-0.941010903333788,-0.434962770129047,-0.11420926027029114
"round, smooth",-5.1033941325604015,-3.9233218837753654,-2.293993524156398,-0.884232595291282
cream colour,-1.6952499759378146,-2.3509550404936577,-1.663491798312251,-1.2580424741860823
bumpy,-1.877843594911227,-1.564008424425457,-0.9940849030608006,-0.863167593247239
hot,-11.510766631599001,-6.6794379478079335,-3.019192935594355,-2.841898360298196
turquoise colour,-3.122495534784172,-5.1887067354954635,-3.099047335386321,-1.5989163552291443
