dimension,V1,V2,V4,IT
mineral,-3.2446304593196444,-1.6203064210533527,-0.5190066988035189,0.17129214492874983
wood,-6.409787986097757,-2.3096294566138815,-0.8357026971661534,-0.10056907353909228
metallic,-4.202351345767527,-2.7848200091397617,-1.158656446810547,-0.1205023532882413
fabric,-10.385924533837017,-4.670165158219616,-1.858826812395527,-1.52016730180106
white colour,-1.696474750929633,-1.1670061578948054,-0.432392780595252,0.102389813610499
grainy,-3.770498566709699,-4.736915352206229,-0.7410638263763659,-0.03981123554870114
crystalline,-9.83690596818894,-4.823903361859244,-1.068889812003607,-0.3588161612072273
"straw, fibrous",-6.566688062138738,-4.3400952719101875,-3.9006192785701996,-1.1145077435874695
cloudy,-4.990531473848151,-5.429692398898301,-2.6752829439522356,-0.5238871745776462
small,-3.266499082271629,-2.3139435713087404,-1.1009655752297498,-0.23539176170470402
"beige colour, tan colour",-3.7670083386726874,-1.6587795127223308,-1.044413279527992,-0.28319508564704166
viscous,-8.244119331672547,-6.236015913054376,-3.1483126363216365,-2.1952181073123227
black colour,-3.1834764559628486,-1.8691253918027404,-1.8014925310386207,-0.3470608415943017
brick,-7.407925393634459,-7.618214717516912,-3.2152181266139834,-1.4501490462551854
swirly,-4.8479268590173445,-5.0180067397174,-1.9344963072110795,-1.333436828190386
maroon colour,-9.214571231771185,-3.9079967065471024,-3.4699076412096788,-1.364509734618255
"lines, long, tubular, vertical",-4.688790758420305,-2.094057669147234,-1.418282173824645,-0.2927248271002244
mesh,-4.741739779642292,-2.647155289467784,-1.2853158437299457,-0.20065139130296053
yellow colour,-3.7755275658530847,-2.050111419061854,-0.6839469525844006,-0.21714719017823506
multi-coloured,-5.21141674011604,-3.2055257467083016,-1.3789955749747969,-0.5668495076781636
thin,-10.93464570721812,-7.099268288750464,-3.684362816327872,-2.103063732408683
bulbous,-10.081896028716011,-6.553648578596279,-4.433562497391224,-1.5137725803140465
green colour,-6.546845849655879,-4.6781664990857665,-1.5484790802837285,-1.5279960571944369
blue colour,-2.6674163179023074,-1.4395828112570062,-0.8819760155954277,-0.6767690474875493
shell,-11.019418059485975,-4.178725707445286,-5.614908757386796,-1.9998105982947387
"gemstone, smooth",-13.373864873621596,-9.998751103345118,-6.802624507725113,-3.1654711797813984
sheet,-7.210527520994781,-6.5685502664836815,-3.8307891544127877,-3.3674436713997524
hair,-11.186091629301316,-6.5326681573424565,-6.364690939733156,-3.6292136018447096
spongy,-28.970745007097452,-17.575595456796545,-9.501549110154881,-3.829352143036182
golden,-6.681236142832257,-8.378991392245231,-4.657530956924033,-2.2137729790480893
red colour,-5.318416449230212,-3.959338413917706,-3.8043766413560816,-2.1697428194811708
"round, smooth",-14.885917134190677,-13.223031750775911,-7.970266532297773,-4.852904584896377
cream colour,-9.782924094441231,-6.882407079488921,-5.6395204792094695,-3.642257665602527
bumpy,-8.825347960157618,-6.074655222472968,-5.40522275245087,-2.6447684615709925
hot,-39.78539186703641,-12.127571913613703,-5.1108853361073825,-3.60968168144032
turquoise colour,-14.405487965739036,-14.084150907959167,-10.553266577768571,-5.056884508816308
