dimension,V1,V2,V4,IT
mineral,0.29023360592129943,0.4817610328780681,0.6238427378185343,0.6225319648576899
wood,0.3912744299993073,0.5389379617634088,0.6313592931361632,0.683953713953591
metallic,0.27136756924226557,0.37552439635788054,0.4107909623905549,0.41014734791069307
fabric,-0.13139300929214942,-0.02117338670925458,0.1767937089281036,0.23490641709147803
white colour,0.650889576364261,0.7170566402651419,0.7510519066750778,0.7176125498027675
grainy,0.25893048042242445,0.48263456791021414,0.6097614961753789,0.650406728090896
crystalline,-0.006037614903927157,0.18435893233005252,0.3775966580074598,0.41635805544341037
"straw, fibrous",0.026746957633249458,0.19225072801439663,0.22315243164289225,0.3876772155893403
cloudy,0.021801048568718506,0.10475427601265061,0.21004164962475919,0.27069710099039546
small,0.1316252015867596,0.21345381661500076,0.35499950569399336,0.38897273252313097
"beige colour, tan colour",0.42519531733622795,0.48982676097412403,0.46596609585589677,0.47274581783044634
viscous,-0.10591152943771039,-0.0512464436716332,0.008365880359313094,0.025689118560070823
black colour,0.31464409617642924,0.42618867613951383,0.43793235313738466,0.3567749383188935
brick,-0.10056721402534641,-0.0713804393119452,-0.01937568132742068,0.03124272135488082
swirly,-0.0915643972078144,0.07573685483555272,0.19369442074645513,0.2719478830096548
maroon colour,0.1853203664814133,0.20454440077494046,0.2382970838848731,0.23055431225608639
"lines, long, tubular, vertical",-0.028190344990329373,0.050289843401077186,0.19978157558217532,0.3389955616106782
mesh,-0.07824043832051143,0.04186177546121058,0.2935161551966584,0.3604143653038425
yellow colour,0.4412121488266962,0.45766733778609775,0.3909558482829543,0.30387937047671265
multi-coloured,0.0396749818173977,0.016076011018933512,0.007664089698254528,0.06197656264778974
thin,-0.1853090988819555,-0.13483922405112062,-0.10698639646892472,-0.10429490027105918
bulbous,-0.20143629948758068,-0.1312298296880726,0.0070627997677690235,0.06905321778312226
green colour,0.27815063953093766,0.31814488506839333,0.3562654334694149,0.3005966833859854
blue colour,0.39016220207651353,0.4164419908669273,0.3909818498225552,0.2811879149840989
shell,-0.28221065548781976,-0.2685831913682691,-0.35450063796049436,-0.23684658345685997
"gemstone, smooth",-0.40023512983592385,-0.33699945888580657,-0.2913476837788212,-0.3088758634906642
sheet,-0.29635750191923105,-0.2849648726812369,-0.12032444234819117,-0.17518838219188188
hair,-0.1391683938088734,-0.0642762255906125,-0.06134487627444526,-0.07812236619667307
spongy,-0.5047209076392736,-0.7224121259875218,-0.7118888803939007,-0.6076730355022657
golden,-0.10091868873193902,0.018777013296960365,0.033109435102171444,-0.03129244762094072
red colour,-0.09083633865421352,-0.042120272386934235,-0.15489140437338764,-0.0633883686588148
"round, smooth",-0.5462570015615321,-0.4857066363814112,-0.37811734505309097,-0.3412932788309484
cream colour,-0.2787221945245178,-0.2305291812966385,-0.2712878606381445,-0.36428106117671677
bumpy,-0.2530902858292963,-0.2974734280432182,-0.3438564068152734,-0.28853702857385655
hot,-0.7891508109312292,-0.9840964554655965,-0.9198775178095712,-0.9311463274898882
turquoise colour,-0.9231445374808693,-0.9430930499255868,-0.8717533044931269,-1.0441010243933186
