dimension,V1,V2,V4,IT
mineral,-1.353791767369695,-1.4243636634855115,-1.173605239283836,-0.9819205101636219
wood,-1.0678659432523245,-0.9592340786446052,-0.9699044819216747,-1.0884960072355079
metallic,-1.0842609634941507,-1.2058463796989742,-0.9423385928161458,-0.5088234878008522
fabric,-0.7563936319470128,-0.8064368242695465,-0.7234378254035296,-0.6288321134848167
white colour,-0.6807072501493727,-0.6011503526701492,-0.7747360290933007,-0.5123420907009089
grainy,-0.7775922684308278,-0.792941671767075,-0.5357688560849694,-0.5364789181887955
crystalline,-0.8803798236951605,-0.7815926708188121,-0.7107362663567407,-0.4992006327554195
"straw, fibrous",-0.4067975890053408,-0.5771960168483083,-0.4084108851415036,-0.3988557751176409
cloudy,-0.6695940647400824,-0.750371019771966,-0.6421606352649409,-0.700668528403618
small,-0.510370313281574,-0.44346516837049266,-0.3390499696093503,-0.20837076755894768
"beige colour, tan colour",-0.4008948360193014,-0.2239636017194213,-0.39671336988299477,-0.7289957028953495
viscous,-0.5844767152298231,-0.5639129651152666,-0.5921402266275426,-0.5902649795904065
black colour,-0.3407005749207732,-0.5337060199644095,-0.3400909679235651,-0.3424985908527536
brick,-0.527972226342915,-0.508736855712171,-0.5270772128304124,-0.4075391862521256
swirly,-0.6371966292941214,-0.5946863150678912,-0.5945131949994518,-0.576732663144448
maroon colour,-0.1501198401278483,-0.23198469567035462,-0.022158910746435945,-0.5040854439123423
"lines, long, tubular, vertical",-0.49986855879283265,-0.49838340310893714,-0.3208634494150866,-0.01896335174859809
mesh,-0.3776521979050309,-0.46926258303890944,-0.31661730883083106,-0.12244474415112783
yellow colour,0.04768245611209987,0.04248712810441413,-0.09855827826509134,-0.30176896687391164
multi-coloured,-0.1446088368589129,-0.3963852965062309,-0.6916561067434612,-0.25539489879079036
thin,-0.5443934252847265,-0.4705356384992123,-0.42942752418186214,-0.3420315767145763
bulbous,-0.44050399987414357,-0.48829937242364196,-0.43337334379856807,-0.31414436513405564
green colour,0.11112052453411603,-0.11814085366399407,-0.019103235231211713,-0.010571810242303359
blue colour,-0.20296714795523796,-0.38097585785792565,-0.3639084934071093,-0.19624141677699591
shell,-0.41509063525439394,-0.3724059060268672,-0.3798256791491632,-0.37424390436196386
"gemstone, smooth",-0.37676632782132247,-0.37426426749489594,-0.3591111363537678,-0.2903313274183146
sheet,-0.32677682317147316,-0.2903590233425106,-0.30757658429008483,-0.3031989657783316
hair,-0.327605875865574,-0.3095787171512199,-0.294384386471086,-0.3689808411524258
spongy,-0.3369203262332645,-0.342740127061975,-0.33037369601147937,-0.32855586428746886
golden,-0.36625946744427007,-0.2817591132877304,-0.28386743067447706,-0.3312566315422394
red colour,0.08862365874268419,-0.030948749891923866,-0.20988001413634483,-0.1688652305664251
"round, smooth",-0.29019606234835105,-0.3157632452053274,-0.29998282420326094,-0.26972921602713607
cream colour,-0.22772255970731758,-0.24472056644493723,-0.32629738575789635,-0.2773663889594127
bumpy,-0.3030779976473994,-0.38308798445410486,-0.39295960204714464,-0.3322308358992636
hot,-0.16184832462242915,-0.14357697059121488,-0.1669635089096959,-0.24908738826143795
turquoise colour,-0.06047018844833829,-0.2339272508216399,-0.15007844246393054,-0.10511179886878042
