dimension,V1,V2,V4,IT
made of metal / artificial / hard,-0.952725529653097,-0.6982295308146069,-0.45777260307664225,-0.2078657028342361
food-related / eating-related / kitchen-related,-1.0809570400393103,-0.33610315995194306,-0.13146061833133516,0.10089722515038768
animal-related / organic,-1.042450466383336,-1.0073365147506674,-0.4037957666153489,0.06756959651171379
clothing-related / fabric / covering,-1.2855678213489865,-1.0200604872247485,-0.8511043228139068,-0.5675308222094981
furniture-related / household-related / artifact,-1.0664759582722554,-0.7900944439157058,-0.6296892132021956,-0.2297348281651992
plant-related / green,-0.33497157187604976,-0.23594408925936805,-0.2682296317925501,-0.056418917412383474
outdoors-related,-1.186222581724762,-0.9576998498980034,-0.8442878842558248,-0.29242274421200243
transportation / motorized / dynamic,-1.1102554315141497,-0.6944521574613598,-0.7218591402295416,-0.13095420907971222
wood-related / brownish,-1.1910662634933291,-1.0614042263595787,-1.263076035646733,-0.49427049927850497
body part-related,-1.1337042852544554,-1.0247245676937302,-0.7933497801688318,-0.3453788440356109
colorful,-0.7352192687999553,-0.4947916407034558,-0.1409011132184559,-0.10602194490850958
valuable / special occasion-related,-1.1001750025115022,-1.0669932349536388,-1.0188338632491503,-0.6874135684036047
electronic / technology,-1.0842976061522687,-0.9124110599208248,-0.7475254582675381,-0.3389835646364363
sport-related / recreational activity-related,-1.7159211985733127,-1.7528057886541557,-1.527871614748146,-0.9390433452300377
disc-shaped / round,-1.472317310496062,-1.33487676232482,-1.0897777493833423,-0.4396015661158108
tool-related,-1.2650707783981234,-1.2513782139717105,-1.3596459410622832,-0.6162865722181592
many small things / course pattern,-0.9793716107241115,-1.1744215156912503,-0.8484278370502676,-0.2551845245878688
paper-related / thin / flat / text-related,-1.0939264028035844,-1.2098295470072755,-1.1173823048463984,-0.7626125263847625
fluid-related / drink-related,-1.7319192095212261,-1.8602503594102968,-1.242781127560879,-0.6164535421646993
long / thin,-1.2934006940139589,-1.0253481142982528,-1.1887915469019523,-0.5862796404130839
water-related / blue,-1.3218635458972208,-1.3390805553112504,-1.4709976169358567,-0.8108188517467532
powdery / fine-scale pattern,-1.0983360272817446,-1.187917854025832,-0.8938271706481413,-0.6772491147766608
red,-0.1667367153799395,-0.2760838348534189,-0.17915321706615583,0.0024132631853808206
feminine (stereotypically) / decorative,-1.4482487351789355,-1.4612425487943317,-1.2603123993399152,-1.1845554944660956
bathroom-related / sanitary,-1.2320796079463179,-1.2831874162069306,-1.3312468526803651,-0.9216636684041473
black / noble,-1.293212578058649,-1.5137292818424637,-1.5030132141175794,-0.896017563144119
weapon / danger-related / violence,-1.1620065562182007,-1.312172014026221,-1.7134235616589204,-1.1624473170860838
musical instrument-related / noise-related,-1.516082743254286,-1.2974751533793114,-1.4604262477183854,-1.0859532413593183
sky-related / flying-related / floating-related,-1.0830047188533034,-1.0906619973265785,-1.026126285400487,-0.642335522435938
spherical / ellipsoid / rounded / voluminous,-1.5819388080736863,-1.7761721859898674,-1.662548498437916,-0.8245075679613181
repetitive,-1.0532166553629327,-1.41726208593676,-1.3091735345004714,-0.9002960404939355
flat / patterned,-1.185951212917908,-1.1976857831801713,-1.3742286192815412,-0.9965003967526289
white,-0.8961577008033954,-1.24749275435892,-1.0624969943698566,-0.9252773721065621
thin / flat,-1.1862850702920702,-1.2497142983994172,-1.330950067380638,-1.2045299838990573
disgusting / bugs,-1.3297502273283301,-1.558996807100928,-1.595392422331297,-1.3085553502772966
string-related,-1.5784749786722885,-1.8112717819934239,-1.7508527214890512,-1.0846662813035488
arms/legs/skin-related,-1.214528928914,-1.2826842090901875,-1.3691640673007832,-0.9463213474256844
shiny / transparent,-1.6288007160902573,-1.4112339450557916,-1.4965858959343108,-1.3182693859579522
construction-related / physical work-related,-1.6842003225041142,-1.6001598639374532,-1.8147436124572796,-1.6229210015741762
fire-related / heat-related,-1.6134149786286627,-1.7633074928216614,-1.7995576714880754,-1.417554131071935
head-related / face-related,-1.2062101107930094,-1.3636204235588902,-1.7360583948547652,-1.0997339744335726
beams-related,-1.6027303054895725,-1.4691046121522597,-1.3381817834723422,-0.9676247059331766
seating-related / put things on top,-1.4421678611541826,-1.5316624085776671,-1.6402982718978523,-1.0084184465344759
container-related / hollow,-1.2101171319031825,-1.2826916602787706,-1.532471070729284,-1.2402559802095143
child-related / toy-related,-1.5847872473411826,-1.4804825924913705,-1.5012996900726892,-1.3422797204347168
medicine-related,-1.3895373672545688,-1.7275084307139466,-1.9786354574374525,-1.460817477085595
has grating,-0.8317540607151979,-1.1932448890654128,-1.3682025831721703,-0.8825670183427501
handicraft-related,-1.7502435447611009,-1.9872113211613565,-1.7718731275397657,-1.473567571925079
cylindrical / conical,-1.3430626348225472,-1.6982651443907404,-1.6152106962718822,-1.5549424194628485
