dimension,V1,V2,V4,IT
made of metal / artificial / hard,-4.501573490840647,-4.8664262715139355,-4.648235690181639,-5.634499342419699
food-related / eating-related / kitchen-related,-1.8194153293980708,-2.3886333029979525,-2.7438642861881957,-1.4646238505735139
animal-related / organic,-1.7889692369052441,-1.492319893509992,-1.7045502862046051,-1.352542375497189
clothing-related / fabric / covering,-1.6231188610480727,-1.9674089227443092,-1.824601856239462,-2.070153377583125
furniture-related / household-related / artifact,-1.9817260216864545,-2.203357501722355,-2.194674705261037,-2.329300303638958
plant-related / green,-1.6572370368957587,-1.2633112733552037,-1.5610147012038986,-1.6700371959331344
outdoors-related,-2.1550430377486745,-1.9671177865819298,-1.9191270914284861,-2.0757788747787598
transportation / motorized / dynamic,-1.7016158765605947,-1.9303993847989727,-1.5821084349225423,-1.6802805383744275
wood-related / brownish,-1.919203205743016,-2.1287210447674627,-2.3123906706853092,-1.9129572157876833
body part-related,-1.3564459785326877,-1.558898543446495,-1.7228088045108616,-1.7688426480237789
colorful,-1.8159875179412381,-1.6750225353157977,-2.0777592197867114,-2.2782111244449736
valuable / special occasion-related,-1.8590224532044193,-2.3034178378739303,-2.2068696638189453,-2.200784315954436
electronic / technology,-1.5965994508956136,-2.094685754477612,-1.9306027477245515,-1.9733734570657409
sport-related / recreational activity-related,-2.044755704674342,-1.9758300916454616,-1.9674489918527986,-2.183165359452209
disc-shaped / round,-1.65867312113574,-1.9109308267684035,-1.8470824593350006,-2.1016711633833114
tool-related,-1.476993496321343,-1.591563284827659,-1.7620319573455436,-1.7413979087889317
many small things / course pattern,-1.64203110321882,-1.8592471076384625,-2.01634595178672,-1.6010341259651724
paper-related / thin / flat / text-related,-1.64923287726719,-1.8390397699939318,-1.9306507556513495,-1.8666800013539175
fluid-related / drink-related,-1.487592299573612,-1.59901409117531,-1.8342496174402991,-1.8302320795435971
long / thin,-1.5175994605052656,-1.5599837533263652,-1.6805285076982028,-1.7869104971453864
water-related / blue,-1.4245890646906898,-1.3196957854529257,-1.5159577988426256,-1.5230705356545462
powdery / fine-scale pattern,-1.3969194553442028,-1.5786789053512433,-1.6063681333863973,-1.4186100798796795
red,-1.1277652008806833,-1.5166457181912856,-1.3949974450617995,-1.551396448778661
feminine (stereotypically) / decorative,-1.56101201118588,-1.8412498036449296,-1.880399549060169,-1.8636457934911426
bathroom-related / sanitary,-1.205683381983596,-1.4276179583660138,-1.7050214646952102,-1.6642494095965397
black / noble,-1.4996204856550763,-1.661925812693982,-1.692385155335578,-1.6905807316192938
weapon / danger-related / violence,-1.4299610653936732,-1.5486337883278942,-1.542749318872307,-1.6728494775212672
musical instrument-related / noise-related,-1.218845724637986,-1.5210223032100934,-1.5334101643612619,-1.6774788816438897
sky-related / flying-related / floating-related,-1.2544250884488477,-1.222254058407413,-1.2773615542713395,-1.4183877579692652
spherical / ellipsoid / rounded / voluminous,-1.2661458851363148,-1.288786634893453,-1.5341716116855761,-1.2569643013502532
repetitive,-1.2978057470372018,-1.5728857830551326,-1.5279299652982803,-1.4913220755328411
flat / patterned,-1.277193945959565,-1.3302738740668563,-1.3159780899015856,-1.2597243413162054
white,-1.24606959639372,-1.2359595469310762,-1.40535124604119,-1.6504195292452688
thin / flat,-1.142096945312999,-1.2652078098503323,-1.468319663845843,-1.4786706322534857
disgusting / bugs,-1.1128399856807718,-1.0965423703101593,-1.2607389734029875,-1.4043242251323846
string-related,-1.2579149593344416,-1.477316385857352,-1.4836099028961662,-1.4536836252105552
arms/legs/skin-related,-0.9830757723226644,-1.2467183119643228,-1.3874074710000315,-1.204025567046631
shiny / transparent,-1.26543262330454,-1.2761179107850964,-1.3509912243784075,-1.4292260322337889
construction-related / physical work-related,-1.4994365512713745,-1.4747804176109267,-1.6744877018088236,-1.566699020322051
fire-related / heat-related,-1.1481760024881815,-1.3844438137939417,-1.3971094309127534,-1.3702270565681203
head-related / face-related,-1.0432854866304213,-1.1284093383745373,-1.3244133754157805,-1.4504166383505748
beams-related,-1.2804054985613256,-1.5099625997906454,-1.321053517567457,-1.2474599654187926
seating-related / put things on top,-1.297290066988762,-1.466685411654785,-1.4756808419441971,-1.5107541465696799
container-related / hollow,-1.2624359913410936,-1.4114334854547002,-1.5594994613685031,-1.4587264776305124
child-related / toy-related,-1.0889570129813424,-1.3716616732991946,-1.223923399920956,-1.3905757771227902
medicine-related,-1.0308607905665426,-1.254092411320269,-1.2798223192416214,-1.2250330726161285
has grating,-1.2102510058556435,-1.2724497016339074,-1.268614456567395,-1.148846656043494
handicraft-related,-1.3545220486888248,-1.364251607102942,-1.4090625527236185,-1.3670475541427964
cylindrical / conical,-1.08488144047887,-1.3531614470020932,-1.3816061826969088,-1.3797792921871443
