dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.21699817638031474,0.3269618848679874,0.40223450642908753,0.4721420503759523
food-related / eating-related / kitchen-related,0.3317857444825233,0.425143020611606,0.4933526120462803,0.5602968942640686
animal-related / organic,0.23180883245875816,0.3595442997927831,0.4700613610852691,0.5377834178970078
clothing-related / fabric / covering,0.07257525651796161,0.12557381357380576,0.2049653404049269,0.2730664430553154
furniture-related / household-related / artifact,0.18689920252547168,0.30651611345418556,0.3818986183902783,0.43461956008665076
plant-related / green,0.3474340166341071,0.42269515456119233,0.47529343121708323,0.525791765879114
outdoors-related,0.16766482516123277,0.2114777040562637,0.28647438283751064,0.39342244911908913
transportation / motorized / dynamic,0.14073813039413435,0.20186883989137314,0.2591192599043811,0.34092462177680893
wood-related / brownish,0.11872153026912868,0.18135537302468788,0.2258042562773645,0.30838647657873164
body part-related,0.08618751322046612,0.13661970297448395,0.23320704836551523,0.3793765581250758
colorful,0.19192643975369542,0.27916236753837576,0.3239831489028795,0.4033897311920157
valuable / special occasion-related,0.05501305398121692,0.07110933772989012,0.11659296368358762,0.1748187372627224
electronic / technology,0.10293824815404462,0.15941382732223902,0.2184599292241732,0.2978451119642752
sport-related / recreational activity-related,-0.060947094007759536,-0.020701949342249913,0.016664471171834273,0.038389124940277554
disc-shaped / round,-0.0069703007311647915,0.07400853119339963,0.1324182811532686,0.2773733063020932
tool-related,0.044566854388939245,0.11546158643457878,0.16914835540400802,0.23201036819883733
many small things / course pattern,0.08888598550251417,0.11461383124811957,0.18118512341779786,0.2760571138131713
paper-related / thin / flat / text-related,0.0134973964623181,0.0380155482119924,0.09621711587920048,0.2019479125013864
fluid-related / drink-related,0.004854141372221931,0.04620869087514393,0.11251176963755985,0.22524457646506651
long / thin,0.057123708507797896,0.12830532526954336,0.20610953689212302,0.29256773309109974
water-related / blue,0.012768799250774444,0.04150062106090091,0.0687392108127057,0.08625364889138978
powdery / fine-scale pattern,0.058930099690492024,0.12423716445242601,0.1672994811160045,0.19528424939649228
red,0.38383284313477245,0.42548584739639617,0.4160866718396249,0.43475538572096345
feminine (stereotypically) / decorative,-0.04769329797130993,-0.020210570414236607,0.01138831534515311,0.04728952998196262
bathroom-related / sanitary,0.008020760990049725,0.018807874545395897,0.023622680771458893,0.055300125472828886
black / noble,0.038941794793064276,0.07084037566739597,0.08271978989815772,0.12063160330463982
weapon / danger-related / violence,-0.07756695005115793,-0.07375833154477843,-0.041378291834191394,-0.0017958256162329046
musical instrument-related / noise-related,-0.04410060706943484,-0.02189318617317241,-0.01623681809291381,-0.006420229920721954
sky-related / flying-related / floating-related,0.11105651543377618,0.12856381018800264,0.16794629378486975,0.21118658029480913
spherical / ellipsoid / rounded / voluminous,-0.04387121613030572,-0.010602106993492488,0.04106654313242668,0.10761633493968341
repetitive,-0.01805181378634486,0.025911039165361582,0.08086281446870805,0.15157050050409465
flat / patterned,-0.037019975886606674,-0.012140775244863011,0.044228246766090086,0.0824837902137816
white,0.03542363961214123,0.06055088663881758,0.09798495922578507,0.13882554387278806
thin / flat,-0.01969206167540626,0.015007932132496505,0.05173920330339201,0.10772673220205527
disgusting / bugs,-0.07409080761807856,-0.03335031184887166,-0.01824045839905646,0.013667201414133912
string-related,-0.15100346466916392,-0.13602375117803422,-0.1141911471074172,-0.07121006324922799
arms/legs/skin-related,-0.1521565687704643,-0.121813490483074,-0.0723449794448843,-0.0007935740827043514
shiny / transparent,-0.12574397856762262,-0.10017692353907275,-0.0935752106624338,-0.06715880655380865
construction-related / physical work-related,-0.15341879206952277,-0.13691263517760585,-0.12251963151747365,-0.09606707201198497
fire-related / heat-related,-0.1258834321683477,-0.11313948158756366,-0.10829525603560772,-0.11169126616701117
head-related / face-related,-0.09989555444814197,-0.09264040631631777,-0.07127268621431397,-0.05539070419604368
beams-related,-0.1260310979044063,-0.07585645202734725,-0.014438716580499122,0.09922472057365118
seating-related / put things on top,-0.2822118810123377,-0.24201310549566815,-0.2061292954869544,-0.16175089590506916
container-related / hollow,-0.2689930608118261,-0.21795651018946954,-0.20764335322980615,-0.18888967906890194
child-related / toy-related,-0.23387443175191472,-0.2358630711768855,-0.23140561431393175,-0.21712966001809714
medicine-related,-0.28121623115138317,-0.2886790696356566,-0.29505084976055923,-0.2876127764127213
has grating,-0.24150343315212747,-0.16769333111794035,-0.14777223269088352,-0.07306201372753188
handicraft-related,-0.22485693511357585,-0.21656604715713995,-0.21548889726193599,-0.18956443818775479
cylindrical / conical,-0.3550415006794291,-0.3529410499390607,-0.34491331027747607,-0.34546321668251817
