dimension,V1,V2,V4,IT
made of metal / artificial / hard,-1.4080312437703957,-1.3792407879311948,-1.2205577982701037,-1.4080545572401877
food-related / eating-related / kitchen-related,-0.3681679908701365,-0.4283813397211802,-0.41992346770046174,-0.06946972427546516
animal-related / organic,-0.3545200208551029,-0.20473262488147315,-0.15768195049591838,0.04952240967500876
clothing-related / fabric / covering,-0.3897258021550034,-0.4048468794626292,-0.3389438706779553,-0.32525932216932607
furniture-related / household-related / artifact,-0.5118642896648058,-0.47350381363664495,-0.4101958037572899,-0.4192693576655395
plant-related / green,-0.22498169322180206,-0.010830083804827417,-0.08883445035667825,-0.1826574571894557
outdoors-related,-0.46853986282710336,-0.34514986843568907,-0.2858324931183098,-0.37539023286579476
transportation / motorized / dynamic,-0.2936437799695011,-0.26265626792794317,-0.10477178513655305,-0.11749326218193024
wood-related / brownish,-0.43702715148114657,-0.4522127773950737,-0.4254202614022724,-0.3366399077782123
body part-related,-0.3163918170490214,-0.326619694292019,-0.29807874513239985,-0.19718188044488438
colorful,-0.2847104182591804,-0.20095767084590754,-0.2229892292765996,-0.26680199187287057
valuable / special occasion-related,-0.4438925956635935,-0.47908221738955126,-0.4080816334262469,-0.3718660708745527
electronic / technology,-0.3216951964205439,-0.3504580753386477,-0.23054377833841433,-0.26300715673601704
sport-related / recreational activity-related,-0.4454665308677903,-0.3911270815819534,-0.3740800775606985,-0.4102120021127931
disc-shaped / round,-0.4420312835772966,-0.39021906825176167,-0.32500556139302317,-0.29830238653627905
tool-related,-0.36520793275096164,-0.30993908873125453,-0.31307589233573374,-0.31768518949571134
many small things / course pattern,-0.3111859456398678,-0.3014420814562573,-0.2902500691531451,-0.17544173002884333
paper-related / thin / flat / text-related,-0.37583147732777755,-0.34357639629186587,-0.2850572334896868,-0.28899653446082785
fluid-related / drink-related,-0.3318161682707561,-0.33049899265992577,-0.2989504493981503,-0.2766561147964133
long / thin,-0.3561565428976665,-0.32775686990526154,-0.287358941666944,-0.3188350680042913
water-related / blue,-0.264442593693462,-0.2277309009430999,-0.21223911428216824,-0.25266462309577453
powdery / fine-scale pattern,-0.28154015940816834,-0.26838297506244624,-0.23361064766195572,-0.19374975489981816
red,0.024599499828693472,-0.06904015805338659,0.036672513466114554,-0.0824446259820022
feminine (stereotypically) / decorative,-0.3293481147104078,-0.3380044511332203,-0.32806609035861367,-0.32452863053676384
bathroom-related / sanitary,-0.29941963770165203,-0.32339275174044047,-0.330124657354528,-0.3201796226871465
black / noble,-0.31924626385650345,-0.3124231577725969,-0.3033493339937241,-0.2611366374733852
weapon / danger-related / violence,-0.2949096353110596,-0.2916137134720189,-0.24745035955236472,-0.2609252527371231
musical instrument-related / noise-related,-0.21646183414903697,-0.2366112768945381,-0.2274935207263642,-0.24190503296448163
sky-related / flying-related / floating-related,-0.20032596761088373,-0.12007407784752955,-0.11215354342157502,-0.18234884705874
spherical / ellipsoid / rounded / voluminous,-0.2584558354186175,-0.23557009370847704,-0.23390524337788476,-0.09908232767757696
repetitive,-0.24879940396244127,-0.23260382637305654,-0.20051565398057836,-0.19420623899833545
flat / patterned,-0.2644701009959187,-0.26850701934883814,-0.19623367393561142,-0.2064243613980239
white,-0.22701285830917928,-0.23231895860669072,-0.23921880826026687,-0.1888574055952732
thin / flat,-0.22188592450885314,-0.24209217274044437,-0.2425056469741469,-0.23041798949392267
disgusting / bugs,-0.20867958481365756,-0.18161632489741475,-0.17641858981416592,-0.17578530324018926
string-related,-0.2562582269994975,-0.23946518705854558,-0.24116520821494536,-0.22078550145102716
arms/legs/skin-related,-0.22394459312097226,-0.2251049086033161,-0.20667022944294366,-0.1705844153033147
shiny / transparent,-0.2668483729844491,-0.2510803979858647,-0.22925375833454242,-0.2457804915843862
construction-related / physical work-related,-0.29800548880076416,-0.25888528217026807,-0.2599367716530494,-0.24031551602637924
fire-related / heat-related,-0.20983061851565155,-0.21132671468507325,-0.20169663588044795,-0.2016749136980065
head-related / face-related,-0.220204368852446,-0.20758653446752606,-0.1910746392291458,-0.17594856451812846
beams-related,-0.1997392269292373,-0.2047833942734143,-0.13399487815428146,-0.16468730015556066
seating-related / put things on top,-0.2231093807255966,-0.21738725945364856,-0.18089768126450734,-0.18283304089158148
container-related / hollow,-0.26238924208914405,-0.22694486787981738,-0.2131886356720898,-0.18554862847027098
child-related / toy-related,-0.2032562113693117,-0.20072696752553565,-0.1976145748658671,-0.15172674735079528
medicine-related,-0.19130459817282763,-0.19862610987081086,-0.1926431818944525,-0.17732541955197845
has grating,-0.20844206954628164,-0.11983753440415956,-0.0871529976697023,-0.10241988245822453
handicraft-related,-0.2387665286982188,-0.21735774263874208,-0.22471425989773763,-0.21292930285628597
cylindrical / conical,-0.21390842477810446,-0.19998718301337814,-0.19552187802087806,-0.18396383405015615
