dimension,V1,V2,V4,IT
made of metal / artificial / hard,0.21430030199607097,0.3445668516472683,0.42965181375848294,0.5193930790024673
food-related / eating-related / kitchen-related,0.36249824962112526,0.4613787350835037,0.5265733440952589,0.5938193259660907
animal-related / organic,0.24365329303477984,0.37356284607708407,0.5217708007938249,0.5627404209779472
clothing-related / fabric / covering,0.04314688273393721,0.1475834754913936,0.2423115165313016,0.33507692660383925
furniture-related / household-related / artifact,0.22839059613495155,0.3228761950500222,0.4102241120831172,0.4613968398918698
plant-related / green,0.3975230827497431,0.4547922718364763,0.5107295161487028,0.5591244764136722
outdoors-related,0.186252760139885,0.2195074798862171,0.32103561644469863,0.4253935114436671
transportation / motorized / dynamic,0.16545482495760216,0.2840620984471639,0.37082286856521574,0.42931519833735354
wood-related / brownish,0.13719780706277046,0.19521272197651782,0.27411612203620966,0.3687131422788217
body part-related,0.07713978289058347,0.1571503414389548,0.2667864317467322,0.4449064284082397
colorful,0.22113130316416366,0.3012036320432038,0.3557636529340299,0.4486516859513001
valuable / special occasion-related,0.06670395913602598,0.06992840478476069,0.12920509086885526,0.20793356057519516
electronic / technology,0.10098836880531133,0.18261903636118645,0.25460049446504707,0.3203727646890513
sport-related / recreational activity-related,-0.03929277535533714,-0.005541834674512913,0.02347653792147273,0.04422222989942176
disc-shaped / round,-2.4394433541818918e-05,0.09256952754012998,0.1767490694517751,0.30444393282832133
tool-related,0.05439902330090289,0.1259110518212637,0.19711516902708998,0.2734203309555202
many small things / course pattern,0.10205828524313669,0.1723296898735765,0.2507768393418047,0.3300422260823598
paper-related / thin / flat / text-related,0.016779131305804516,0.050989793424021455,0.12414241922914941,0.23929143928599
fluid-related / drink-related,-0.0067824533447989775,0.037958029314961964,0.13836095821150204,0.2886805896968271
long / thin,0.0807888423941573,0.15480314464208986,0.2275723485695637,0.27862273324417597
water-related / blue,0.021161139441564038,0.0519463991815135,0.08996288534835731,0.12259272397543045
powdery / fine-scale pattern,0.09883276853538012,0.15825894647369296,0.1975143827562496,0.21138167825709303
red,0.4328143598976001,0.4634255899246981,0.49907311587296893,0.526779141862234
feminine (stereotypically) / decorative,-0.02937584788465214,-0.00747872190710025,0.015897692434179857,0.07561884367251992
bathroom-related / sanitary,0.025197195860456136,0.030237564564473175,0.035629114487606604,0.08347392658032506
black / noble,0.07680798097782118,0.10457191207871383,0.11200014584490867,0.1398764317492296
weapon / danger-related / violence,-0.052845449086384735,-0.06119380790168453,-0.014122763854007892,0.02668165645174233
musical instrument-related / noise-related,-0.007611674190247708,-0.0022016930728476214,-0.0035987111191428944,0.013710780346884433
sky-related / flying-related / floating-related,0.13397531199456553,0.13572616663757936,0.20113919103111036,0.2513542617711317
spherical / ellipsoid / rounded / voluminous,-0.02078947747940755,0.01841115679502505,0.09219654422473571,0.16647240376944508
repetitive,-0.00014415135270449131,0.04547147626799164,0.1028198733752057,0.18154458101778587
flat / patterned,0.01367168973979902,0.004143844519114137,0.050058916161574464,0.07744033977246922
white,0.0502121674146363,0.08602587903872429,0.14214175186468045,0.1914669501571486
thin / flat,0.005852995371353242,0.04157608078533379,0.08216959641899316,0.1350341727852618
disgusting / bugs,-0.05538301998712133,-0.012137958056750364,0.005233203626308647,0.05875876127282263
string-related,-0.11867294351090622,-0.10518592988745976,-0.07905135065302454,-0.02417207648794798
arms/legs/skin-related,-0.13051562035921277,-0.09501990829352033,-0.039747539171205805,0.04486199144049959
shiny / transparent,-0.1034992418793872,-0.08400537251587133,-0.060198508338533,-0.03616525359244245
construction-related / physical work-related,-0.13437225885284113,-0.11642665388762412,-0.11617004637711015,-0.07525077126623561
fire-related / heat-related,-0.1250678851448262,-0.0890406188904273,-0.08467444782213052,-0.07806174181602017
head-related / face-related,-0.07147265357251328,-0.04912317709819479,-0.04603561493794841,-0.006726729610477189
beams-related,-0.07954190340198375,-0.023495015945143582,0.05479734101781538,0.1412306219980958
seating-related / put things on top,-0.24476850231485686,-0.1871971463240086,-0.1695136549192901,-0.12273851572004638
container-related / hollow,-0.19006336963594614,-0.14677217870762133,-0.1434762732009512,-0.12082783481849295
child-related / toy-related,-0.18319778397981182,-0.16570161696921973,-0.16678145707301786,-0.13611145564296048
medicine-related,-0.22898337263299046,-0.2596317038484005,-0.25673607691398964,-0.2256104200173552
has grating,-0.18051927587790573,-0.11664012732020015,-0.09031477863107716,-0.06629611219778903
handicraft-related,-0.17636242045469414,-0.16647067336645646,-0.1678937478182396,-0.14315025759661842
cylindrical / conical,-0.267375494856324,-0.28994249245500275,-0.2599633407671029,-0.2767798329964415
