dimension,V1,V2,V4,IT
metallic/artificial,0.022091556703931137,0.21934278018034795,0.3376823671055102,0.45081522605112256
food-related,0.07244936642752302,0.3094226353290228,0.46971340937574907,0.5751821953188168
animal-related,0.036741761677881256,0.13648265193729098,0.3473269795519953,0.5780951701296134
textile,-0.029812982007060663,-0.0080001420310859,0.11815217099567424,0.20895435544122254
plant-related,0.16789879857963513,0.28521373897006014,0.35797203344031214,0.41441683760372633
house-related/furnishing-related,-0.029906256843583466,0.08754050913234772,0.3081938903530326,0.38525625253509854
valuable/precious,-0.06230362584600063,-0.021327925164772932,0.08486285628991855,0.22056023396187743
transportation-/movement-related,-0.13719001096076394,0.041048492146359604,0.23817755642944208,0.4159495681300351
body-/people-related,-0.12312758672100661,-0.004624478859727987,0.16021344389258957,0.3457059124203616
wood-related/brown,-0.05155998205012328,0.0383378615595014,0.1543659095170415,0.24228358870790107
electronics/technology,-0.09650488220523548,0.03679740156113659,0.1693462281789587,0.3336714955092563
colorful/playful,0.19806714566915612,0.28869291005026887,0.4440165808902271,0.49670362932446166
outdoors,0.07872599495904167,0.19286815419869002,0.33180227057301115,0.40993307636910103
circular/round,-0.16663707012329657,-0.04077057547012205,0.10192611669482429,0.3166274131701142
paper-related/flat,-0.16871729840971958,0.0025416433858577612,0.13786855008646404,0.22897681755533253
sports-/playing-related,-0.2577734196495499,-0.2358775402313878,-0.08580413213630111,-0.02488772680653196
tools/handheld/elongated,-0.08040608797553449,0.08176101413931539,0.18203900503672021,0.2563460784173605
fluid-related/drink-related,-0.1992202918081645,-0.10971462126858537,-0.03401033872077815,0.22893554856339512
water-related,-0.10470487467348615,-0.09778254088033816,-0.014289886318466127,0.04401779469375242
oriented/many things,-0.09469788621388045,0.04905304022507151,0.16830309252719264,0.22963867010922176
powdery/earth-related,-0.004647594813552758,0.07663594334185829,0.17266968843682626,0.19229665582993077
white,0.16097487060369203,0.1520954847447289,0.2691993863399387,0.3666431760969906
coarse pattern/many things,-0.14764161098044623,0.057596165866622154,0.25935840814493594,0.3548925051179955
red,0.4303439326593992,0.46470065156709806,0.5792116105711755,0.5793228946409271
long/thin,-0.09596394739622872,0.07536464428255964,0.18714734721588813,0.2850784947709578
weapon-/danger-related,-0.18606939213920415,-0.11282274011469488,-0.1148949091436448,-0.03068418425564833
black,0.07027934531011819,0.17518911260155318,0.26210015412283705,0.34248933248806557
household,-0.19688426582102525,-0.049958166721387545,0.01941177431764407,0.13673640240888646
feminine (stereotypical),-0.1196379927845725,-0.10719948395539003,0.002746671296724579,0.03594035776123292
body part-related,-0.07137841291091664,-0.030721291909963266,0.14877907809444024,0.22779741482004806
tubular,-0.11232569920113482,-0.04169843419791387,0.009786303558761056,0.09402610280903448
music-/hearing-/hobby-related/loud,-0.2164300444694171,-0.18194215863344762,-0.13573472378355683,-0.06987683190783617
grid-/grating-related,-0.13339029447264475,0.035010004934549574,0.18181687531871607,0.30266430203910305
repetitive/spiky,-0.030898204974617316,-0.030524221656081586,0.14282250026416102,0.20409984032531833
construction-/craftsmanship-related,-0.27836516877864165,-0.19241769502942135,-0.10648809166686461,0.003981432797759099
spherical/voluminous,-0.24539993584020725,-0.11176169302911705,0.029063062078085955,0.23020591361203474
string-related/curved,-0.31800006207479575,-0.2691414540390028,-0.15588326755144027,-0.04326551095742702
seating-/standing-/lying-related,-0.23706738754814002,-0.18591877291273218,-0.04292941863571688,0.0013721526511780823
flying-/sky-related,-0.010711497955874772,-0.002580347689012308,0.04745966792108826,0.19094196900208033
bug-related/non-mammalian/disgusting,-0.0996631135050074,-0.0889245971051646,-0.0365914019636589,0.06567320120186189
transparent/shiny/crystalline,-0.19434722964334206,-0.17501850505201233,-0.06803056955744782,-0.009196534752704221
sand-colored,0.012982545011054059,0.09755446569542145,0.15697010264287745,0.2134426066369132
green,0.36842040897225387,0.43295466097280155,0.3887273927801598,0.32748183731136266
bathroom-/wetness-related,-0.12740568571903235,-0.15006418193445312,-0.12954253404504953,-0.10566888298016461
yellow,0.0097344944187561,0.12943529716482405,0.28878951096622063,0.3154822360206049
heat-/fire-/light-related,-0.43909267156005916,-0.3037826807066565,-0.24524150342511603,-0.20730501155820677
beams-/mesh-related,-0.1534348407572263,-0.03969908880397216,0.05714718092739331,0.1625670369992785
foot-/walking-related,-0.377875114961525,-0.33092507447938624,-0.28357946084440366,-0.22165529247982282
box-related/container,-0.24168668459828196,-0.18581712064415418,-0.08915758796207054,0.009633638996966776
stick-shaped/container,-0.13492938068073337,-0.1767732577141527,-0.12550887939409344,-0.02133280314270315
head-related,-0.2317320142180594,-0.21012293903144358,-0.14664427881611877,-0.12688160956731992
upright/elongated/volumous,-0.13871183444889756,-0.038927038398600566,0.05096074422996331,0.12837488443234396
pointed/spiky,-0.16655994709747152,-0.09768753135933114,-0.08945922812518477,-0.012916735366316712
child-/toy-related/cute,-0.23834169733552818,-0.16067687269579736,-0.12146947717613447,-0.10469555647831601
farm-related/historical,-0.17899603366743738,-0.1578320321161702,-0.08373611715799278,-0.025618862453535108
seeing-related,-0.23935347440614577,-0.19705236983069874,-0.14716487252321492,-0.11773080025936541
medicine-/health-related,-0.16578075162244876,-0.15718400444126582,-0.13505758182755864,-0.06871856724083072
sweet / dessert-related,-0.1387209239629173,-0.0755852120788408,-0.1045329746648536,-0.06944815789549046
orange,-0.005978537519475679,-0.008703098522086427,0.0581035629075483,0.08921210148014724
thin/flat/wrapping,-0.12258211918805668,-0.11176482873216069,-0.07435582755537604,-0.03715077725174518
cylindrical/conical/cushioning,-0.08983482865919994,-0.15706547691666134,-0.062293529694438465,-0.017956462318419186
coldness-related/winter-related,-0.37014933239536646,-0.40233286746829744,-0.3383507342899624,-0.29845144692435194
measurement-related/numbers-related,-0.3477886420171849,-0.2031095322341913,-0.14211094941233038,0.020214168086112937
fluffy/soft,-0.16266910819230845,-0.12105425902179141,-0.06204248598749028,0.013386584152404235
masculine (stereotypical),-0.5014588219217966,-0.5822487956067958,-0.40563243171403685,-0.3242212997910602
fine-grained pattern,-0.4371367808836917,-0.2852709399555353,-0.2491703953804664,-0.17378788143896162
