dimension,Raw
mineral,-70.30259075257791
wood,-50.733429604321174
metallic,-55.427132030212135
fabric,-38.07890181205842
white colour,-41.29023917443009
grainy,-37.18349847721955
crystalline,-37.227028848900446
"straw, fibrous",-32.977891239745304
cloudy,-35.00633789026662
small,-31.12803750016841
"beige colour, tan colour",-32.907211221089554
viscous,-26.86272080317199
black colour,-22.90094788177932
brick,-19.499522804760563
swirly,-28.00280877765619
maroon colour,-22.099033220363157
"lines, long, tubular, vertical",-26.141842071529652
mesh,-22.353867720903633
yellow colour,-20.17327542565698
multi-coloured,-17.311819720715597
thin,-25.634266566039212
bulbous,-21.006622260147285
green colour,-11.474769239476279
blue colour,-16.88080194444651
shell,-15.822022433187389
"gemstone, smooth",-17.025265327134196
sheet,-17.296181047766485
hair,-17.33978774501921
spongy,-20.70777760888414
golden,-20.286249197826816
red colour,-10.597666634512061
"round, smooth",-11.455929824262277
cream colour,-15.402825298936083
bumpy,-17.4775310035436
hot,-10.983390224710096
turquoise colour,-10.094487094088953
