dimension,Raw
mineral,-3.1974036951639366
wood,-1.527570007530986
metallic,-2.5909130456798457
fabric,-1.362810930838871
white colour,-0.9558421470406946
grainy,-1.5417610507259054
crystalline,-1.5965788917732704
"straw, fibrous",-1.5400548401667242
cloudy,-1.3628869251893252
small,-1.9815527546795861
"beige colour, tan colour",-0.9934240556686056
viscous,-1.2291014942035141
black colour,-1.2417345931924118
brick,-1.2129865934307356
swirly,-1.2035401160868595
maroon colour,-0.9142433801300895
"lines, long, tubular, vertical",-1.4246267622488356
mesh,-1.1687720381600104
yellow colour,-0.3490058612507676
multi-coloured,-1.2437074686356908
thin,-1.0866638875754084
bulbous,-1.0405760123305705
green colour,-0.5452788753330684
blue colour,-0.9714455364757211
shell,-1.1338945328643542
"gemstone, smooth",-0.9140637469177837
sheet,-0.55911759110382
hair,-0.6860458889907775
spongy,-0.7347458644300191
golden,-1.0491184237482223
red colour,-0.7209329930485184
"round, smooth",-0.6990791984021674
cream colour,-0.5575256721476636
bumpy,-0.8291816489519104
hot,-0.6637312275935132
turquoise colour,-0.6169313409544837
