dimension,Raw
mineral,0.038547341169201776
wood,0.23041477605425076
metallic,0.16043374117651565
fabric,-0.17240746376599264
white colour,0.6338228681215272
grainy,-0.0370759014060442
crystalline,-0.21523581992177418
"straw, fibrous",-0.074072053745358
cloudy,-0.09405161194118797
small,-0.009123989156237878
"beige colour, tan colour",0.33824764613358155
viscous,-0.19086334088628504
black colour,0.35524306825047464
brick,-0.2195370417444436
swirly,-0.096325713834301
maroon colour,0.0962384655878413
"lines, long, tubular, vertical",-0.1331573850723488
mesh,-0.0580279990044437
yellow colour,0.2911107938869759
multi-coloured,-0.06368520489562798
thin,-0.23313254144235893
bulbous,-0.33862736996263787
green colour,0.09532152622421888
blue colour,0.36571149236254114
shell,-0.2893951127968196
"gemstone, smooth",-0.44991577355471846
sheet,-0.5585652593897309
hair,-0.31267935822722426
spongy,-0.6590489412628197
golden,-0.13720320387273632
red colour,-0.15116667305239553
"round, smooth",-0.7090656689797608
cream colour,-0.3342976781816187
bumpy,-0.3932540770110686
hot,-0.7981584160577283
turquoise colour,-0.8588682173564193
