dimension,Raw
mineral,-0.5544615212198531
wood,-0.5221415593831902
metallic,-0.31712267149060747
fabric,-0.7767694348161314
white colour,0.30224988334739306
grainy,-0.4284254245192697
crystalline,-0.7608208396380644
"straw, fibrous",-1.4157931938148505
cloudy,-0.6642218272636862
small,-1.2128344256721701
"beige colour, tan colour",-0.3704595734693669
viscous,-1.298997643819959
black colour,-0.3065379659372115
brick,-1.3058088303141566
swirly,-0.5197117438756369
maroon colour,-1.1613741465789793
"lines, long, tubular, vertical",-1.153087308490409
mesh,-0.6533592255993522
yellow colour,-0.33212272521214226
multi-coloured,-1.5775726157686853
thin,-1.1775931777089688
bulbous,-1.0619680079581468
green colour,-0.7706192376371159
blue colour,-0.4031010564541665
shell,-1.9399631842882539
"gemstone, smooth",-1.132808083487741
sheet,-1.0122469714304625
hair,-0.9096402770085238
spongy,-1.7184873089516581
golden,-1.1628208031725886
red colour,-1.1803571799717678
"round, smooth",-1.5423772317784692
cream colour,-1.0048007641102275
bumpy,-0.9140100493566949
hot,-4.140115112418873
turquoise colour,-1.9746454203022303
