dimension,Raw
mineral,0.037197520664605174
wood,0.22121337391099355
metallic,0.16783738018736089
fabric,-0.1865564304612109
white colour,0.6293750021741624
grainy,-0.03208807148146196
crystalline,-0.2278279782595914
"straw, fibrous",-0.07100749945203949
cloudy,-0.09457395189320261
small,-0.016895085081432004
"beige colour, tan colour",0.34050383987404115
viscous,-0.19041542684235457
black colour,0.3555845626802351
brick,-0.21380018805470952
swirly,-0.09935439046940633
maroon colour,0.10336694686740149
"lines, long, tubular, vertical",-0.13213122352513632
mesh,-0.06158655630260458
yellow colour,0.2948921155370942
multi-coloured,-0.05534007635601793
thin,-0.24346218261306934
bulbous,-0.33208967664063704
green colour,0.09593166112126887
blue colour,0.37019210139017245
shell,-0.28537798293192906
"gemstone, smooth",-0.44717356074971126
sheet,-0.5524447349838819
hair,-0.3057818131093705
spongy,-0.6472710008431183
golden,-0.12460375083088185
red colour,-0.1505618779188101
"round, smooth",-0.7091058318596882
cream colour,-0.33562003694288983
bumpy,-0.3850475712486431
hot,-0.7880366405633709
turquoise colour,-0.8341723097175018
