dimension,Raw
mineral,-0.08475279699339477
wood,-0.009947620398254031
metallic,0.012919075913153777
fabric,-0.10893864964034705
white colour,0.517332607657998
grainy,-0.12434232128615608
crystalline,-0.1826095177341973
"straw, fibrous",-0.0658372792918358
cloudy,-0.17639592440082463
small,-0.1857874095407943
"beige colour, tan colour",0.22630340355835887
viscous,-0.2492970333418889
black colour,0.10215434515660915
brick,-0.208214270203259
swirly,-0.08950643934849145
maroon colour,0.28161182234890436
"lines, long, tubular, vertical",-0.3338165323955242
mesh,-0.07633848106979024
yellow colour,0.4270036290891114
multi-coloured,-0.21612645363069216
thin,-0.15520034846164577
bulbous,-0.31482678737177605
green colour,0.2173622920539433
blue colour,0.048151091712242744
shell,-0.17448613033594862
"gemstone, smooth",-0.153846782502288
sheet,-0.11943449186343136
hair,-0.10609890790407506
spongy,-0.1581372330420423
golden,-0.13356554553603472
red colour,0.10527623817435672
"round, smooth",-0.1654810198581329
cream colour,-0.050000611449583676
bumpy,-0.15887924608201165
hot,-0.039563751617238685
turquoise colour,-0.04952202411764306
