dimension,Raw
mineral,-1.5401334676877791
wood,-1.0122012054141845
metallic,-1.081006055240322
fabric,-0.7866377422188604
white colour,-0.44991595237054405
grainy,-0.8536003312018736
crystalline,-0.8198578378013708
"straw, fibrous",-0.5779289378903165
cloudy,-0.7521563149921828
small,-0.6699433611292502
"beige colour, tan colour",-0.3978010521887345
viscous,-0.5953284381910182
black colour,-0.43716274768724483
brick,-0.5735845162835373
swirly,-0.6231499420032094
maroon colour,-0.3193087823622196
"lines, long, tubular, vertical",-0.654188907426446
mesh,-0.44768775318293486
yellow colour,0.010221073657997404
multi-coloured,-0.6035861522360524
thin,-0.4657926282464522
bulbous,-0.5231400503991077
green colour,-0.05183375914994914
blue colour,-0.4378134238503997
shell,-0.41165933153075795
"gemstone, smooth",-0.42212884463627587
sheet,-0.33261623057387313
hair,-0.37356827729290765
spongy,-0.35001338801503734
golden,-0.3989759695980766
red colour,-0.2518820795250811
"round, smooth",-0.286785658142767
cream colour,-0.24309485524060426
bumpy,-0.3445015364249284
hot,-0.19631719368208578
turquoise colour,-0.18130793994604355
