dimension,Raw
made of metal / artificial / hard,-1.8209929646170366
food-related / eating-related / kitchen-related,-1.427209806923866
animal-related / organic,-1.710836006851919
clothing-related / fabric / covering,-1.8882121447972184
furniture-related / household-related / artifact,-1.69376961082182
plant-related / green,-1.5858342214585182
outdoors-related,-1.9004363108942777
transportation / motorized / dynamic,-1.680737199717082
wood-related / brownish,-1.9782255019495842
body part-related,-2.239662627415049
colorful,-1.6840917530349504
valuable / special occasion-related,-2.0693920094097074
electronic / technology,-2.0492412272318985
sport-related / recreational activity-related,-2.019903724104583
disc-shaped / round,-1.8951624262499156
tool-related,-2.009979044035077
many small things / course pattern,-1.2973753765789582
paper-related / thin / flat / text-related,-1.8867328365908598
fluid-related / drink-related,-2.2471380409744732
long / thin,-1.907665363613761
water-related / blue,-2.12718115060256
powdery / fine-scale pattern,-1.9903479889031441
red,-1.1950803224437578
feminine (stereotypically) / decorative,-1.7696689075890464
bathroom-related / sanitary,-2.02040421614534
black / noble,-1.7660231318293067
weapon / danger-related / violence,-2.2867378011654584
musical instrument-related / noise-related,-2.888061235654111
sky-related / flying-related / floating-related,-1.8075978777808497
spherical / ellipsoid / rounded / voluminous,-2.3606872902464016
repetitive,-1.4347282440866962
flat / patterned,-2.1006864615317205
white,-1.631304183204311
thin / flat,-1.4069177813969218
disgusting / bugs,-2.4356205083762914
string-related,-2.457490350536347
arms/legs/skin-related,-2.715134158950273
shiny / transparent,-2.0102361571511307
construction-related / physical work-related,-2.333573905875216
fire-related / heat-related,-2.6386834271594837
head-related / face-related,-3.382975296981943
beams-related,-1.6287157959741356
seating-related / put things on top,-2.6977885096080376
container-related / hollow,-2.7250497685286166
child-related / toy-related,-3.0247997631249324
medicine-related,-2.7499148652542416
has grating,-1.8692176961377285
handicraft-related,-2.203404507014743
cylindrical / conical,-2.0484009665374465
