dimension,Raw
made of metal / artificial / hard,-2.436581900658272
food-related / eating-related / kitchen-related,-1.0633343819850714
animal-related / organic,-0.8126532304008278
clothing-related / fabric / covering,-0.9079724596198415
furniture-related / household-related / artifact,-1.072462141795849
plant-related / green,-0.9941440162752755
outdoors-related,-1.241480389169955
transportation / motorized / dynamic,-1.0112851508977134
wood-related / brownish,-0.9362009575862433
body part-related,-0.7143093120216648
colorful,-1.339813430494341
valuable / special occasion-related,-1.2056003182870114
electronic / technology,-0.8762435328005636
sport-related / recreational activity-related,-1.0549753861197106
disc-shaped / round,-0.8515907822195905
tool-related,-0.7778296561584481
many small things / course pattern,-1.1840656016426898
paper-related / thin / flat / text-related,-0.980507973670679
fluid-related / drink-related,-0.7739833792051356
long / thin,-0.8848868316887677
water-related / blue,-0.7497298098010774
powdery / fine-scale pattern,-0.8646879469849797
red,-0.6921813332701892
feminine (stereotypically) / decorative,-0.8375010753663836
bathroom-related / sanitary,-0.6456838159823781
black / noble,-0.6883272370246234
weapon / danger-related / violence,-0.7232977800391158
musical instrument-related / noise-related,-0.6866526338318446
sky-related / flying-related / floating-related,-0.6611456368228383
spherical / ellipsoid / rounded / voluminous,-0.6179528681310855
repetitive,-0.9412442745191973
flat / patterned,-0.6729325833976361
white,-0.6268148528004158
thin / flat,-0.6094674930421815
disgusting / bugs,-0.5784365407704548
string-related,-0.7744283343503469
arms/legs/skin-related,-0.5415311869461661
shiny / transparent,-0.57798078719336
construction-related / physical work-related,-0.8025299051546724
fire-related / heat-related,-0.5495995466372827
head-related / face-related,-0.5190005837202722
beams-related,-0.6328753539316663
seating-related / put things on top,-0.7349380718867524
container-related / hollow,-0.6464011365071147
child-related / toy-related,-0.5803788147918765
medicine-related,-0.5191577171011095
has grating,-0.7195039153127205
handicraft-related,-0.7050418009883532
cylindrical / conical,-0.5529925030340233
