dimension,Raw
made of metal / artificial / hard,0.09635153363427007
food-related / eating-related / kitchen-related,0.167010216528775
animal-related / organic,0.07264508824411486
clothing-related / fabric / covering,0.047609026882232564
furniture-related / household-related / artifact,0.060508878384209264
plant-related / green,0.21895821493911305
outdoors-related,0.049484072158383685
transportation / motorized / dynamic,0.06590930520281624
wood-related / brownish,0.03747403843490771
body part-related,0.002377598637952616
colorful,0.008897088385062535
valuable / special occasion-related,0.01032280265796437
electronic / technology,0.027316706194517537
sport-related / recreational activity-related,0.008390199750150873
disc-shaped / round,-0.0018793940562766842
tool-related,0.013284041027987858
many small things / course pattern,0.023267885181907366
paper-related / thin / flat / text-related,0.02997299407668963
fluid-related / drink-related,0.005205855698859452
long / thin,0.005979356986260842
water-related / blue,0.04497238278434823
powdery / fine-scale pattern,0.004342020400266766
red,0.2827643629225106
feminine (stereotypically) / decorative,0.020637727727725097
bathroom-related / sanitary,0.052017713406935506
black / noble,0.05961385492185589
weapon / danger-related / violence,0.01014678929140056
musical instrument-related / noise-related,0.02375276506208457
sky-related / flying-related / floating-related,0.09364623021935714
spherical / ellipsoid / rounded / voluminous,0.01432752603155485
repetitive,0.0005797675610164088
flat / patterned,0.01408382931620844
white,0.12477584116148788
thin / flat,0.07615782049448627
disgusting / bugs,-0.0004620151631131719
string-related,-0.0021580728976240415
arms/legs/skin-related,-0.0053667892502982095
shiny / transparent,0.007414156065040367
construction-related / physical work-related,-0.0016356246792801343
fire-related / heat-related,-0.0007592437284653641
head-related / face-related,-0.0009207098473695829
beams-related,0.0074539693513159255
seating-related / put things on top,-0.004862453225987551
container-related / hollow,5.852557359620203e-05
child-related / toy-related,-0.0011660720487767229
medicine-related,0.0028276835060668803
has grating,-0.002372249125994097
handicraft-related,0.0013462437446501996
cylindrical / conical,-0.001819986115805472
