dimension,Raw
made of metal / artificial / hard,-1.817075521098512
food-related / eating-related / kitchen-related,-0.6564600808329233
animal-related / organic,-0.5283150882128864
clothing-related / fabric / covering,-0.6274875252900267
furniture-related / household-related / artifact,-0.7438611041096712
plant-related / green,-0.4349753346174421
outdoors-related,-0.7602914993161198
transportation / motorized / dynamic,-0.5804320391082596
wood-related / brownish,-0.6318302985679012
body part-related,-0.5294852197452167
colorful,-0.8161735296639607
valuable / special occasion-related,-0.7940581047059845
electronic / technology,-0.5990773952965918
sport-related / recreational activity-related,-0.7513919974535408
disc-shaped / round,-0.6594352230289633
tool-related,-0.5678400274219109
many small things / course pattern,-0.7937276479968705
paper-related / thin / flat / text-related,-0.58392245828994
fluid-related / drink-related,-0.6005869498204934
long / thin,-0.5957131567617202
water-related / blue,-0.447257174935751
powdery / fine-scale pattern,-0.5048915041705382
red,-0.22254837849010012
feminine (stereotypically) / decorative,-0.601007811342892
bathroom-related / sanitary,-0.45688073985525324
black / noble,-0.516491916326133
weapon / danger-related / violence,-0.5020211793200544
musical instrument-related / noise-related,-0.41444834522759577
sky-related / flying-related / floating-related,-0.2987399280142271
spherical / ellipsoid / rounded / voluminous,-0.41758573524815645
repetitive,-0.5441661967711349
flat / patterned,-0.4519915564420396
white,-0.34196689724040974
thin / flat,-0.3588402565902109
disgusting / bugs,-0.36631324608374816
string-related,-0.4670744281318
arms/legs/skin-related,-0.3825958842220831
shiny / transparent,-0.41197725894792536
construction-related / physical work-related,-0.5339017186009549
fire-related / heat-related,-0.36378866125734866
head-related / face-related,-0.3716632596726719
beams-related,-0.36069176366192157
seating-related / put things on top,-0.44214631366153
container-related / hollow,-0.4036104843141266
child-related / toy-related,-0.373314968674745
medicine-related,-0.3303116724036348
has grating,-0.4405476882679602
handicraft-related,-0.4267756580394213
cylindrical / conical,-0.36466884836649616
