dimension,Raw
made of metal / artificial / hard,-1.533013628053868
food-related / eating-related / kitchen-related,-0.5459962290143727
animal-related / organic,-0.403603797907212
clothing-related / fabric / covering,-0.5042516149650058
furniture-related / household-related / artifact,-0.63182441981755
plant-related / green,-0.3627747423249248
outdoors-related,-0.614548429351272
transportation / motorized / dynamic,-0.440347043729719
wood-related / brownish,-0.4999426700117371
body part-related,-0.4069967629496787
colorful,-0.632256175830042
valuable / special occasion-related,-0.5977492165689653
electronic / technology,-0.445741721437646
sport-related / recreational activity-related,-0.5298885427839799
disc-shaped / round,-0.49100470559989673
tool-related,-0.430319411318729
many small things / course pattern,-0.5740238115041647
paper-related / thin / flat / text-related,-0.4421448806168007
fluid-related / drink-related,-0.43210365901491476
long / thin,-0.4540369096141028
water-related / blue,-0.3673293803910651
powdery / fine-scale pattern,-0.3992370810596402
red,-0.2772646744985643
feminine (stereotypically) / decorative,-0.4189152272210346
bathroom-related / sanitary,-0.37254117059537384
black / noble,-0.375819587861592
weapon / danger-related / violence,-0.34448487804360295
musical instrument-related / noise-related,-0.29376598590593717
sky-related / flying-related / floating-related,-0.30265100497450415
spherical / ellipsoid / rounded / voluminous,-0.300969990241033
repetitive,-0.4037179373100981
flat / patterned,-0.33442924347557246
white,-0.32336325410220246
thin / flat,-0.31741374425563773
disgusting / bugs,-0.25599252105839065
string-related,-0.31839318177426956
arms/legs/skin-related,-0.2868849508168341
shiny / transparent,-0.3168759733313524
construction-related / physical work-related,-0.35974061634773635
fire-related / heat-related,-0.24817160281705686
head-related / face-related,-0.2644931625725082
beams-related,-0.26115007559152725
seating-related / put things on top,-0.28767687958843613
container-related / hollow,-0.29558868757477863
child-related / toy-related,-0.2478717464943998
medicine-related,-0.24891810922367208
has grating,-0.2767054926488177
handicraft-related,-0.2914888345367428
cylindrical / conical,-0.2601390369749539
