dimension,Raw
metallic/artificial,-1.6677133017741625
food-related,-1.279878935071045
animal-related,-1.5691173832782201
textile,-1.4650684071861004
plant-related,-1.5167563453066957
house-related/furnishing-related,-1.5460815687987517
valuable/precious,-1.6390833247317493
transportation-/movement-related,-1.5036694342945474
body-/people-related,-1.7689765783351898
wood-related/brown,-1.5261748556552996
electronics/technology,-1.79581739117015
colorful/playful,-1.4952099904383065
outdoors,-1.675516557010282
circular/round,-1.822659278706125
paper-related/flat,-1.4839632166179286
sports-/playing-related,-1.8106644623883326
tools/handheld/elongated,-1.803393936840589
fluid-related/drink-related,-1.930369527954967
water-related,-1.8999114457645905
oriented/many things,-1.754654578407862
powdery/earth-related,-1.8444120038526228
white,-1.1998886285854815
coarse pattern/many things,-1.5521135114522582
red,-1.0028383995851269
long/thin,-1.6898033852383283
weapon-/danger-related,-1.7386438558444595
black,-1.25495852584211
household,-1.822075695186065
feminine (stereotypical),-1.356039054440076
body part-related,-1.6292192051082335
tubular,-1.8298219108884677
music-/hearing-/hobby-related/loud,-1.9003017296127713
grid-/grating-related,-1.4887817663235925
repetitive/spiky,-1.6257255387281595
construction-/craftsmanship-related,-2.1141528403536762
spherical/voluminous,-1.8046387147382243
string-related/curved,-1.8912038273489937
seating-/standing-/lying-related,-1.9823247627090148
flying-/sky-related,-1.744874447655556
bug-related/non-mammalian/disgusting,-1.8237029446837454
transparent/shiny/crystalline,-1.8178537558858423
sand-colored,-1.5385187145996309
green,-1.0618515958030725
bathroom-/wetness-related,-1.5584181734342422
yellow,-1.2907718487140412
heat-/fire-/light-related,-1.7484393621120131
beams-/mesh-related,-1.4774223187438227
foot-/walking-related,-1.6673066680990516
box-related/container,-1.819051595244202
stick-shaped/container,-1.8748109963765738
head-related,-2.28491729810879
upright/elongated/volumous,-1.7649500700189993
pointed/spiky,-1.4524382667682385
child-/toy-related/cute,-1.6547318095144918
farm-related/historical,-1.6736167931391135
seeing-related,-1.7695321634639605
medicine-/health-related,-1.916683059323149
sweet / dessert-related,-1.6325655514131596
orange,-1.9486161262798882
thin/flat/wrapping,-1.4700138530324276
cylindrical/conical/cushioning,-1.3771909810223422
coldness-related/winter-related,-1.2790099809219981
measurement-related/numbers-related,-1.8027208568845987
fluffy/soft,-1.6255480934848667
masculine (stereotypical),-1.6711993672119787
fine-grained pattern,-1.4756459936474444
