dimension,Raw
metallic/artificial,-2.5235447847531196
food-related,-1.09634609106448
animal-related,-0.8405638121280825
textile,-1.0635125252894118
plant-related,-1.135869908020568
house-related/furnishing-related,-1.1241872831383892
valuable/precious,-1.5011784403607398
transportation-/movement-related,-1.1489825559738822
body-/people-related,-0.8407219488299635
wood-related/brown,-1.085021135751338
electronics/technology,-1.0400484839618818
colorful/playful,-1.4609579378362358
outdoors,-1.3314283164923455
circular/round,-1.0899859937962622
paper-related/flat,-1.2242629444057873
sports-/playing-related,-1.1714596643311195
tools/handheld/elongated,-0.9245473512953812
fluid-related/drink-related,-0.8963255126699714
water-related,-0.8537513568204369
oriented/many things,-1.3741333022182785
powdery/earth-related,-1.0952045333820957
white,-1.0233705707888494
coarse pattern/many things,-1.1695990162540975
red,-0.8758899412545578
long/thin,-0.9727913988982617
weapon-/danger-related,-0.92464014767042
black,-0.8560615119240853
household,-0.9469796916372153
feminine (stereotypical),-0.8277754511556987
body part-related,-0.5909705780750358
tubular,-0.8780802182791203
music-/hearing-/hobby-related/loud,-0.8111456954303462
grid-/grating-related,-1.0983317290687693
repetitive/spiky,-1.1433047883193832
construction-/craftsmanship-related,-1.065492476030946
spherical/voluminous,-0.7392776736680893
string-related/curved,-0.9968692731478244
seating-/standing-/lying-related,-0.9849645341649911
flying-/sky-related,-0.7407500450076316
bug-related/non-mammalian/disgusting,-0.6860483763463052
transparent/shiny/crystalline,-0.7983520176525203
sand-colored,-0.8085334044060299
green,-0.6116722309595297
bathroom-/wetness-related,-0.7199610461790982
yellow,-0.9370401456022164
heat-/fire-/light-related,-0.6579684677334885
beams-/mesh-related,-0.9521526461485024
foot-/walking-related,-0.720312662732147
box-related/container,-0.9331254140672387
stick-shaped/container,-0.7836755697430271
head-related,-0.6353287801378711
upright/elongated/volumous,-0.908233759099236
pointed/spiky,-0.7109541797789418
child-/toy-related/cute,-0.8112629814829424
farm-related/historical,-0.9721580949248871
seeing-related,-0.6815592570328342
medicine-/health-related,-0.7537106082592087
sweet / dessert-related,-0.7724944665700495
orange,-0.7681912812795639
thin/flat/wrapping,-0.7102013044491915
cylindrical/conical/cushioning,-0.7380368659957453
coldness-related/winter-related,-0.65776966103186
measurement-related/numbers-related,-0.700554421436179
fluffy/soft,-0.6420435847534092
masculine (stereotypical),-0.6866081914963358
fine-grained pattern,-0.617841412048695
