dimension,Raw
metallic/artificial,-1.7220812761132174
food-related,-1.375776470939924
animal-related,-1.727519588662588
textile,-1.74373062467317
plant-related,-1.811978604215311
house-related/furnishing-related,-1.7595850741979817
valuable/precious,-1.7587923790717732
transportation-/movement-related,-1.6500054933961033
body-/people-related,-2.1638935708689577
wood-related/brown,-1.788332785765223
electronics/technology,-2.067781068653651
colorful/playful,-1.5691945440624
outdoors,-1.6708747074194725
circular/round,-1.964310704739739
paper-related/flat,-1.7208852353046562
sports-/playing-related,-2.200352640254701
tools/handheld/elongated,-1.8320181795290158
fluid-related/drink-related,-2.2116576142222066
water-related,-2.1688295717899466
oriented/many things,-1.8458708190250828
powdery/earth-related,-1.984608834929066
white,-1.2891259056888011
coarse pattern/many things,-1.7892274785328035
red,-1.0168610854246027
long/thin,-1.7923594691792186
weapon-/danger-related,-2.0565768369642834
black,-1.3163490252955745
household,-1.950775022985015
feminine (stereotypical),-1.5911505524727407
body part-related,-1.8706740070804078
tubular,-1.9658807091657373
music-/hearing-/hobby-related/loud,-2.592651763318373
grid-/grating-related,-1.480277341028643
repetitive/spiky,-1.784606728492942
construction-/craftsmanship-related,-2.2453578347940466
spherical/voluminous,-2.285005560126248
string-related/curved,-2.3167067320340493
seating-/standing-/lying-related,-2.435702471613431
flying-/sky-related,-2.079983403830132
bug-related/non-mammalian/disgusting,-2.1619507528893522
transparent/shiny/crystalline,-2.316875914255944
sand-colored,-1.655148609790983
green,-1.2823689638281808
bathroom-/wetness-related,-2.1980517721214854
yellow,-1.5432386218791696
heat-/fire-/light-related,-3.2641987681853437
beams-/mesh-related,-1.5053972840106904
foot-/walking-related,-2.986826545497217
box-related/container,-2.195485334551499
stick-shaped/container,-2.4575534749079617
head-related,-4.53062526149113
upright/elongated/volumous,-1.9768085745055939
pointed/spiky,-1.8097896898013919
child-/toy-related/cute,-2.126423525240379
farm-related/historical,-1.9789557444410601
seeing-related,-2.2600620347243305
medicine-/health-related,-2.0964673406349026
sweet / dessert-related,-2.1984327210562293
orange,-2.59634705923649
thin/flat/wrapping,-1.8142810880253837
cylindrical/conical/cushioning,-1.6450871150011437
coldness-related/winter-related,-2.6361882534892773
measurement-related/numbers-related,-2.472450861809924
fluffy/soft,-2.141404681944379
masculine (stereotypical),-3.318278898339281
fine-grained pattern,-4.599324479778389
