dimension,Raw
metallic/artificial,-0.026501790864268127
food-related,0.06068485917837324
animal-related,-0.0570739459495761
textile,-0.08565424868248413
plant-related,0.008785289805751006
house-related/furnishing-related,-0.08565697764078349
valuable/precious,-0.12300851760844585
transportation-/movement-related,-0.1653706457766037
body-/people-related,-0.1601027985634296
wood-related/brown,-0.13097390359943162
electronics/technology,-0.12118235305842898
colorful/playful,-0.12960983191036413
outdoors,-0.03611235203155434
circular/round,-0.1867212505478797
paper-related/flat,-0.1134385314968902
sports-/playing-related,-0.21673859229467402
tools/handheld/elongated,-0.107715276302996
fluid-related/drink-related,-0.18995936653525142
water-related,-0.12559657160265508
oriented/many things,-0.20422846805561803
powdery/earth-related,-0.13877955880123077
white,0.11139369922724529
coarse pattern/many things,-0.17773355636637175
red,0.20828708199882512
long/thin,-0.11031624112249946
weapon-/danger-related,-0.19812465612535907
black,0.08254006651529587
household,-0.12977844873623828
feminine (stereotypical),-0.1164746699840056
body part-related,-0.11626276204069956
tubular,-0.1728084644897317
music-/hearing-/hobby-related/loud,-0.15814383663933881
grid-/grating-related,-0.19793054662272863
repetitive/spiky,-0.17302312528509525
construction-/craftsmanship-related,-0.21314618170440439
spherical/voluminous,-0.20157944338888162
string-related/curved,-0.240733563965167
seating-/standing-/lying-related,-0.2337043464515224
flying-/sky-related,-0.03915007496632043
bug-related/non-mammalian/disgusting,-0.14593956786112608
transparent/shiny/crystalline,-0.1507020440683796
sand-colored,-0.05614841552228984
green,0.1395224315219265
bathroom-/wetness-related,-0.19712499900553385
yellow,-0.05670457579052342
heat-/fire-/light-related,-0.26972680797363724
beams-/mesh-related,-0.14154440998358828
foot-/walking-related,-0.3548791405263899
box-related/container,-0.17471112252598311
stick-shaped/container,-0.1904653935477733
head-related,-0.2112444149254055
upright/elongated/volumous,-0.1614138054645548
pointed/spiky,-0.122034456904933
child-/toy-related/cute,-0.22483353151149985
farm-related/historical,-0.19361431301664023
seeing-related,-0.15267969724501204
medicine-/health-related,-0.14673006193190924
sweet / dessert-related,-0.1266783190882023
orange,-0.06518869290466177
thin/flat/wrapping,-0.0979588422069009
cylindrical/conical/cushioning,-0.15870369219288247
coldness-related/winter-related,-0.3646600091573592
measurement-related/numbers-related,-0.21649231715653333
fluffy/soft,-0.19376818755714265
masculine (stereotypical),-0.34219910383013885
fine-grained pattern,-0.22002483722465663
