dimension,V1,V2,V4,IT
mineral,0.2834898666280927,0.39137120757100197,0.564989348797539,0.7380489301245248
wood,0.48422383466003904,0.564778892492154,0.6071956896119052,0.7322375814254012
metallic,0.2479655565284763,0.23983574497650728,0.42250751338162773,0.5548025654387807
fabric,0.039364104788753185,0.16908273048466915,0.24854127450647168,0.5737944781113908
white colour,0.4713153029288102,0.5113028501793893,0.5928509492205618,0.588634544922215
grainy,0.22716311913729315,0.46076279506096474,0.5805196199799821,0.7047238731775669
crystalline,0.030525319393621242,0.11264444154099562,0.20047308892891658,0.5533172159517867
"straw, fibrous",0.12350504186625166,0.15862162421295511,0.3676481095625558,0.5693783271370918
cloudy,0.07738304216521474,0.14110799416925546,0.20418943255031863,0.5081237240885637
small,0.11051736331998674,0.2688851141481967,0.4403190751986845,0.7181013851236072
"beige colour, tan colour",0.44813602576740486,0.3902563389133672,0.45857453662422554,0.5457270272766356
viscous,0.07053711091189041,0.08981042510905035,0.13630051198824744,0.31449878557262423
black colour,0.2851170642494695,0.2821732300774089,0.2843940654363488,0.349790288928602
brick,-0.013336547528773446,0.01968531518421801,0.11302616384682573,0.44980749052106517
swirly,0.019817875568724053,0.061215503004411254,0.1496720981484012,0.3996017866579735
maroon colour,0.39387092936995705,0.34684295131662113,0.3871564858848422,0.45630204817906916
"lines, long, tubular, vertical",0.03504449365583373,0.12804237570099297,0.4012651537727302,0.6128995046327592
mesh,0.07178042392841977,0.13268824100698162,0.3000126098450887,0.5722657159408998
yellow colour,0.32741259302969605,0.263723077732961,0.35804518416651665,0.556074522495428
multi-coloured,0.1936286181839445,0.1914246926194232,0.2415724206787605,0.4934842750820877
thin,-0.014572625344933199,0.00391413938606433,0.03074615339058362,0.17358839391235037
bulbous,-0.008173033635794358,0.0343079055196851,0.0831955022048525,0.4034017310348418
green colour,0.3755789626582492,0.33046952620834313,0.4333921864981439,0.4475903959243026
blue colour,0.28277215805079103,0.22641130505513685,0.1295835842492059,0.3836307135876186
shell,0.01587248564786803,0.07602167761501832,0.11457029872219959,0.23159440531172448
"gemstone, smooth",0.030165495405752085,0.11688072766940827,0.18220931688747644,0.46721912817329436
sheet,0.0924725113807332,0.12035511405788257,0.11766768583698906,0.2583707636042729
hair,0.03841322119690682,0.03148094937632118,0.09389091160238094,0.11852360776896709
spongy,-0.0026520529453724073,0.002596193845192718,0.0758148245496898,0.19264454344419923
golden,0.06013790931372298,0.0891077851234473,0.08687727677109525,0.14575370890132255
red colour,0.25679736481468163,0.27036118105781715,0.3420790354403189,0.4538688910755988
"round, smooth",-0.015268976727472516,-0.002928627059545885,0.06690983118837168,0.3123955853769862
cream colour,0.1046494810338976,0.06130279205957634,0.13230457729585376,0.14704237779069462
bumpy,0.006343427134768764,0.008119950262094111,0.0181105887937435,0.13211677389408094
hot,0.019815692629200687,0.00010504720941850731,0.04230734216864551,0.14284163967129238
turquoise colour,0.04960533171054127,0.017465356723633696,-0.010159485142308355,0.11905824974262358
