dimension,V1,V2,V4,IT
mineral,-7.14833963895501,-7.256982926617537,-6.525337609272982,-4.202236260151664
wood,-5.375085951723227,-3.96227811506062,-4.048966604695547,-3.8076771290959384
metallic,-4.682811241224863,-4.758268948583149,-4.5573764379971635,-3.4313364223302445
fabric,-3.808311535997878,-3.2415787388722466,-3.84844508120608,-3.3718144555160725
white colour,-3.838510777965305,-4.139510642799457,-3.5216724051701025,-3.354411829306139
grainy,-4.410724320355227,-3.8060797632348438,-2.7494388941317403,-2.3174856250804527
crystalline,-3.2120014552038256,-3.8960743419395447,-3.7219256728887036,-2.5967607795584016
"straw, fibrous",-3.5902082808889073,-3.061108770120228,-3.0185130389285018,-2.1329604879800814
cloudy,-3.983246939237014,-3.530576158714201,-3.096724925856261,-3.304881270731732
small,-3.2177627351117843,-3.9234437106012834,-3.771011592264742,-1.314202531663633
"beige colour, tan colour",-3.837601697036434,-2.8831107595114505,-3.281520801424864,-2.698305648251496
viscous,-2.8076995436288668,-2.9668443117904575,-2.8772515580817535,-2.1474088471532604
black colour,-2.3580887835920197,-2.576633986941366,-2.275197721025268,-2.2072823354858575
brick,-2.853542452031149,-2.937281848067898,-2.751067696045698,-2.315648707457821
swirly,-3.6092301698604805,-3.445095670069744,-3.1712621941319403,-2.3918687886340484
maroon colour,-2.432107654055382,-2.569653206150262,-2.1941442564016724,-2.009145524599899
"lines, long, tubular, vertical",-2.3885670877914684,-2.3595199186814626,-2.972508929240161,-1.7736328831906123
mesh,-2.479133372718731,-2.1495165023518457,-1.7921545192107078,-1.183818513496302
yellow colour,-2.7295893137891563,-2.6747484084677025,-2.4088354238034064,-1.8280374491186944
multi-coloured,-2.1911342249163157,-2.252362720607498,-2.658990362696041,-1.5372433677350559
thin,-2.637198611132149,-2.744250636603243,-2.6176596732201465,-2.01657997814936
bulbous,-2.4611482895924595,-2.4613629139620135,-2.403678248226698,-1.9671555894009218
green colour,-2.288694415219867,-1.2810489716827522,-1.7878397612545207,-1.181018784016151
blue colour,-2.1230286351759213,-2.343970128254615,-2.0163975465525206,-1.8910856109551428
shell,-2.102312159297764,-2.2649173881215767,-2.0174152831009784,-1.762348819123055
"gemstone, smooth",-2.048143371475069,-2.546360082086297,-2.1756825313016503,-1.3889458678636406
sheet,-1.5612446637616553,-1.742638596881485,-2.040247910584864,-2.1035416466026384
hair,-2.7077541096023197,-2.0686780561394706,-1.8848755525333454,-1.969496675106928
spongy,-2.024649443321603,-1.9492659796057779,-1.9591858026348974,-1.7182234804251726
golden,-2.3210755072815283,-2.353010098893236,-2.2911874703170545,-1.5614396023090218
red colour,-1.3594091586033201,-1.7195786384070377,-2.003240915452115,-1.3292327049154045
"round, smooth",-2.133867360715802,-1.6936781486081545,-1.8849130171695947,-1.1351871430543556
cream colour,-2.2717352232818646,-2.148621304296024,-2.1728382978571537,-1.5625714708424177
bumpy,-2.2279770869722153,-1.9673593068040112,-2.044321153397414,-1.5430198800675456
hot,-1.6901397240409701,-1.912980864385597,-1.6571698596036586,-1.4430357450629097
turquoise colour,-1.4846201666835168,-1.9076218077244906,-1.5677203793426546,-1.3168316255855288
