dimension,V1,V2,V4,IT
mineral,0.1847139707907599,0.2793552933815525,0.47848701331477644,0.6552275282754643
wood,0.27636112888473735,0.41621549131955327,0.4945339279545363,0.7063885722977543
metallic,0.11473356853014363,0.1124002789970425,0.32946638155783636,0.4335937669101134
fabric,-0.15396956016663074,-0.09058371234405113,0.03465817117074852,0.3671497887717537
white colour,0.2877947519861524,0.34566000122507956,0.4969566965785506,0.5256489129486568
grainy,0.10691833124460733,0.328454356103002,0.47319489722434876,0.6317664665077242
crystalline,-0.05959544453433359,0.03136919724264357,0.08107872874579591,0.39815511225058836
"straw, fibrous",-0.05960451321896609,-0.01886350925464253,0.13210312719988565,0.3943844946054622
cloudy,0.02950383215583783,0.04407189055404318,0.137074751929488,0.42745274619027673
small,0.020991606760438465,0.15539879397761816,0.32328068195205384,0.6219151342625013
"beige colour, tan colour",0.24217267307319085,0.13094119532051554,0.19809299482515655,0.36554258243510795
viscous,-0.09529629050877483,-0.047833785913218164,-0.03974240034724169,0.13907073352819777
black colour,0.06618606244513223,0.052083763189698304,0.14394395303075486,0.18976804821174026
brick,-0.20279267823706154,-0.1380453068118508,-0.08325545836809092,0.20027942279889482
swirly,-0.09121121372474497,-0.06492325179338534,0.023264763844041837,0.2847755255866672
maroon colour,-0.25457790022516325,-0.3949225376700853,-0.3350421966559866,-0.03837808260779196
"lines, long, tubular, vertical",-0.18550147061769934,-0.1439713684444744,0.07055024247631331,0.39125295223951556
mesh,-0.04605300728287424,0.022816456542658913,0.10942921090683119,0.4780584369145683
yellow colour,-0.10403211995041854,-0.1295197771602126,-0.06681046043531814,0.1595650634407378
multi-coloured,-0.1314431753892604,-0.1198711598495487,0.02280667410767708,0.16090900114410747
thin,-0.2951416772216634,-0.26590347115494206,-0.23618482984421263,-0.11543496535818773
bulbous,-0.3355042295964961,-0.28854216036234476,-0.19241997902890623,0.10354405892114633
green colour,-0.2303942283078812,-0.24327429185301233,-0.16837200021986903,-0.018821573263769688
blue colour,0.03209991728825101,-0.018146938470697937,-0.04706087011018584,0.17135860901615046
shell,-0.544413346663793,-0.4536046715842968,-0.43889213751138934,-0.2815363989462387
"gemstone, smooth",-0.5314226025955426,-0.4668881440550421,-0.43752524438573187,-0.2062064652871442
sheet,-0.5601834128717516,-0.5327353269863149,-0.4569088999342165,-0.2194113293869065
hair,-0.44899694905446985,-0.449805415668948,-0.406036627545189,-0.2940782874431306
spongy,-0.8111758069260867,-0.8811495295549061,-0.7098977041067872,-0.6909004623304786
golden,-0.233052466350616,-0.22296171292468764,-0.19454624609036805,-0.11262696213933303
red colour,-0.715733245215164,-0.5814166883445837,-0.3223003248575764,-0.28109141123822595
"round, smooth",-0.8666457263665949,-0.7784195837334528,-0.7097411423499826,-0.34020812085897184
cream colour,-0.7384284010185813,-0.7652201004337107,-0.6734781132431341,-0.5819637556425267
bumpy,-0.48738176493180935,-0.46709552581756314,-0.45912990683340527,-0.2709717641655004
hot,-1.2687429247797741,-1.2462904102924028,-1.1229264887208033,-0.863734896534682
turquoise colour,-1.9925698393116176,-1.94086572889839,-1.8784516898202717,-1.4374324664370424
