dimension,V1,V2,V4,IT
mineral,-2.0865186511096603,-0.600026053888849,-1.1116012149191814,-104.83684158057115
wood,0.06593612336553512,-1.208043352647302,-1.3813251057745348,-129.35766483126338
metallic,-2.1231592772558447,-1.3049182614925618,-2.1290444548986587,-222.10062099776542
fabric,-2.4799361231707002,-1.2127370461397324,-3.147771739796093,-127.68828153590304
white colour,-16.045294224964103,-16.255942330875463,-4.4666464505199555,-315.6248605912829
grainy,-1.630306812498158,-2.5366234878073604,-2.50026510541051,-413.13287650558703
crystalline,-2.7883298047577654,-0.6736858011614792,-2.461912258979288,-134.66400961121127
"straw, fibrous",-8.800036841270092,-3.285174190920398,-2.2970682669446463,-243.19586930587647
cloudy,-24.253553749466935,-11.86973125847928,-5.439593931208742,-199.5842548876399
small,-6.144587424114552,-5.8765887162102715,-4.13891423285328,-274.8126462980263
"beige colour, tan colour",-53.2966097576453,-23.695412987574436,-10.638453750388255,-572.5911582252295
viscous,-9.808691794894852,-2.9364187709388565,-3.607398055985759,-71.76826535443777
black colour,-15.434408723190625,-13.953824255679574,-6.149540131741473,-260.85169464862395
brick,-232.38849623421015,-182.0798201650079,-94.06888830986426,-900.4438037655858
swirly,-145.58004828790467,-89.04486310017052,-45.927277691538144,-484.4838610751017
maroon colour,-105.7655740047276,-67.7708206525143,-30.999803088946827,-1117.4057730285867
"lines, long, tubular, vertical",-65.9607813398541,-44.6318942114993,-22.155365770975745,-371.6228253194554
mesh,-31.286117976912898,-21.26517104710828,-10.279370313282737,-677.0321328045952
yellow colour,-51.629368018768616,-28.926651687517438,-15.297973191474416,-312.39466644897794
multi-coloured,-11.977834946043242,-2.1877673236251014,-0.8787094454453044,-128.112653308837
thin,-48.69778344847697,-31.246514444213165,-9.194693006600218,-452.0471667399264
bulbous,-146.3536462683347,-78.77514465237854,-39.36568091482404,-606.8187051415556
green colour,-33.00371977528218,-18.154182359598455,-17.913112953179386,-590.3845096334423
blue colour,-10.338411604665454,-9.25501726403807,-5.9889017674180955,-398.52897947600195
shell,-207.189942888431,-161.75436444899412,-67.74787863711684,-726.2395598973184
"gemstone, smooth",-328.2693450601615,-181.3825495434678,-99.70492134465333,-633.5248809380639
sheet,-35.39683952094082,-15.1563801874723,-12.779768881368806,-258.1875873325078
hair,-12.275778471980466,-10.406888340622164,-16.306990247164133,-397.43342152550025
spongy,-40.344009607113634,-20.425428656339434,-10.181743993981788,-411.15504482376934
golden,-179.35831851591257,-124.96410072326053,-56.566898566850206,-1007.8907106167387
red colour,-4.244015301016632,-4.603152845088373,-2.170475491595514,-446.06107534485693
"round, smooth",-26.39304872854882,-12.957436508104966,-13.723450347797797,-211.46278705310345
cream colour,-256.0365949019312,-191.93911777532435,-94.05364472679138,-1103.915777542814
bumpy,-944.0204508788904,-625.2278569022376,-278.7340076753888,-1885.3790001052325
hot,-61.20414674858172,-23.177047836428347,-31.07028380645656,-458.56179440638437
turquoise colour,-1.4696403850245816,-12.625809729377828,-20.623579000167492,-1051.187640617715
