dimension,V1,V2,V4,IT
mineral,0.15109948672065418,0.296342805771897,0.5134322004227891,0.6861118210141651
wood,0.2904730798176801,0.48412183037530826,0.4631222707407117,0.609461096777268
metallic,-0.03810277234317868,-0.0568370291424123,0.2561059561262229,0.4422462733907194
fabric,-0.48002854664643124,-0.3387549376391192,-0.1513702705600791,0.305848572388227
white colour,0.5122964952156247,0.4372492975843281,0.5255092076961777,0.5293511862552996
grainy,-0.026423567493072887,0.28139200261070585,0.44800270644633766,0.5865585262130912
crystalline,-0.27405216177988595,-0.028359792280305596,-0.014970172641886903,0.40808451687878716
"straw, fibrous",-0.3892369104872455,-0.1447128531441744,0.00822305705733557,0.22795183500543453
cloudy,-0.4320726784757392,-0.22615782314816407,0.13978872058576278,0.29582890663711636
small,-0.03545900469080342,0.06457417899086744,0.39803623587556214,0.6455287924360157
"beige colour, tan colour",0.2083230605470205,0.25271890331753843,0.3180926979686499,0.36084522020809884
viscous,-0.2515271023651921,-0.12389910887679219,-0.16922693808848088,0.10054387980429424
black colour,0.049004139888829415,0.01409287844005851,0.21056768300304238,0.14737237891540825
brick,-0.4978502206631081,-0.4182696897013797,-0.171799625538864,0.17413373064848733
swirly,-0.27226131085137056,-0.16270409992016166,-0.07608560227156203,0.29403235913195763
maroon colour,-0.19842047224187964,-0.46347624024809997,-0.2308922254691143,-0.13472402141343184
"lines, long, tubular, vertical",-0.3255180417507376,-0.2452894153551192,0.035994970380800594,0.38253078744360025
mesh,-0.3637663941464626,-0.22858018845104972,0.08859839336561953,0.4464082332399665
yellow colour,-0.10833549677710734,-0.23162869079066956,0.016614982518145492,0.21891406485175588
multi-coloured,-0.16473793275246582,-0.16707268603305797,-0.08313130737650312,0.05787192359723532
thin,-0.5218974770673785,-0.5721687799323973,-0.40715938187204087,-0.2695816295282782
bulbous,-0.4289766407250487,-0.3653659768739767,-0.344324415577262,0.14501880560408406
green colour,-0.11397649612269452,-0.16143584134546424,-0.12827774346291246,-0.0733516158296342
blue colour,0.09891255467523177,-0.1075096459229378,-0.10627352644631072,0.1885862377466903
shell,-0.6801955870672105,-0.7423127815149472,-0.571492400941145,-0.6218733081226188
"gemstone, smooth",-0.5997607867489825,-0.48854432983498164,-0.3998165165941955,-0.14241631669787957
sheet,-0.525212260671818,-0.6303241027539266,-0.5275303469807627,-0.43399507241239743
hair,-0.44274401755436055,-0.38339865437161535,-0.35950271635817443,-0.41788022008926085
spongy,-0.6830986920271537,-1.1586794804599223,-0.7085559865150071,-0.8573561129555088
golden,-0.25704364412094033,-0.18520513747912454,-0.20830911097211774,-0.13216918365860084
red colour,-0.614386943190109,-0.4106446158216248,-0.3991938896227312,-0.3760506337550151
"round, smooth",-1.0093534851657702,-0.8475873973251243,-0.8022673768470764,-0.39007284414569515
cream colour,-0.5284051742836428,-0.7914980803082278,-0.69995637512403,-0.679117163313799
bumpy,-0.38670104766481056,-0.42534871144787606,-0.47589875362181394,-0.2615863527128603
hot,-1.6983737016895273,-1.578444770130118,-1.6348686461950095,-1.4945065618398687
turquoise colour,-0.9305759570234997,-0.9837407570492303,-0.8814692564437143,-0.7394210418494434
