dimension,V1,V2,V4,IT
mineral,-1.6691567405657093,-1.8115940694419455,-1.6427608227796684,-1.2015024647556531
wood,-1.1536938024944057,-0.7341083877790255,-0.8745171679237687,-1.1699025275325332
metallic,-1.0074258051376432,-1.1713194336929114,-1.1208322006259905,-1.0890618997958854
fabric,-0.8355716037972294,-0.7822467725132152,-0.8421180722193551,-0.8435763262386045
white colour,-0.6214912347708099,-0.7618337116533542,-0.6870295976394669,-0.8621937170595892
grainy,-0.934722749141917,-0.7096307480530972,-0.5490473792710102,-0.7294394198741627
crystalline,-0.868331176181611,-0.9022847211344858,-0.8417839994259988,-0.533754250649501
"straw, fibrous",-0.7831208260955627,-0.6163575791139699,-0.5360190801569797,-0.5793703047148542
cloudy,-0.8093272548541797,-0.7813125137620989,-0.7006389162770497,-0.8162527862991493
small,-0.7665382357007098,-0.8283184391028646,-0.7157308111326783,-0.023145571806043375
"beige colour, tan colour",-0.7392468592681896,-0.4965006908101499,-0.6375878508321624,-0.7095557833930144
viscous,-0.5110557294990294,-0.6124499128918783,-0.6599532796029157,-0.4006396431962629
black colour,-0.32420799568931646,-0.5347567252229823,-0.3962968716576185,-0.6225868559027372
brick,-0.6244330023109905,-0.5747259411109995,-0.5770381377898657,-0.46472049302324314
swirly,-0.7132409759592129,-0.7145692511514437,-0.7032955276342499,-0.6079051451786324
maroon colour,-0.35332650056264336,-0.3665506313799829,-0.3357202903437637,-0.45374705910615254
"lines, long, tubular, vertical",-0.5400942802914293,-0.45537666022218404,-0.5478758702228939,-0.2223048603315365
mesh,-0.5531118024476767,-0.46827032177908046,-0.2887297349320128,-0.15713968782977128
yellow colour,-0.4676949550394798,-0.35320836013384205,-0.399350739717651,-0.26699284944909074
multi-coloured,-0.23911933112683004,-0.4038293862134632,-0.459838475051376,-0.23708885284149828
thin,-0.5334903238829638,-0.5918956368099453,-0.495611115226559,-0.5028829731443205
bulbous,-0.5279576158810588,-0.5109993739033225,-0.5171170764892488,-0.40773947635536323
green colour,-0.37615106310767854,-0.014095415168446035,-0.14263004575771832,-0.15394295030286664
blue colour,-0.1691727818744524,-0.36883306662175386,-0.40473677556365417,-0.3266712222694781
shell,-0.44787336714957604,-0.43785892493944023,-0.4560150218005563,-0.36811402789075376
"gemstone, smooth",-0.44089249029857136,-0.5250771283841276,-0.4520015284847574,-0.06765476627842282
sheet,-0.29600832882783945,-0.3241128164184046,-0.3459661060964747,-0.4318516399185557
hair,-0.46055323624002953,-0.38743417027769067,-0.3920765639630335,-0.5129335767846745
spongy,-0.38315342426249765,-0.4487492196691767,-0.4957469459766426,-0.31885528784732653
golden,-0.4744986807397804,-0.4550113262788864,-0.40991065963811857,-0.37601964622731887
red colour,-0.04547381212226975,-0.14822404264280586,-0.20810227457415342,-0.12798829458748218
"round, smooth",-0.3381400304483291,-0.3234741999789317,-0.2904660319943113,-0.10509421630920501
cream colour,-0.36546737938631213,-0.3894014565416797,-0.3419346790866191,-0.3254611199471007
bumpy,-0.3980021949603125,-0.39535156862747334,-0.36071981920293705,-0.32050213684585227
hot,-0.2964783114272045,-0.2944799475551958,-0.26393522844698736,-0.19218238776265784
turquoise colour,-0.26987315351669294,-0.25043717839114876,-0.2943697786608299,-0.2214563153055682
