dimension,V1,V2,V4,IT
mineral,0.31529527245042643,0.45297265407693815,0.5739519388971291,0.6904861595205544
wood,0.4608660585991654,0.5440984442878987,0.5731354510147244,0.7356813520631674
metallic,0.24037183032354284,0.22514048329757497,0.39907714430097824,0.46465498885348716
fabric,-0.1482240930086712,-0.06003855063308696,0.07821243309094034,0.43809369356496203
white colour,0.5270012656531355,0.5355703808018736,0.5739102778893572,0.5821834484925739
grainy,0.21708781492339008,0.4576456312104261,0.5262802650127467,0.6693247925818819
crystalline,-0.030707105060626037,0.06030548477844363,0.16229039837051412,0.4843902865336244
"straw, fibrous",-0.04151884283556152,0.07766623771171882,0.20906918998062562,0.4295686736342126
cloudy,0.05748590290287366,0.08578871176393324,0.228984943109573,0.4830395517709653
small,0.12065927045062934,0.24843290546963331,0.43662598545684184,0.6655870485488734
"beige colour, tan colour",0.44216062295526415,0.3577898333765309,0.3386088954830238,0.4318036979401172
viscous,-0.05180773979397354,0.05807361687493186,0.026709962493420992,0.18204115034032797
black colour,0.25715767652256266,0.2523910144962601,0.2625486255818601,0.2622423085937509
brick,-0.19971622856374427,-0.16194289101091047,0.007889189773747562,0.2954666679622485
swirly,-0.1887975328292538,-0.027617974423716773,0.1038720508660218,0.39228392848437516
maroon colour,0.19989753733405635,-0.14273428039395153,-0.08880961795110429,0.13643220379640147
"lines, long, tubular, vertical",-0.2420922411241504,-0.11954426375380293,0.15840048861827802,0.5038663040472321
mesh,-0.09732081528392031,0.028788439559022418,0.19197147493079622,0.5137003402908442
yellow colour,0.1444233835484666,0.00187191717776104,0.09345225349925151,0.2632831432059459
multi-coloured,0.032901005805167936,-0.040548273878733575,0.1729275806223006,0.2776422207155364
thin,-0.2738532565142114,-0.3029326342861518,-0.31328824201857747,-0.09035768856483363
bulbous,-0.3093045813931019,-0.23015787372733093,-0.0822556891390226,0.15325962974983137
green colour,-0.004546546945323071,0.10354872645668953,0.06609909558337293,0.012617163758710248
blue colour,0.24960580141550634,0.15525048941993436,0.008489031446770578,0.26541946033022873
shell,-0.5147878869278635,-0.39318061584228775,-0.37882876063650933,-0.2644122144019493
"gemstone, smooth",-0.46836045589283176,-0.47674213201891924,-0.37156455905552915,-0.1255473205781859
sheet,-0.46362706159206246,-0.37933509902744633,-0.37793954510854555,-0.1523561224037847
hair,-0.42815962505661675,-0.41773841897670777,-0.27636778408858864,-0.23049238922911447
spongy,-1.1189097131176475,-1.1019393231792316,-0.6681012956917738,-0.6104841011148758
golden,-0.17409058724637733,-0.0787459177957323,-0.13728634256598418,-0.10211733331714093
red colour,-0.4488452427538105,-0.250768771880699,-0.08380158502619357,-0.14038198755562706
"round, smooth",-0.80602471385197,-0.6705369170073732,-0.5932874132334752,-0.11526226205330536
cream colour,-0.6087794233077263,-0.5646455704844362,-0.5724650218677182,-0.5150936730698022
bumpy,-0.4375783665327142,-0.45021679583705687,-0.381303339261509,-0.11606541743921231
hot,-1.0353123280595702,-0.986127360753736,-1.0149530628460224,-0.6988561964614817
turquoise colour,-1.2682972250232887,-1.423041011499899,-1.336277943337191,-1.1596795671573834
