dimension,V1,V2,V4,IT
mineral,0.31141044841107945,0.42559505726163416,0.5476943383436756,0.7429231087160856
wood,0.47920227382764036,0.6015130642073592,0.5820808485260023,0.7134525349956993
metallic,0.29788143867619976,0.23141255380552717,0.42489794402854963,0.501751053675085
fabric,0.0634376077874893,0.11883966689554781,0.26392773863105834,0.5682639494203676
white colour,0.591468109990863,0.537839941238644,0.605723768833927,0.5775892913477048
grainy,0.3139049265715964,0.44976725971481823,0.5315233136815509,0.6475843212652785
crystalline,0.061661016249523914,0.15076610645610555,0.1585969774980298,0.5222571913971786
"straw, fibrous",0.16354638086352247,0.23292240999309155,0.413190036841539,0.5563949294753359
cloudy,0.08515122333258074,0.1052475894233641,0.20394297563760155,0.45153227317656286
small,0.1653083018789121,0.32205136560480885,0.4797038298563232,0.7008575219409505
"beige colour, tan colour",0.4701568269878489,0.43765462768834074,0.4555845436479796,0.4986749722759839
viscous,0.07925211888690098,0.11859323691658752,0.11136183902191743,0.34045610411819105
black colour,0.30941241854904566,0.24421670599394318,0.33083217902105677,0.3256622343810719
brick,-0.007862381498648041,0.04231552702218899,0.12868852109513862,0.4569584652679318
swirly,-0.0007785615589197548,0.026650218784154855,0.13764625034232136,0.4063038083347331
maroon colour,0.4530287229384772,0.3474938212694225,0.3583215512212523,0.44146766003980775
"lines, long, tubular, vertical",0.0779101922430463,0.13975595479524228,0.3524846558403826,0.5809465046994637
mesh,0.0975243439894452,0.09347012678775124,0.2708018315234917,0.566209335556033
yellow colour,0.36502020174189886,0.3103404101234236,0.33670516433028586,0.5202687058981381
multi-coloured,0.24964694580766478,0.22056531427378312,0.25859660828388986,0.4630410808761055
thin,-0.009756102565711355,-0.012247675190607543,0.04713692237436462,0.17922551889429628
bulbous,-0.012550451962372255,0.04779333267603425,0.06124152753267231,0.39821391018174956
green colour,0.4220309701790197,0.4055250358907262,0.3859898240383989,0.39609915534712026
blue colour,0.3102997257406248,0.21919776651207268,0.14634983998888573,0.2929489064686649
shell,0.04561362919908707,0.06757462639693201,0.10866128116427853,0.19609550376419682
"gemstone, smooth",0.07266444478807299,0.13755124160099008,0.15080842942550787,0.5005358310256844
sheet,0.08357984491942894,0.09276390351152852,0.13302898195243207,0.21793815916275672
hair,0.04413912330388947,0.04852420303540139,0.10397288779825309,0.1467913011556018
spongy,0.013318822692500398,-0.0025960446125552483,0.07558990275594968,0.19948958692519092
golden,0.09076951614756046,0.10624067223078548,0.08228860024216333,0.10895607685221953
red colour,0.32449797797776303,0.2857533580162738,0.3466689326096558,0.40587144127068675
"round, smooth",0.0004991078770089086,0.031012087600546523,0.01980361660573904,0.3623082061351137
cream colour,0.11945995030442724,0.08395450067992294,0.11328167385080423,0.13036875374666912
bumpy,-0.011098470757025192,0.009942378053277356,0.011856543059122426,0.10630140040092495
hot,0.005037147144199672,0.01906649801491933,0.04455504151843792,0.22739980068874965
turquoise colour,0.05661379218413265,0.03401115530820231,0.002958317084533535,0.09057169202978299
