dimension,V1,V2,V4,IT
made of metal / artificial / hard,-2.146689701315394,-1.4269712803919652,-0.4137147006022672,0.49715213690294224
food-related / eating-related / kitchen-related,-1.6284643495200126,-1.0281664233049108,-0.14699115165123522,0.5714678030507154
animal-related / organic,-2.036854880768033,-1.3256131179309318,-0.16250107309236506,0.6515371986171556
clothing-related / fabric / covering,-2.9312937560296315,-2.131967074049367,-0.7747344977099013,0.2906242745261727
furniture-related / household-related / artifact,-2.553608405286778,-1.6733869242729416,-0.47146905800132566,0.4020629668421398
plant-related / green,-1.4024141063530426,-0.9928696208453032,-0.054782426022807584,0.5050926882824096
outdoors-related,-2.1805271089779223,-1.8084813622207432,-0.590706899840983,0.3078092603385164
transportation / motorized / dynamic,-2.345228702288708,-1.7647232710307885,-0.5703298807235753,0.46018595270392326
wood-related / brownish,-2.7778593596739767,-1.9248365009585204,-0.8391358675617133,0.21392198166925247
body part-related,-3.1559054834591267,-1.9636962929015254,-0.7114325708961602,0.5193224185312375
colorful,-2.245548697501531,-1.3375229104377655,-0.5255526148972478,0.37923097330754063
valuable / special occasion-related,-3.4444537175651613,-2.222701200890946,-1.0661043186338715,0.07163843262991365
electronic / technology,-3.410115724010872,-1.9733615971752378,-0.8642502816563651,0.2881187110806813
sport-related / recreational activity-related,-3.565718302890402,-1.8121123424777097,-1.232542450361915,-0.09376987400933334
disc-shaped / round,-3.1756617678872736,-2.301207892824508,-0.9260425599053028,0.3530855710381582
tool-related,-3.0436085647082374,-2.073658596291223,-0.7682194208219915,0.25252185561252094
many small things / course pattern,-2.4009795665483478,-1.6744898649973265,-0.7386779990521892,0.321689850875126
paper-related / thin / flat / text-related,-3.2982155975887313,-1.9444220094401978,-0.9673375151888359,0.13147365826803126
fluid-related / drink-related,-4.086265304200306,-2.1530916798381132,-0.9380325395928704,0.26145279233785246
long / thin,-3.0815222876048862,-2.044899387403514,-0.8047202611838533,0.25967759659301815
water-related / blue,-3.799735291138666,-2.6860411979588603,-1.3267400792135744,0.028807612637599345
powdery / fine-scale pattern,-2.87789519822521,-2.042969930466829,-0.9753422291620579,0.1065435422069061
red,-1.070515090898056,-0.7226949920501582,-0.24706523132931557,0.33601686329669755
feminine (stereotypically) / decorative,-3.4826072915394146,-2.2477839878175585,-1.3599923710046191,-0.05228422709057967
bathroom-related / sanitary,-3.733668674968917,-2.094815752774398,-1.3429695915091626,-0.16701370162786122
black / noble,-3.937412509348958,-2.208203751064349,-1.1538294940857754,-0.014605940265526307
weapon / danger-related / violence,-3.4367125865084907,-2.7887426644489666,-1.4783063931666676,-0.24176873372171093
musical instrument-related / noise-related,-3.5706373881587226,-2.6569681160846232,-1.4533757289103613,-0.2138485619707744
sky-related / flying-related / floating-related,-3.017982947152335,-1.7147512001804848,-0.8179160487666988,0.19881108205669962
spherical / ellipsoid / rounded / voluminous,-4.239521111607392,-2.5811496170832946,-1.24895537013948,0.11680466411196255
repetitive,-2.4936795132851315,-2.17957898108522,-1.155634239550574,-0.03697657119248188
flat / patterned,-3.3387781846026083,-2.4282438444631267,-1.2471295206576536,-0.005424191547690915
white,-3.0420605217454826,-2.36594468061132,-1.1034382715116737,0.02033807516426611
thin / flat,-3.2782146744583027,-2.590147291501308,-1.1607969042733313,-0.0713507816656267
disgusting / bugs,-3.712841298733518,-2.8322754660682916,-1.366965477006429,0.007245321710803387
string-related,-3.6410409466733915,-2.904805720878752,-1.6513550183556434,-0.1997394045325005
arms/legs/skin-related,-3.788290446307638,-2.4962919848069927,-1.208482133091211,-0.05089177554392599
shiny / transparent,-4.336293153977685,-2.583131539523363,-1.4995568215208972,-0.22306443785570673
construction-related / physical work-related,-3.986933840767013,-2.6703922063987964,-1.692514097377574,-0.2700982381887478
fire-related / heat-related,-3.840754427699964,-2.861448713762441,-1.8064115151817668,-0.25471683221191865
head-related / face-related,-3.846458804039866,-2.591605566382499,-1.2983899935664431,0.002787378262333884
beams-related,-3.3791604141980667,-2.6357718015680174,-1.4694692412205854,-0.0306004525808119
seating-related / put things on top,-3.471144881910323,-2.9105416618751585,-1.2298666111459062,-0.09148341476239463
container-related / hollow,-3.494281346120637,-2.783210733984322,-1.2850586617943303,-0.23362854446378467
child-related / toy-related,-3.509307066579078,-2.4734810075916878,-1.307928648170773,-0.33129849297015657
medicine-related,-4.557593969470685,-2.9812268598933347,-1.6380102198751998,-0.3532986964652123
has grating,-3.5802918495474954,-2.3827815692937495,-1.2272714770323532,-0.06664583709181238
handicraft-related,-4.673874406858127,-2.9401039149602415,-1.644818233949017,-0.40583675318148615
cylindrical / conical,-3.983988305854461,-2.9196664563005466,-1.6091264581661506,-0.33393628996465896
