dimension,V1,V2,V4,IT
made of metal / artificial / hard,-6.090327941700751,-5.635123232606183,-5.4305680169573884,-3.4714020829953887
food-related / eating-related / kitchen-related,-3.0073642846858277,-3.2299777595719155,-2.8278743691897925,-0.9555466504979648
animal-related / organic,-2.8766843210945763,-2.786228948329872,-1.7875359630075915,-1.7610040256861121
clothing-related / fabric / covering,-2.524322822357515,-2.29140563802538,-2.3679759406864336,-1.2807475588457735
furniture-related / household-related / artifact,-3.110013590978645,-2.5526723384656598,-2.8771169118436024,-1.8048084088658984
plant-related / green,-2.5468681542939007,-2.548524872357581,-1.6306473908617907,-1.159445556508249
outdoors-related,-3.2295109272802645,-2.9289305666868866,-2.184954590038342,-1.9282023021163477
transportation / motorized / dynamic,-2.5613120988637332,-1.9638485394263094,-1.9028656854128352,-1.6073867976009342
wood-related / brownish,-2.6146318010330165,-2.707738347571394,-2.3571229707319667,-1.48059266699188
body part-related,-2.1222450734091174,-1.9548329177560158,-2.218132979671353,-1.0864236074202869
colorful,-2.5625621517091863,-2.5673603778304663,-2.486643335260551,-1.23725275506846
valuable / special occasion-related,-2.80482874301596,-2.839760392015875,-2.409444130606453,-1.5312663517021239
electronic / technology,-2.2948541373586613,-2.2057399204279857,-2.235358233911851,-1.0450581656165077
sport-related / recreational activity-related,-2.6424167989181435,-2.2797230420379493,-2.2483457050527456,-1.3026869357077526
disc-shaped / round,-2.431791339491745,-2.437109791294963,-2.1398059979832085,-1.0609766141595678
tool-related,-2.058203529695016,-1.9412594938002172,-1.8198330079197347,-1.055392091646464
many small things / course pattern,-2.436131780800698,-2.662313215915475,-2.3373998158130935,-1.1979940807795977
paper-related / thin / flat / text-related,-2.2001361535442356,-1.973077017856546,-2.2152113659579045,-1.189173335429286
fluid-related / drink-related,-2.0430198831297846,-1.835504245647189,-2.0454676873049906,-0.9220431673751646
long / thin,-2.2128272081452103,-1.9868425075498983,-1.9275442258691693,-1.172187628054988
water-related / blue,-2.0053903894876868,-1.8497256279810768,-1.7516951494677264,-1.2557531568059392
powdery / fine-scale pattern,-2.279710244367285,-2.437880578374178,-1.6880326370973302,-1.0804801563848137
red,-1.744941299599227,-1.9293135743437042,-1.9379044566152337,-0.9884946333877642
feminine (stereotypically) / decorative,-2.081959460212686,-2.126850774157795,-2.0072449289363807,-1.2056992235194293
bathroom-related / sanitary,-2.184974333704733,-2.061677818328475,-1.9924792302804564,-1.2034319824777175
black / noble,-2.173727732373473,-2.1216877854804483,-2.163148910174341,-1.0693774227052035
weapon / danger-related / violence,-1.8895369798917678,-1.852724955397035,-1.6461908277373882,-1.148799135304817
musical instrument-related / noise-related,-1.7608904790374287,-1.732645725689284,-1.6381802762045417,-1.0019214579968398
sky-related / flying-related / floating-related,-2.0628927758829136,-1.7217426535777722,-1.6660816036217878,-1.107728196788182
spherical / ellipsoid / rounded / voluminous,-1.9251049429593143,-1.8835899718109324,-1.7664341441852165,-0.7644530012812505
repetitive,-2.0665974153972058,-2.0902398883088185,-1.715724297656617,-1.1054101541791144
flat / patterned,-1.808225183676266,-1.7725506623605831,-1.5684352872621892,-1.0432144062383113
white,-1.8913523056482924,-1.8138057102096994,-1.7448284458859695,-1.2549060879579623
thin / flat,-1.911034053891468,-1.6581536559809065,-1.7993983669271354,-1.0735634717001816
disgusting / bugs,-1.7725334288334413,-1.693335815378472,-1.473182771038283,-0.9351941083804556
string-related,-1.9451977971995742,-1.7918133589766794,-1.7935319047126392,-0.9496290246372852
arms/legs/skin-related,-1.733299983112957,-1.728298738064491,-1.4572115616117327,-1.0332708317664259
shiny / transparent,-1.8655055318142564,-1.7856654102110499,-1.7101139182066851,-1.0676039413775555
construction-related / physical work-related,-1.8778134826698274,-1.8821770124783366,-1.7526853993351965,-1.1537768013480352
fire-related / heat-related,-1.6379474219584234,-1.5874179931218086,-1.5722514951604332,-0.9325184775126591
head-related / face-related,-1.6267768732556842,-1.6969403661517464,-1.5564796899459936,-0.9679017608326315
beams-related,-1.620366950332833,-1.5142072722684548,-1.4072743764445894,-0.9217491234006778
seating-related / put things on top,-1.8952411287933635,-1.7637234632982297,-1.4751782533850557,-0.9840576488282071
container-related / hollow,-1.8041231376148485,-1.6879868792019854,-1.7809115660247286,-1.034251504557937
child-related / toy-related,-1.6303724493007041,-1.4343267351434434,-1.570955139651057,-1.0051049419379074
medicine-related,-1.6562335027565331,-1.6789851366205997,-1.4724545247891032,-0.9754845387747488
has grating,-1.6406382770235064,-1.5215604896451707,-1.4098754947817254,-0.798012178149577
handicraft-related,-1.7397039583092937,-1.8520870841149835,-1.6293620180804025,-0.9865816866112762
cylindrical / conical,-1.5988121175592322,-1.7530635281471492,-1.4937238655385552,-0.9341437368793721
